Covariance Matrix:
0.969939 0.003466 -0.003316 0.005014
0.003466 0.950894 0.000710 0.004622
-0.003316 0.000710 0.978495 -0.011218
0.005014 0.004622 -0.011218 0.953615
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.960021, 0.980546
Element [0,1]: -0.003132, 0.010812
Element [0,2]: -0.011426, 0.003128
Element [0,3]: -0.002988, 0.012388
Element [1,0]: -0.003132, 0.010812
Element [1,1]: 0.941103, 0.960507
Element [1,2]: -0.006452, 0.007340
Element [1,3]: -0.001916, 0.011350
Element [2,0]: -0.011426, 0.003128
Element [2,1]: -0.006452, 0.007340
Element [2,2]: 0.968079, 0.988404
Element [2,3]: -0.017773, -0.003600
Element [3,0]: -0.002988, 0.012388
Element [3,1]: -0.001916, 0.011350
Element [3,2]: -0.017773, -0.003600
Element [3,3]: 0.943055, 0.963716

Covariance Matrix:
0.996557 0.005206 0.002380 0.008964
0.005206 1.008484 0.005064 0.002990
0.002380 0.005064 1.032609 -0.008958
0.008964 0.002990 -0.008958 1.005590
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.986377, 1.007524
Element [0,1]: -0.002574, 0.011482
Element [0,2]: -0.005946, 0.010953
Element [0,3]: 0.001804, 0.017440
Element [1,0]: -0.002574, 0.011482
Element [1,1]: 0.997070, 1.018169
Element [1,2]: -0.003637, 0.011435
Element [1,3]: -0.004778, 0.009442
Element [2,0]: -0.005946, 0.010953
Element [2,1]: -0.003637, 0.011435
Element [2,2]: 1.022525, 1.044786
Element [2,3]: -0.016293, -0.000273
Element [3,0]: 0.001804, 0.017440
Element [3,1]: -0.004778, 0.009442
Element [3,2]: -0.016293, -0.000273
Element [3,3]: 0.993673, 1.016102

Covariance Matrix:
0.983168 -0.004406 -0.003322 -0.000638
-0.004406 0.989637 -0.002800 0.012524
-0.003322 -0.002800 1.029152 -0.017786
-0.000638 0.012524 -0.017786 1.009085
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.971708, 0.991980
Element [0,1]: -0.014056, 0.004229
Element [0,2]: -0.011038, 0.004852
Element [0,3]: -0.008153, 0.005891
Element [1,0]: -0.014056, 0.004229
Element [1,1]: 0.980016, 0.999228
Element [1,2]: -0.010430, 0.004820
Element [1,3]: 0.005241, 0.019328
Element [2,0]: -0.011038, 0.004852
Element [2,1]: -0.010430, 0.004820
Element [2,2]: 1.018697, 1.039467
Element [2,3]: -0.024386, -0.009831
Element [3,0]: -0.008153, 0.005891
Element [3,1]: 0.005241, 0.019328
Element [3,2]: -0.024386, -0.009831
Element [3,3]: 0.998595, 1.019648

Covariance Matrix:
0.993471 -0.001689 -0.024144 -0.006514
-0.001689 1.048355 -0.013301 -0.021572
-0.024144 -0.013301 1.023173 -0.013129
-0.006514 -0.021572 -0.013129 1.044227
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.983412, 1.003850
Element [0,1]: -0.009732, 0.007008
Element [0,2]: -0.031532, -0.017127
Element [0,3]: -0.013885, -0.000069
Element [1,0]: -0.009732, 0.007008
Element [1,1]: 1.037489, 1.057167
Element [1,2]: -0.021366, -0.005905
Element [1,3]: -0.028883, -0.014639
Element [2,0]: -0.031532, -0.017127
Element [2,1]: -0.021366, -0.005905
Element [2,2]: 1.013070, 1.034368
Element [2,3]: -0.021419, -0.005686
Element [3,0]: -0.013885, -0.000069
Element [3,1]: -0.028883, -0.014639
Element [3,2]: -0.021419, -0.005686
Element [3,3]: 1.032175, 1.055270

Covariance Matrix:
1.026528 -0.000111 -0.017990 -0.013646
-0.000111 1.024276 -0.017580 -0.026906
-0.017990 -0.017580 1.007795 -0.014914
-0.013646 -0.026906 -0.014914 1.020875
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 1.014913, 1.035240
Element [0,1]: -0.007370, 0.007587
Element [0,2]: -0.024677, -0.009644
Element [0,3]: -0.020483, -0.006085
Element [1,0]: -0.007370, 0.007587
Element [1,1]: 1.012531, 1.034992
Element [1,2]: -0.025840, -0.011494
Element [1,3]: -0.035325, -0.019870
Element [2,0]: -0.024677, -0.009644
Element [2,1]: -0.025840, -0.011494
Element [2,2]: 0.997365, 1.018369
Element [2,3]: -0.021483, -0.008534
Element [3,0]: -0.020483, -0.006085
Element [3,1]: -0.035325, -0.019870
Element [3,2]: -0.021483, -0.008534
Element [3,3]: 1.011445, 1.029993

Covariance Matrix:
0.991850 -0.002468 -0.016688 -0.005974
-0.002468 0.974393 0.010844 -0.001455
-0.016688 0.010844 0.969616 0.005195
-0.005974 -0.001455 0.005195 0.963430
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.981904, 1.002014
Element [0,1]: -0.009256, 0.005299
Element [0,2]: -0.023915, -0.010848
Element [0,3]: -0.012679, 0.001992
Element [1,0]: -0.009256, 0.005299
Element [1,1]: 0.964875, 0.984020
Element [1,2]: 0.003476, 0.018227
Element [1,3]: -0.007578, 0.006136
Element [2,0]: -0.023915, -0.010848
Element [2,1]: 0.003476, 0.018227
Element [2,2]: 0.958222, 0.979224
Element [2,3]: -0.000751, 0.011917
Element [3,0]: -0.012679, 0.001992
Element [3,1]: -0.007578, 0.006136
Element [3,2]: -0.000751, 0.011917
Element [3,3]: 0.953555, 0.972962

Covariance Matrix:
1.070578 -0.009728 -0.006625 -0.005928
-0.009728 1.044040 -0.014042 -0.003164
-0.006625 -0.014042 1.040543 -0.018825
-0.005928 -0.003164 -0.018825 1.058560
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 1.058877, 1.082246
Element [0,1]: -0.017414, -0.001935
Element [0,2]: -0.014160, 0.002099
Element [0,3]: -0.014638, 0.001637
Element [1,0]: -0.017414, -0.001935
Element [1,1]: 1.034029, 1.054672
Element [1,2]: -0.021419, -0.007678
Element [1,3]: -0.010436, 0.004820
Element [2,0]: -0.014160, 0.002099
Element [2,1]: -0.021419, -0.007678
Element [2,2]: 1.030103, 1.051523
Element [2,3]: -0.026434, -0.011842
Element [3,0]: -0.014638, 0.001637
Element [3,1]: -0.010436, 0.004820
Element [3,2]: -0.026434, -0.011842
Element [3,3]: 1.048664, 1.070713

Covariance Matrix:
1.009061 0.001959 -0.004478 0.003373
0.001959 1.009203 -0.002838 -0.000649
-0.004478 -0.002838 0.978479 -0.005838
0.003373 -0.000649 -0.005838 0.991428
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.998287, 1.020965
Element [0,1]: -0.005963, 0.009063
Element [0,2]: -0.011619, 0.002573
Element [0,3]: -0.004292, 0.010097
Element [1,0]: -0.005963, 0.009063
Element [1,1]: 0.998254, 1.020152
Element [1,2]: -0.010836, 0.003213
Element [1,3]: -0.007644, 0.006167
Element [2,0]: -0.011619, 0.002573
Element [2,1]: -0.010836, 0.003213
Element [2,2]: 0.968967, 0.987399
Element [2,3]: -0.013284, 0.001152
Element [3,0]: -0.004292, 0.010097
Element [3,1]: -0.007644, 0.006167
Element [3,2]: -0.013284, 0.001152
Element [3,3]: 0.980708, 1.001442

Covariance Matrix:
1.062178 -0.009271 0.009007 0.017844
-0.009271 1.015234 0.003089 0.018516
0.009007 0.003089 1.043341 -0.026173
0.017844 0.018516 -0.026173 1.031315
Bootstrap Confidence Intervals for Covariance Matrix:
