Dataset ID,Test Name,Parameters,P-Value,Alpha,Conclusion
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample1,KS Test,,1.45391918284923e-06,0.0166666666666666,Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample1,Independence Test (Color: 0),"K_marg=8, K_joint=8, n_samples=450",0.4575424575424575,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample1,Independence Test (Color: 1),"K_marg=8, K_joint=8, n_samples=450",0.8071928071928072,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample1,Independence Test (Color: 2),"K_marg=8, K_joint=8, n_samples=448",0.8321678321678322,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample1,Bivariate Equivalence Test,"K=15, #class1=125, #class2=163",0.0009990009990009,0.0166666666666666,Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample2,KS Test,,7.826190759506531e-05,0.0166666666666666,Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample2,Independence Test (Color: 0),"K_marg=8, K_joint=8, n_samples=450",0.3626373626373626,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample2,Independence Test (Color: 1),"K_marg=8, K_joint=8, n_samples=450",0.0069930069930069,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample2,Independence Test (Color: 2),"K_marg=8, K_joint=8, n_samples=448",0.6303696303696303,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample2,Bivariate Equivalence Test,"K=14, #class1=125, #class2=163",0.0009990009990009,0.0166666666666666,Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample3,KS Test,,1.649155497251967e-05,0.0166666666666666,Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample3,Independence Test (Color: 0),"K_marg=8, K_joint=8, n_samples=450",0.6753246753246753,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample3,Independence Test (Color: 1),"K_marg=8, K_joint=8, n_samples=450",0.95004995004995,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample3,Independence Test (Color: 2),"K_marg=8, K_joint=8, n_samples=448",0.5644355644355644,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample3,Bivariate Equivalence Test,"K=8, #class1=125, #class2=163",0.0009990009990009,0.0166666666666666,Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample4,KS Test,,3.049454409171545e-06,0.0166666666666666,Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample4,Independence Test (Color: 0),"K_marg=8, K_joint=8, n_samples=450",0.8891108891108891,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample4,Independence Test (Color: 1),"K_marg=8, K_joint=8, n_samples=450",0.999000999000999,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample4,Independence Test (Color: 2),"K_marg=8, K_joint=8, n_samples=448",0.1768231768231768,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample4,Bivariate Equivalence Test,"K=10, #class1=125, #class2=163",0.0029970029970029,0.0166666666666666,Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample5,KS Test,,2.793228419200472e-05,0.0166666666666666,Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample5,Independence Test (Color: 0),"K_marg=8, K_joint=8, n_samples=450",0.922077922077922,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample5,Independence Test (Color: 1),"K_marg=8, K_joint=8, n_samples=450",0.1848151848151848,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample5,Independence Test (Color: 2),"K_marg=8, K_joint=8, n_samples=448",0.6523476523476524,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample5,Bivariate Equivalence Test,"K=8, #class1=125, #class2=163",0.0009990009990009,0.0166666666666666,Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample6,KS Test,,7.99877761882089e-08,0.0166666666666666,Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample6,Independence Test (Color: 0),"K_marg=8, K_joint=8, n_samples=450",0.6213786213786214,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D5_W0.5_Neg-1kNodes_Sample6,Independence Test (Color: 1),"K_marg=8, K_joint=8, n_samples=450",0.8571428571428571,0.0055555555555555,Fail to Reject H0
