node1,node2,flow
1._FC_Kaiserslautern_players,German_footballers,-1
1._FC_Kln_players,German_football_clubs,1
1._FC_Nuremberg_players,German_football_clubs,1
1._FC_Saarbrcken_players,German_football_clubs,2
1067_mm_gauge_railways_in_Japan,Railway_stations_in_Tokyo,-1
10th-century_births,Medieval_Gaels,-1
10th-century_rulers_in_Europe,Holy_Roman_Empire,-1
10th-century_rulers_in_Europe,Frankish_people,-1
10th-century_rulers_in_Europe,Franks,-2
11th-century_Irish_people,Medieval_Gaels,1
11th-century_Italian_people,Popes,-2
11th-century_Italian_people,Year_of_birth_unknown,-2
11th-century_biblical_manuscripts,Greek_New_Testament_minuscules,1
11th-century_biblical_manuscripts,Christian_terms,1
11th-century_rulers_in_Europe,Year_of_birth_unknown,-1
125cc_World_Championship_riders,MotoGP_race_reports,4
125cc_World_Championship_riders,250cc_World_Championship_riders,-1
12th-century_Irish_people,People_from_County_Galway,2
12th-century_Irish_people,Medieval_Gaels,1
12th-century_Roman_Catholic_bishops,Anglo-Normans,1
12th-century_biblical_manuscripts,Greek_New_Testament_minuscules,-1
12th-century_biblical_manuscripts,Greek_New_Testament_uncials,1
12th-century_biblical_manuscripts,Bibliothque_nationale_de_France_collections,-1
13th-century_biblical_manuscripts,Greek_New_Testament_minuscules,3
13th-century_biblical_manuscripts,Christian_terms,2
13th_Lok_Sabha_members,Living_people,-1
13th_Lok_Sabha_members,14th_Lok_Sabha_members,1
14th-century_English_people,People_of_the_Hundred_Years'_War,-1
14th-century_English_people,Knights_of_the_Garter,-2
14th-century_English_people,Earls_in_the_Peerage_of_England,2
14th-century_English_people,English_people_of_French_descent,2
14th-century_English_people,Burials_at_Westminster_Abbey,1
14th-century_Roman_Catholic_bishops,Roman_Catholic_monarchs,1
14th-century_biblical_manuscripts,Greek_New_Testament_minuscules,-1
14th_Lok_Sabha_members,Indian_films,1
14th_Lok_Sabha_members,Hindi-language_films,2
1500s_in_poetry,1600s_in_poetry,-3
15th-century_English_people,Members_of_the_pre-1707_Parliament_of_England,1
15th-century_English_people,Year_of_birth_uncertain,-1
15th-century_English_people,People_of_the_Tudor_period,-3
15th-century_English_people,People_executed_under_the_Tudors,2
15th-century_English_people,16th-century_English_people,-2
15th-century_English_people,Baronies,-1
15th-century_English_people,Earls_in_the_Peerage_of_England,3
15th-century_Irish_people,Surnames_of_Irish_origin,-1
15th-century_Italian_people,Italian_Roman_Catholics,-1
15th_Lok_Sabha_members,Living_people,-2
16th-century_English_people,Knights_of_the_Garter,15
16th-century_English_people,Members_of_the_pre-1707_Parliament_of_England,3
16th-century_English_people,English_women,-3
16th-century_English_people,Fellows_of_the_American_Academy_of_Arts_and_Sciences,-1
16th-century_English_people,Howard_family_(English_aristocracy),-1
16th-century_English_people,Grade_I_listed_houses,1
16th-century_English_people,People_executed_for_treason_against_England,3
16th-century_English_people,Tudor_bishops,2
16th-century_English_people,People_executed_by_decapitation,10
16th-century_English_people,People_executed_under_the_Tudors,5
16th-century_English_people,People_of_the_Stuart_period,1
16th-century_English_people,Prisoners_in_the_Tower_of_London,9
16th-century_English_people,People_of_the_Tudor_period,-2
16th-century_English_people,English_poets,2
16th-century_English_people,English_people_of_Welsh_descent,4
16th-century_English_people,"Alumni_of_Queens'_College,_Cambridge",1
16th-century_English_people,Anglican_saints,1
16th-century_English_people,Barons_in_the_Peerage_of_England,2
16th-century_English_people,16th-century_Protestants,-1
16th-century_English_people,16th-century_Roman_Catholics,1
16th-century_English_people,16th-century_women,1
16th-century_English_people,17th-century_English_people,-3
16th-century_English_people,17th-century_women,2
16th-century_English_people,17th-century_writers,2
16th-century_English_people,16th-century_writers,1
16th-century_English_people,Earls_in_the_Peerage_of_England,6
16th-century_English_people,English_Renaissance_plays,-8
16th-century_English_people,English_Roman_Catholics,-1
16th-century_English_people,English_countesses,1
16th-century_English_people,Burials_at_Westminster_Abbey,1
16th-century_French_people,French_nobility,-1
16th-century_Irish_people,People_from_County_Galway,1
16th-century_Irish_people,People_of_Elizabethan_Ireland,-1
16th-century_Irish_people,Butler_dynasty,-1
