node1,node2,flow
63341,118441,1.0
51041,107797,1.0
61184,108283,1.0
32204,9801,1.0
32205,84185,1.0
32207,5776,1.0
51019,107762,1.0
32211,9783,1.0
51015,107758,1.0
51014,107756,1.0
32218,5985,1.0
51012,107754,1.0
32219,49902,1.0
61185,3459,1.0
61186,121677,1.0
51011,107752,1.0
32224,84209,1.0
51008,107748,1.0
61187,831,1.0
61188,121679,1.0
51006,107746,1.0
32225,25762,1.0
51005,62452,1.0
51004,51005,1.0
51003,54334,1.0
51022,20291,1.0
61183,121670,1.0
51023,107770,1.0
51036,107785,1.0
32163,50927,1.0
61175,56165,1.0
51038,92060,1.0
32166,84136,1.0
51037,12607,1.0
32167,84139,1.0
32168,34782,1.0
32170,84144,1.0
9114,4918,1.0
32171,23639,1.0
61177,106224,1.0
61182,121669,1.0
61178,121661,1.0
32179,36254,1.0
61180,121665,1.0
51026,107781,1.0
32184,84156,1.0
32185,194,1.0
61181,121667,1.0
32188,84160,1.0
32189,84162,1.0
32192,8324,1.0
51002,34888,1.0
32230,36316,1.0
51001,58884,1.0
32272,84263,1.0
32261,62545,1.0
61200,111580,1.0
61201,15593,1.0
32267,12003,1.0
50969,107700,1.0
50968,107699,1.0
50967,65579,1.0
32270,47905,1.0
61202,5377,1.0
50966,68652,1.0
50965,107693,1.0
50973,107711,1.0
32276,84269,1.0
61204,121696,1.0
61205,115629,1.0
50961,107685,1.0
61206,121699,1.0
50960,37901,1.0
50959,107683,1.0
50958,7138,1.0
61207,121701,1.0
50956,40904,1.0
32260,5180,1.0
50974,54300,1.0
50999,48613,1.0
50986,71036,1.0
61189,63066,1.0
50996,37512,1.0
32232,37881,1.0
50995,19817,1.0
50994,43293,1.0
50992,8343,1.0
50991,64819,1.0
32239,84227,1.0
50988,3486,1.0
32244,52922,1.0
50985,107725,1.0
50975,56962,1.0
32249,47518,1.0
50981,107721,1.0
50980,107719,1.0
9050,48440,1.0
50978,107717,1.0
61196,121692,1.0
61198,121693,1.0
32259,82,1.0
50976,107715,1.0
61199,15477,1.0
51039,107793,1.0
51042,406,1.0
32288,84278,1.0
51043,41949,1.0
32029,12828,1.0
51099,5019,1.0
32031,37236,1.0
51098,107865,1.0
32033,83984,1.0
51094,51827,1.0
51093,100981,1.0
9199,65208,1.0
51090,3710,1.0
51089,107853,1.0
51088,29048,1.0
51087,107852,1.0
32040,58965,1.0
32043,5246,1.0
61154,121640,1.0
32045,3394,1.0
32049,13982,1.0
51085,36720,1.0
51083,107843,1.0
32052,84007,1.0
32055,6327,1.0
51082,59869,1.0
51081,22803,1.0
61153,100150,1.0
61152,94141,1.0
32025,43925,1.0
32008,832,1.0
51121,23568,1.0
51120,32393,1.0
32003,15483,1.0
51118,27855,1.0
61146,30018,1.0
51117,33176,1.0
51116,99634,1.0
51114,54130,1.0
51113,107879,1.0
