node1,node2,flow
22373,17305,1.0
17973,19331,1.0
17987,8968,1.0
17983,10221,1.0
17982,35695,1.0
17981,35693,1.0
17980,35692,1.0
17978,14475,1.0
17974,19309,1.0
17971,35681,1.0
17990,35698,1.0
4097,8472,1.0
17959,16152,1.0
17958,35179,1.0
11257,22260,1.0
11260,7135,1.0
17956,8776,1.0
17955,35658,1.0
17988,3750,1.0
17991,35700,1.0
18012,18013,1.0
18002,29786,1.0
18008,35719,1.0
11249,11250,1.0
8063,21087,1.0
18005,35711,1.0
18004,35710,1.0
18003,20033,1.0
4075,23397,1.0
18001,27881,1.0
17992,35701,1.0
18000,5614,1.0
17999,20832,1.0
17998,35707,1.0
11250,6990,1.0
17997,35705,1.0
17996,35704,1.0
17994,35703,1.0
4104,23408,1.0
4105,23409,1.0
17953,35656,1.0
11286,12197,1.0
11278,28564,1.0
17923,20340,1.0
4130,22077,1.0
17922,5033,1.0
17921,10323,1.0
11285,5703,1.0
17920,14743,1.0
4137,4360,1.0
17952,16675,1.0
17919,35611,1.0
17918,4274,1.0
8045,25846,1.0
11289,28573,1.0
17916,6999,1.0
17915,35603,1.0
11296,28580,1.0
4128,23421,1.0
8051,15441,1.0
11271,28556,1.0
17934,33759,1.0
17951,17575,1.0
17950,35651,1.0
17949,2541,1.0
17947,35647,1.0
17946,30979,1.0
17945,7716,1.0
17944,5806,1.0
17943,11695,1.0
17942,32619,1.0
11264,28548,1.0
11265,11920,1.0
17939,12660,1.0
17938,19357,1.0
11268,6370,1.0
17936,4915,1.0
18011,18012,1.0
18013,16739,1.0
17911,16635,1.0
18081,7393,1.0
11222,17213,1.0
18087,35787,1.0
11227,23218,1.0
4031,7232,1.0
18085,1800,1.0
18083,23305,1.0
8078,10114,1.0
18078,35777,1.0
18089,35789,1.0
18077,35776,1.0
11231,18174,1.0
18076,8564,1.0
18074,1300,1.0
18073,35773,1.0
8072,25869,1.0
18072,21127,1.0
18088,35788,1.0
18090,35790,1.0
18014,35722,1.0
18101,35803,1.0
18111,35813,1.0
18108,35809,1.0
18107,5322,1.0
18106,35808,1.0
11214,28514,1.0
4016,8116,1.0
18102,35805,1.0
18100,35802,1.0
18091,31249,1.0
18099,12035,1.0
18098,35800,1.0
18097,35799,1.0
11219,28520,1.0
18094,839,1.0
18093,4500,1.0
18092,35797,1.0
18071,21123,1.0
18065,35765,1.0
18064,35763,1.0
18028,23150,1.0
18040,35740,1.0
18038,28683,1.0
18035,12305,1.0
18034,18037,1.0
4063,23388,1.0
18032,35736,1.0
18030,35735,1.0
18027,35733,1.0
18063,8028,1.0
18026,13513,1.0
11246,28541,1.0
18024,29641,1.0
18022,35728,1.0
18020,18780,1.0
18017,35723,1.0
18015,14525,1.0
4062,10549,1.0
18041,28036,1.0
18043,35741,1.0
18046,35745,1.0
18062,35762,1.0
8071,5620,1.0
18060,35760,1.0
18059,21109,1.0
18056,30311,1.0
18054,4255,1.0
11236,2146,1.0
18052,35755,1.0
11237,28533,1.0
11238,841,1.0
18051,35751,1.0
11240,28535,1.0
18050,20586,1.0
18048,17601,1.0
11241,11240,1.0
17913,35602,1.0
17910,13612,1.0
11213,28512,1.0
17782,10932,1.0
17788,7876,1.0
11338,7948,1.0
11341,10473,1.0
17786,35459,1.0
17785,35458,1.0
17784,14360,1.0
17783,17759,1.0
4234,23472,1.0
17790,16521,1.0
17780,19762,1.0
17779,11810,1.0
17778,17352,1.0
4239,2967,1.0
17777,336,1.0
17776,22232,1.0
17775,35451,1.0
17789,19184,1.0
17791,35463,1.0
17812,20823,1.0
17800,35468,1.0
11331,21245,1.0
17808,35478,1.0
17807,14205,1.0
17806,29669,1.0
17805,35470,1.0
17803,11352,1.0
17802,35469,1.0
17799,2899,1.0
17792,35464,1.0
17798,15411,1.0
17797,13539,1.0
17796,15409,1.0
17795,17796,1.0
17794,17795,1.0
4227,23466,1.0
17793,19185,1.0
17774,34920,1.0
11350,28626,1.0
17773,25400,1.0
11370,7943,1.0
4262,249,1.0
17752,1703,1.0
17751,35424,1.0
17750,35422,1.0
17749,14312,1.0
11366,17603,1.0
17746,35419,1.0
11372,13852,1.0
17772,12038,1.0
17745,9396,1.0
17744,29982,1.0
17743,35416,1.0
17741,35412,1.0
17740,35411,1.0
17737,35410,1.0
17734,9034,1.0
17753,8521,1.0
17755,35428,1.0
11363,28639,1.0
17756,19811,1.0
17771,35448,1.0
17770,35446,1.0
17769,12741,1.0
17768,2663,1.0
11357,28629,1.0
11358,5385,1.0
17766,35439,1.0
17765,1744,1.0
17764,10524,1.0
17763,35436,1.0
17761,35435,1.0
17760,35432,1.0
17759,35431,1.0
8004,25820,1.0
17757,35429,1.0
4218,1674,1.0
11329,28612,1.0
11299,11868,1.0
17871,34876,1.0
8028,25838,1.0
17882,12979,1.0
17881,35563,1.0
17880,13867,1.0
17875,31270,1.0
17873,35555,1.0
17872,1278,1.0
17870,2188,1.0
17883,35566,1.0
17869,21418,1.0
