node1,node2,flow
1._FC_Kaiserslautern_players,German_football_clubs,1
1._FC_Kln_players,German_football_clubs,4
10th-century_Irish_people,Medieval_Gaels,1
10th-century_Irish_people,People_from_County_Galway,1
125cc_World_Championship_riders,MotoGP_race_reports,1
12th-century_biblical_manuscripts,Greek_New_Testament_minuscules,1
13th-century_biblical_manuscripts,Greek_New_Testament_minuscules,1
14th-century_biblical_manuscripts,Greek_New_Testament_minuscules,1
15th-century_English_people,People_executed_by_decapitation,1
15th-century_English_people,Knights_of_the_Garter,2
15th-century_English_people,16th-century_English_people,2
15th-century_English_people,16th-century_women,2
15th-century_Roman_Catholic_bishops,Knights_of_the_Garter,1
16th-century_English_people,People_executed_under_the_Tudors,2
16th-century_English_people,People_executed_by_decapitation,1
16th-century_English_people,Grade_I_listed_buildings_in_London,1
16th-century_English_people,Knights_of_the_Garter,7
16th-century_English_people,Tudor_bishops,3
16th-century_English_people,Women_of_the_Tudor_period,-2
16th-century_English_people,Year_of_birth_unknown,-2
16th-century_English_people,People_of_the_Stuart_period,-4
16th-century_English_people,People_of_the_Tudor_period,-3
16th-century_English_people,Prisoners_in_the_Tower_of_London,3
16th-century_English_people,"Alumni_of_St_John's_College,_Cambridge",1
16th-century_English_people,Article_Feedback_Pilot,1
16th-century_English_people,16th-century_Roman_Catholics,-1
16th-century_English_people,16th-century_poets,1
16th-century_English_people,16th-century_women,1
16th-century_English_people,17th-century_English_people,-3
16th-century_English_people,17th-century_actors,-1
16th-century_English_people,17th-century_writers,-1
16th-century_English_people,16th-century_writers,-2
16th-century_English_people,English_poets,-3
16th-century_English_people,English_soldiers,-1
16th-century_English_people,English_women,-2
16th-century_English_people,English_countesses,-2
16th-century_English_people,Daughters_of_British_earls,1
16th-century_English_people,Earls_in_the_Peerage_of_England,2
16th-century_English_people,English_Renaissance_plays,-2
16th-century_English_people,English_Roman_Catholic_priests,2
16th-century_Irish_people,17th-century_Irish_people,-1
16th-century_Scottish_people,Earls_in_the_Peerage_of_Scotland,-1
16th-century_poets,17th-century_English_people,-1
16th-century_venerated_Christians,English_Roman_Catholic_priests,1
16th-century_women,People_of_the_Tudor_period,1
16th-century_women,Women_of_the_Tudor_period,-1
16th-century_women,English_Roman_Catholics,1
16th-century_women,English_countesses,-1
16th-century_writers,People_of_the_Tudor_period,1
16th-century_writers,17th-century_English_people,1
17th-century_English_people,Members_of_the_pre-1707_Parliament_of_England,-1
17th-century_English_people,Knights_of_the_Garter,2
17th-century_English_people,People_of_the_Tudor_period,2
17th-century_English_people,People_of_the_Stuart_period,-2
17th-century_English_people,"Alumni_of_St_John's_College,_Cambridge",1
17th-century_English_people,17th-century_writers,-1
17th-century_English_people,17th-century_actors,-1
17th-century_English_people,English_poets,-2
17th-century_French_people,French_nobility,-2
17th-century_Irish_people,People_of_Elizabethan_Ireland,1
17th-century_actors,People_of_the_Tudor_period,1
17th-century_actors,Living_people,-1
17th-century_actors,English_Renaissance_plays,1
17th-century_writers,People_of_the_Tudor_period,1
18th-century_English_people,Fellows_of_the_Royal_Society,1
18th-century_English_people,"Alumni_of_Trinity_College,_Cambridge",-1
18th-century_French_people,Knights_of_the_Golden_Fleece,-1
18th-century_French_people,Roman_Catholic_monarchs,1
18th-century_French_people,House_of_Bourbon_(France),-1
18th-century_French_people,French_Roman_Catholics,1
18th-century_French_people,French_nobility,-1
18th-century_mathematicians,Fellows_of_the_Royal_Society,-1
18th-century_women_writers,English_poets,1
1900s_in_poetry,Living_people,3
1900s_in_poetry,Poetry_awards,1
1910s_comedy_films,Burials_at_Hollywood_Forever_Cemetery,1
1910s_comedy_films,Deaths_from_myocardial_infarction,1
1910s_comedy_films,Lists_of_American_films_by_year,1
1910s_comedy_films,American_screenwriters,2
1910s_comedy_films,American_film_actors,1
1910s_drama_films,Vaudeville_performers,1
1910s_drama_films,American_film_actors,1
1913_films,American_film_actors,-1
1913_films,American_silent_film_actors,-1
1915_films,Vaudeville_performers,1
1915_films,American_film_actors,1
1915_films,American_film_directors,3
1915_films,American_silent_film_actors,1
1916_films,Silent_films,1
1918_films,American_film_actors,3
1918_films,American_silent_film_actors,1
1919_films,American_silent_film_actors,-2
1920s_Western_films,American_film_actors,-1
1920s_Western_films,American_silent_film_actors,-1
1920s_comedy_films,American_film_actors,2
1920s_drama_films,Vaudeville_performers,4
1920s_drama_films,Filmographies,-1
1920s_drama_films,American_film_actors,3
1920s_drama_films,American_film_directors,1
1920s_drama_films,American_silent_film_actors,2
1923_films,American_film_actors,3
1923_films,American_silent_film_actors,2
1924_films,American_silent_film_actors,2
1924_films,American_film_actors,2
1925_films,Deaths_from_myocardial_infarction,-1
1925_films,American_silent_film_actors,2
1925_films,American_film_actors,2
1926_films,American_film_actors,1
1927_films,American_film_actors,2
1930s_Western_films,American_film_actors,-1
1930s_adventure_films,American_silent_film_actors,-1
1930s_adventure_films,American_film_actors,-2
1930s_comedy_films,Years_in_film,1
1930s_comedy_films,English-language_films,-1
1930s_comedy_films,American_films,-1
1930s_comedy_films,American_film_actors,1
1930s_comedy_films,American_silent_film_actors,2
1930s_crime_films,American_silent_film_actors,-1
1930s_crime_films,American_film_actors,-1
1930s_drama_films,Naturalized_citizens_of_the_United_States,-1
1930s_drama_films,American_film_producers,2
1930s_drama_films,Actors_from_London,1
1930s_drama_films,20th-century_actors,-1
1930s_drama_films,English_stage_actors,2
1930s_drama_films,English_film_actors,2
1930s_drama_films,English_silent_film_actors,2
1930s_drama_films,British_film_actors,-1
1930s_musical_films,Deaths_from_myocardial_infarction,-1
1930s_musical_films,American_film_actors,1
1930s_romantic_comedy_films,American_film_actors,2
1930s_romantic_comedy_films,American_stage_actors,2
1932_films,American_film_actors,-1
1932_films,American_film_producers,1
1933_films,American_film_actors,-1
1933_films,English_film_actors,1
1934_films,English_film_actors,-2
1935_films,English-language_films,-1
1935_films,Mystery_films,-1
1935_films,American_film_actors,1
1935_films,American_silent_film_actors,-1
1936_films,Deaths_from_myocardial_infarction,3
1936_films,American_film_actors,-1
1936_films,American_silent_film_actors,1
1936_films,American_stage_actors,1
1937_films,English_film_actors,-1
1937_films,American_film_actors,2
1937_films,American_silent_film_actors,1
1937_films,American_stage_actors,1
1940_films,American_film_actors,4
1940_films,Deaths_from_myocardial_infarction,-1
1940s_American_radio_programs,Living_people,-1
1940s_American_radio_programs,American_television_actors,-1
1940s_American_television_series,Living_people,-1
1940s_Western_films,Canadian_film_actors,-2
1940s_Western_films,American_film_actors,4
1940s_adventure_films,American_film_actors,-1
1940s_adventure_films,American_television_actors,-1
1940s_comedy_films,The_Three_Stooges_films,-1
1940s_comedy_films,Short_films,-1
1940s_comedy_films,Films_directed_by_Jules_White,-1
1940s_comedy_films,American_films,2
1940s_comedy_films,American_film_actors,1
1940s_comedy_films,English-language_films,2
1940s_comedy_films,Black-and-white_films,1
1940s_crime_films,American_film_actors,1
1940s_drama_films,English_television_actors,1
1940s_drama_films,American_film_actors,4
1940s_musical_films,American_film_actors,1
1940s_romantic_comedy_films,English-language_films,1
1940s_romantic_comedy_films,Paramount_Pictures_films,1
1940s_romantic_comedy_films,American_film_actors,4
1941_films,American_stage_actors,1
1941_films,American_film_actors,2
1942_films,American_film_actors,2
1942_films,American_stage_actors,1
1943_films,American_films,2
1943_films,American_silent_film_actors,-2
1947_films,English-language_films,1
1949_films,American_film_directors,2
1949_films,American_film_actors,2
1949_films,Deaths_from_myocardial_infarction,-1
1950_FIFA_World_Cup_players,English_footballers,-1
1950_films,American_film_actors,2
1950_films,American_television_actors,2
1950s_American_radio_programs,Living_people,-1
1950s_American_radio_programs,American_film_actors,-1
1950s_American_radio_programs,American_television_actors,-1
1950s_American_radio_programs,American_television_personalities,-1
1950s_American_television_series,Cancer_deaths_in_California,3
1950s_American_television_series,Burials_at_Forest_Lawn_Memorial_Park_(Hollywood_Hills),1
1950s_American_television_series,RCA_Victor_artists,-2
1950s_American_television_series,People_from_New_York_City,1
1950s_American_television_series,Living_people,-10
1950s_American_television_series,National_Radio_Hall_of_Fame_inductees,1
1950s_American_television_series,American_film_actors,-6
1950s_American_television_series,American_film_directors,1
1950s_American_television_series,American_film_producers,-1
1950s_American_television_series,American_actors,-1
1950s_American_television_series,Actors_from_Iowa,-1
1950s_American_television_series,Black-and-white_television_programs,-1
1950s_American_television_series,1960s_American_television_series,-1
1950s_American_television_series,1970s_American_television_series,1
1950s_American_television_series,1980s_American_television_series,2
1950s_American_television_series,1990s_American_television_series,1
1950s_American_television_series,American_television_actors,-9
1950s_American_television_series,American_television_directors,-2
1950s_American_television_series,American_television_personalities,-1
1950s_American_television_series,Article_Feedback_Pilot,-1
1950s_American_television_series,American_male_singers,-1
1950s_American_television_series,American_people_of_Irish_descent,-1
1950s_American_television_series,American_radio_actors,-1
1950s_Western_films,Living_people,1
1950s_Western_films,American_film_actors,1
1950s_adventure_films,Living_people,-1
1950s_automobiles,Front_wheel_drive_vehicles,-1
