node1,node2,flow
1,24,0.0407351888332025
2,1853,0.3817329498869334
3,17,-0.1840554116617797
4,138,0.7872033833704393
5,20,-0.0401689849290418
6,8,-0.0955382945850101
7,8,0.2698179401083648
8,633,-0.1761840623329885
9,108960,0.1849203079341259
9,15,-0.1648700696237901
10,8357,0.0709227640749501
11,23103,0.0305561426858151
12,3450,0.2441957585958455
13,1740,0.1006234215898831
10,997,-0.4694521109078427
14,1740,-0.0484238772383751
15,455,0.3049283997467752
16,4419,-0.2152029902380029
17,3567,0.2855945462673223
18,58055,-0.1487884077459393
19,270,-0.3357430985353104
20,3878,-0.0039216817140634
21,19695,0.1378338457503468
22,526,0.1590795727662232
8,41083,0.0273965705602802
23,299,-0.0119250210382262
24,110,-0.057431220769959
25,1184,-0.3034909185929314
26,94,0.0534704058294111
27,1740,-0.0819020605857926
28,35,0.091718002650925
29,108961,0.2978937269961655
30,24,0.028131984457885
31,325,0.2539058660429703
24,108962,0.0762755037061565
3,108963,-0.2552004152158632
32,1236,-0.0535073083018871
33,647,0.2017421255320227
34,108964,-0.3585212472374141
35,36,0.0024717713098355
24,28562,0.0694999872640668
36,2650,0.205575568245902
37,1740,-0.0241644302420903
38,108960,-0.3734897077945515
39,94,-0.0042772142534761
2,8,0.1283580998459833
14,27,-0.0928938039097784
22,19695,-0.1957497017701045
40,63,-0.1454835758365152
1,447,-0.2109436344775969
41,800,-0.0440130138018492
42,94,-0.1223657282289715
27,37,0.0566918866536506
43,35,0.0490347020449828
24,91007,0.0609159683129982
44,13725,0.5523007682160317
24,447,0.0342941141256563
45,24,-0.0577829287551898
46,61,-0.0401341578137529
47,526,-0.2028498454093292
48,99700,0.492527544452929
32,253,-0.0528298211637764
28,85,0.0469922035318989
49,108965,-0.4052520309498514
7,4252,-0.3482298833242229
50,56,-0.0523687233061384
51,95756,-0.2835238835238834
8,121,-0.0828452614623863
52,108966,-0.2201821338341791
53,91897,0.2154364318597776
54,72953,-0.4192948019585008
9,801,0.0634791721410622
21,22,0.0336085090270419
35,529,0.0057967658652733
55,285,0.3128849470312885
56,58,-0.0588672276869983
57,46,-0.1670386461571478
58,91,0.1523948712116648
4,4969,0.1736372408812607
56,61,0.188375261634512
59,4404,0.4096762458649148
60,108967,-0.3648862582083489
61,91,0.040548778853556
62,10043,-0.1593135324814613
55,10497,0.2779009608277901
63,12282,0.0286818714269664
64,2713,0.0308918032966711
65,153,-0.3718013054707156
66,121,-0.0677309682187731
67,77409,0.2114357784191918
64,5555,0.0038667026494527
68,41083,-0.5588749126484975
69,16422,0.0482053286043978
70,8,0.1161427355017362
71,11,-0.1521601200784574
72,3,-0.0781261040014902
73,85,0.0371687571767377
74,61,0.095225098541028
75,24,-0.0129398278742408
76,24,0.5630685461631335
77,1740,-0.0263452783856324
78,50,-0.3156660597962964
39,42,0.1035258669224513
14,13,-0.0294365750423187
79,108968,0.3032787165549305
80,1808,0.215588078216792
74,91,0.0751200872331714
81,108969,0.1188774071019601
82,299,0.423571538054735
58,35,0.0844432782046514
83,58844,-0.5308705179831277
84,44718,0.0630610322320167
39,114,0.0063851674826723
85,35,0.1335996494501461
75,249,0.1068468442197777
86,108970,0.1181393134198258
87,57,-0.0250279722949894
88,84266,0.4340996551281301
29,458,0.0700694306438135
9,23150,0.0590354392759039
42,26,-0.1768072406840711
89,29,-0.0769532959238756
90,85,-0.1160649724764287
30,110,-0.0489878500144674
91,35,-0.0058210463081974
92,3697,-0.1210077700713939
93,490,-0.04590541090993
94,108971,-0.0068143845505607
74,57,0.0691683465442807
95,33231,-0.2416130712304542
96,381,-0.0178644732882493
28,399,0.0246835523514397
97,3464,-0.1009547873723627
98,74,0.1682850157177785
99,78,-0.2802630197047049
100,95064,0.0681760767967664
101,73,-0.1431024909814523
75,61215,-0.040117016989795
102,10043,-0.0101474464354368
103,526,0.3531119551786568
104,4,0.7209809930000569
105,87,-0.1623614285733237
106,49955,0.3516478223394007
107,299,-0.0081474763467523
108,108972,-0.7252032520325203
1,876,-0.3473888649675467
109,21988,0.0584556189360261
110,876,0.2189708370657908
111,10043,-0.020366940336398
32,566,-0.1827650847974021
42,108971,-0.043924127245122
112,92,0.0769364168455344
52,69299,-0.4043692079892214
33,75356,-0.0391886488647784
39,108971,-0.0111815631322818
9,21486,0.0468320799747827
113,343,-0.2170326597648273
114,1581,-0.0015295461498064
115,37554,-0.247451785680993
116,133,-0.2643044296125487
117,1803,0.1133395501616999
118,9764,0.0312544220799638
119,1037,-0.1159122791741645
75,840,0.0257539083196478
75,184,0.0495135726477989
120,815,0.2418358281881579
75,194,0.0301410310880515
32,20059,0.0245799305708554
9,108973,0.0447156302066915
98,1489,-0.0399929393899722
121,41083,-0.3445143256464011
61,85,-0.1041508925972009
122,5380,0.0007690438623679
75,233,0.0035941004554918
123,128,0.123567496918135
124,1300,0.3691099476439791
125,2945,0.0687256641406934
126,728,-0.1302052973320075
127,20,0.970632911392405
128,44718,-0.0727642026433045
3,1366,0.0154633533989996
114,326,0.12114534022925
129,28,0.1364737619045949
56,85,-0.0231567873312402
28,2220,-0.0265199765634058
123,44718,0.1126430730523355
117,297,-0.323358470582206
130,25003,0.4215390327014616
26,108971,0.2033990630787667
131,105,-0.1989798618490123
132,12285,0.0252951379224729
20,462,0.0175251077173561
133,299,0.0943051565448576
134,32,0.0044386166916686
135,99,-0.2600466541676499
13,27,0.0747895723738851
136,101,-0.0168003073493459
137,16,-0.0668805073185119
138,4969,-0.1949211996069309
107,18,0.034979631632154
14,37,-0.2685921044129999
126,31146,0.123263517182929
139,39000,0.3560617258216317
140,60639,-0.1449168004170268
35,2127,-0.0333048808056305
141,1634,-0.0529963973968766
107,934,0.0058408665777884
142,270,0.0996338908948642
