node1,node2,flow
1,1372,-0.8232986525669452
2,4,-0.0317614193159858
3,215,0.1366377856302749
4,301,0.0840258420441347
5,99,-0.0561612964286408
5,6,-0.0485389931401142
6,99,0.0239169511269981
7,79168,-0.0404720604316236
8,64,0.1044261624752792
8,3455,-0.2113193539083938
9,45,0.2434135161993265
10,99,0.0286704562007186
11,175999,0.1403366370038556
12,7,-0.0796632189540505
13,7,-0.0155995717837824
14,74,0.4350106278114808
15,65,0.475188228690267
16,82,0.145810278499669
17,948,0.6519927358978393
18,7,0.0083687372344213
19,56,-0.0059969255054404
20,4547,0.0112421847324686
21,682,0.0841459970515866
10,5,0.3356570751610542
22,902,0.4385526161032562
23,2059,0.1516680802917979
24,114,-0.0501581307983916
25,45,0.0995423059524463
6,61,0.0108368794166882
26,719,0.0911966855839674
11,249,0.0369043679532575
27,217,-0.019478653199225
28,75,-0.0093444829035806
29,3,0.1371984511037208
30,6826,-0.1280589761088819
31,2799,-0.1772989707286025
32,21,-0.0757164343131208
33,1451,0.2402903741613835
34,645,-0.1207527924282123
35,6609,0.3374374052405324
9,74,0.107744367660345
6,1344,0.0650178390472968
36,14,0.0830256104043411
37,267,0.0056152533940982
38,83,-0.106394895527539
34,815,0.0847133552152203
39,114,-0.0858910617178874
19,4824,0.0757714609101852
40,176000,0.1699972811310494
11,3250,0.093016295066704
20,1117,0.011305530387402
41,6,0.0685875013838055
21,495,0.1391632720747758
42,5319,-0.3003501711849599
3,658,-0.0830496617093106
43,5319,0.2022327281369494
44,57980,-0.2398066286402294
45,134486,-0.0912502175897229
46,7585,0.0689806310302383
47,44,-0.2805344816994174
48,1363,-0.0681435019906327
49,1182,0.5219358236313204
50,3,-0.0347664173148428
29,595,0.1592417277189304
20,1069,-0.033858214859266
9,14,0.0885355434440385
42,3025,0.3458849888479676
2,10456,0.1226788166006689
51,4824,-0.3834307401631195
52,1363,0.0994947136126973
53,2078,-0.010081811018431
54,47,-0.4243113803274657
55,6826,0.0456534392610367
5,16643,0.1451036228444866
56,662,-0.0746950528109871
30,63,-0.0117255658938121
57,40,-0.1256127341934846
4,1122,-0.1027798746626045
58,217,0.2343754752082827
59,76,-0.0627337604842958
60,128401,-0.7926998828647925
33,1363,-0.0743756207891611
61,6825,0.1202252569705005
62,44593,0.0403743920992302
36,25998,-0.1147894929827026
63,57980,0.2198703512478461
64,56,0.3074742691408954
65,245,0.023846859437674
66,52,0.0218742037264471
67,45,0.066623099325868
68,1185,0.2655841847310023
69,175999,-0.0283607679728018
70,7,0.0004875147187664
71,31,0.1150717906364773
4,1229,-0.0969479445471453
72,1363,-0.0552091664191387
11,125,-0.1800989722659539
41,2078,0.05138866967294
73,2060,0.152187410695121
74,45,0.1405988021836455
75,126,-0.0279933988477743
76,1363,-0.0546284526924031
77,646,0.1789572521175873
78,1521,0.0852335938671443
79,217,0.1104221903969344
4,89,0.0174354465255523
80,74,-0.1043878863030323
81,1779,-0.513122284993752
82,3455,0.1309369495796249
83,217,-0.0110355253890408
84,72,-0.245399134184462
85,78,-0.102804789241889
86,48,-0.1738220698732389
87,1122,0.0110935905350168
45,516,-0.0380956339040627
88,3858,-0.4781438337038233
89,31,-0.0383813743673825
90,11147,-0.5288061812358312
91,16643,0.04091166172906
36,45,0.0423510190510063
92,214,0.0143946467826185
51,3858,0.2691383834327203
93,3052,-0.4926966293203121
94,964,0.0143451946486624
35,16206,0.1359360406040193
95,165,0.2454306361445771
96,2078,-0.2232688203694164
20,40,-0.1200040783034257
4,31,-0.0072236007628197
97,30800,-0.2454255055362955
98,1154,0.5801677890041238
99,61,0.0395686175909671
100,171,0.223918977957784
52,17065,-0.377128595795974
101,6318,0.3457742781635168
102,176001,-0.0773498851464666
103,1514,0.2248147030922802
104,1363,0.0523783918864802
72,118,-0.1250577184724838
105,214,0.1043746894930129
106,61,-0.0893863752776263
107,95,0.1910509325446623
108,76,-0.1140386817451715
109,4,0.0838143170102365
65,457,-0.1734389441916816
110,510,0.1658095042091593
111,409,-0.1390514275455452
112,162,-0.1825427871567907
32,36878,-0.0418896181637596
113,6302,-0.4287915253318804
114,173576,0.0348742561075497
2,1229,-0.2673990171382644
115,76,0.004343309525866
116,814,0.3556049006956451
6,16643,0.0451550216016003
112,1927,0.3365983486442729
117,3693,0.1324536908216834
118,1363,-0.0200658770214992
9,36,0.0707784308975672
119,6318,-0.4494513550248147
120,31,-0.0670085499789658
121,666,-0.0503673453096856
122,15,0.1964660421314809
123,75,0.1040278748262356
124,6302,0.1913853466451402
4,171,-0.0608994092872184
125,114,0.0088806453544171
126,966,0.2728462096864814
127,134,-0.0847171150931999
124,1927,-0.319047008209423
128,88,-0.4250303977766197
54,769,0.3044431679146315
129,409,0.0309553864946411
130,175999,0.0719031555127184
131,1122,-0.019534916322464
132,1513,0.0386426152541441
133,40,-0.0795411168359902
134,12264,0.0758418511930044
135,479,-0.3102778343336862
136,61,-0.1129225084229975
137,45,0.1043831614909462
132,9,0.0139857901228609
138,46,0.0293943439506994
3,864,-0.2786078349889512
46,15492,-0.0754886101433562
139,7,0.1916908459135656
140,407,-0.1320853843691262
141,127,-0.2534645893503641
140,3052,0.3397005625627554
101,113,-0.2746294693329565
142,535,-0.2345712438095826
143,9713,-0.1502259378585665
144,176000,-0.2494043276441143
145,8,0.1565030713725042
146,62,0.2711250954685524
147,75,-0.0294471873286444
148,176002,-0.3879198143904026
149,5478,-0.2839736710984805
150,217,-0.0133675340375709
151,19542,0.1105405771575667
4,625,0.0087020535253094
152,169,0.5740617034004539
55,5770,-0.2260311195878187
153,1341,-0.3421819256781274
154,310,0.2123453978598714
155,217,0.0681660127615149
94,223,0.0181833881152896
75,2023,-0.2209985769920633
156,31,0.0867804581658874
157,52,-0.0262983317053605
158,40,-0.099068787384448
6,6825,0.0187839524615439
159,214,0.1253310475349683
114,3419,0.022137099287878
20,687,-0.0156142849368315
160,193,-0.1180456683858034
161,24,0.0965301847148379
162,165,-0.0882071784333349
145,510,-0.1115891543849589
128,154,0.6532651605442599
65,1698,0.0203765820558322
163,5702,-0.0320319800392523
164,1445,0.1729521244030855
165,6567,-0.1926752076764662
166,448,0.1059972802400687
167,541,0.1440110249673022
168,182,0.0600734511455243
169,389,0.1509498264727046
170,658,0.0274840201463556
171,176001,0.1146719804893402
36,16513,-0.1836874964571952
109,171,0.0675794230018415
76,28856,-0.0206115750354777
172,67,0.0742296391780904
173,16,0.4793460860272509
174,216,0.1814842407548485
