node1,node2,flow
44998,89045,1.0
42722,85864,1.0
48909,32048,1.0
35039,45104,1.0
16144,54383,1.0
44747,88766,1.0
48908,93873,1.0
16146,25247,1.0
32534,12990,1.0
48907,93872,1.0
44278,53302,1.0
29838,72345,1.0
48906,53762,1.0
16152,22398,1.0
48905,93870,1.0
48904,93869,1.0
32535,75113,1.0
16156,57131,1.0
32536,75114,1.0
48903,93865,1.0
29845,6840,1.0
29846,72352,1.0
45113,17596,1.0
16134,60722,1.0
41362,84811,1.0
16120,60717,1.0
32528,25309,1.0
34700,77381,1.0
39101,82189,1.0
52117,21299,1.0
39102,33223,1.0
38547,5709,1.0
52118,30711,1.0
52119,45626,1.0
44748,88767,1.0
32529,75106,1.0
16124,21203,1.0
16128,943,1.0
35038,77751,1.0
41360,8137,1.0
52120,97793,1.0
16160,60740,1.0
34699,21657,1.0
42715,46923,1.0
29835,72341,1.0
52127,97803,1.0
16186,40565,1.0
16187,16100,1.0
16192,22607,1.0
16195,15164,1.0
52128,61185,1.0
41356,167,1.0
39104,26339,1.0
41355,43049,1.0
38546,81543,1.0
29834,72339,1.0
32544,75124,1.0
32545,4650,1.0
32546,2475,1.0
41354,64567,1.0
16204,60759,1.0
39983,10148,1.0
29833,41316,1.0
36568,47428,1.0
32542,75118,1.0
42725,15423,1.0
41358,41359,1.0
48902,17239,1.0
41359,65288,1.0
52123,42403,1.0
52124,45030,1.0
52125,97800,1.0
16165,15154,1.0
16170,19917,1.0
32538,39886,1.0
42723,86490,1.0
16171,60749,1.0
42724,31663,1.0
45115,89166,1.0
52126,97801,1.0
45116,89167,1.0
36569,53061,1.0
32540,62126,1.0
44746,88765,1.0
6481,10179,1.0
41363,79585,1.0
35469,25733,1.0
29863,72368,1.0
36573,79451,1.0
29864,72373,1.0
32520,75090,1.0
44280,83298,1.0
16073,60677,1.0
48921,72054,1.0
37441,15507,1.0
16078,32439,1.0
32523,75093,1.0
37443,8881,1.0
52111,97780,1.0
34701,77382,1.0
29862,26210,1.0
44754,88771,1.0
39098,82185,1.0
6503,6299,1.0
32524,75097,1.0
16089,60688,1.0
16060,3070,1.0
6512,55314,1.0
16058,60670,1.0
29868,72375,1.0
16044,33525,1.0
37440,43719,1.0
48923,16100,1.0
35037,77525,1.0
45109,23041,1.0
16045,18785,1.0
38550,31273,1.0
38549,17768,1.0
48922,93918,1.0
52106,97777,1.0
16050,49432,1.0
44755,88772,1.0
45110,89160,1.0
32517,75088,1.0
44283,53292,1.0
52108,26776,1.0
52109,31451,1.0
32525,30758,1.0
44279,48516,1.0
37442,27374,1.0
29854,11568,1.0
16109,27813,1.0
29852,72360,1.0
32527,10915,1.0
16112,60709,1.0
38548,16308,1.0
41364,84812,1.0
52113,2940,1.0
39100,82188,1.0
52114,2133,1.0
39673,4298,1.0
29851,9550,1.0
36571,79447,1.0
6483,55304,1.0
48912,84824,1.0
40225,83400,1.0
52116,5609,1.0
48911,65211,1.0
44749,44750,1.0
6488,55308,1.0
48919,93898,1.0
48914,48915,1.0
42717,86483,1.0
44753,88770,1.0
42719,86484,1.0
44752,88769,1.0
29857,72365,1.0
48918,3735,1.0
41369,17785,1.0
41368,24676,1.0
44751,77190,1.0
48917,19471,1.0
29856,72364,1.0
16095,7890,1.0
16097,11713,1.0
45112,7712,1.0
41366,84813,1.0
48916,93889,1.0
48915,93888,1.0
45117,89168,1.0
52130,18062,1.0
29832,72337,1.0
52150,32200,1.0
25161,22688,1.0
16298,60809,1.0
16299,11133,1.0
16300,25990,1.0
16301,16300,1.0
16302,24112,1.0
16303,16302,1.0
48873,79745,1.0
52151,2591,1.0
29822,19069,1.0
37452,36603,1.0
16304,25786,1.0
32576,598,1.0
29818,34889,1.0
45120,89174,1.0
48871,93827,1.0
16309,28410,1.0
29816,63623,1.0
16295,60808,1.0
32575,27301,1.0
48874,44893,1.0
52148,791,1.0
16277,60798,1.0
44744,18126,1.0
36554,79426,1.0
44743,88763,1.0
16280,60801,1.0
34697,77377,1.0
48882,387,1.0
32574,75149,1.0
34696,18765,1.0
16285,60802,1.0
48881,93838,1.0
16288,53002,1.0
48880,48911,1.0
44742,88761,1.0
16292,22706,1.0
48876,93836,1.0
48875,93834,1.0
37455,72065,1.0
52152,67957,1.0
