node1,node2,flow
6288,17838,1.0
12388,24839,1.0
9688,4046,1.0
12390,5492,1.0
12391,24844,1.0
6088,17673,1.0
12392,1136,1.0
6089,17674,1.0
12393,24847,1.0
12394,24848,1.0
12395,15392,1.0
2643,14955,1.0
9687,6880,1.0
6093,17676,1.0
9685,17259,1.0
6095,17459,1.0
2642,14954,1.0
12398,16818,1.0
9683,8859,1.0
2638,14950,1.0
9680,10508,1.0
12399,7573,1.0
12400,2642,1.0
9679,4229,1.0
9678,19740,1.0
12389,24841,1.0
9689,9690,1.0
6102,17684,1.0
9690,21551,1.0
12374,24830,1.0
12375,24832,1.0
12376,14957,1.0
12378,24833,1.0
6072,3768,1.0
12379,13982,1.0
9700,21567,1.0
9699,21564,1.0
12381,249,1.0
6080,17661,1.0
9698,21560,1.0
6082,17664,1.0
9697,21559,1.0
2655,7062,1.0
2654,14963,1.0
12382,24834,1.0
12383,13754,1.0
12384,10338,1.0
9695,21554,1.0
12385,24835,1.0
12386,24836,1.0
6086,6412,1.0
9691,9367,1.0
12401,24855,1.0
12402,24856,1.0
12371,3700,1.0
9665,21529,1.0
12419,24871,1.0
12420,3419,1.0
2616,14929,1.0
2615,14928,1.0
6128,17706,1.0
2611,14927,1.0
9663,3288,1.0
6131,17711,1.0
6132,17712,1.0
12424,24873,1.0
12425,13798,1.0
12426,24874,1.0
6134,17713,1.0
9662,9188,1.0
12430,24877,1.0
12431,24878,1.0
12432,24879,1.0
12434,8471,1.0
9661,21523,1.0
12436,24884,1.0
9657,4307,1.0
2597,7119,1.0
9656,6289,1.0
12418,22387,1.0
12417,24869,1.0
12404,24857,1.0
2619,4007,1.0
9674,6168,1.0
12406,24858,1.0
12407,17886,1.0
9673,21535,1.0
12408,24859,1.0
12409,11038,1.0
12410,24860,1.0
6108,17691,1.0
6110,16863,1.0
12411,432,1.0
6114,9814,1.0
12412,24865,1.0
9669,21434,1.0
6118,17697,1.0
2624,14936,1.0
12413,18225,1.0
6119,17698,1.0
6120,17699,1.0
12414,23381,1.0
6124,7086,1.0
12415,24867,1.0
12416,24868,1.0
9668,8111,1.0
12372,12437,1.0
12369,24822,1.0
1680,713,1.0
12324,17447,1.0
9743,21620,1.0
6024,5986,1.0
12327,2090,1.0
9742,16714,1.0
9741,21619,1.0
12329,24769,1.0
9740,7692,1.0
2707,15008,1.0
9739,3239,1.0
6027,17607,1.0
6028,17608,1.0
9737,21615,1.0
12331,24775,1.0
12332,24776,1.0
6029,13025,1.0
12334,24780,1.0
12335,24782,1.0
6032,232,1.0
12336,10987,1.0
6034,15959,1.0
6036,3159,1.0
9734,21612,1.0
6039,17618,1.0
12325,8980,1.0
12323,9878,1.0
6041,17622,1.0
9745,18536,1.0
12307,13709,1.0
9765,21644,1.0
9763,5976,1.0
12309,8743,1.0
12310,24744,1.0
6010,17009,1.0
6011,17589,1.0
6012,17590,1.0
9759,10621,1.0
9758,4425,1.0
6015,10103,1.0
9757,21638,1.0
12314,24753,1.0
9756,21637,1.0
9754,21635,1.0
12318,623,1.0
2724,11561,1.0
12322,24762,1.0
9749,21630,1.0
6021,8703,1.0
9748,21626,1.0
9747,17285,1.0
6022,17601,1.0
9732,1291,1.0
12337,24788,1.0
12367,24821,1.0
12352,23503,1.0
6054,14946,1.0
6055,17634,1.0
6056,2248,1.0
12354,12355,1.0
6057,17635,1.0
9716,9870,1.0
12356,13241,1.0
12358,13801,1.0
9713,21587,1.0
12359,24815,1.0
12360,24816,1.0
9712,21586,1.0
12361,6677,1.0
2676,14977,1.0
9710,6396,1.0
12362,24818,1.0
9708,11063,1.0
6063,17650,1.0
9706,21573,1.0
12363,9529,1.0
12365,1332,1.0
9705,3109,1.0
2670,14972,1.0
2685,14988,1.0
12351,24810,1.0
9731,13019,1.0
9721,21597,1.0
9730,12497,1.0
2700,15001,1.0
12338,24789,1.0
9728,21609,1.0
12339,24790,1.0
12340,24794,1.0
9727,7446,1.0
9726,21604,1.0
12341,438,1.0
2695,14996,1.0
9725,21603,1.0
12342,24799,1.0
12343,24800,1.0
9724,1065,1.0
2693,14993,1.0
2692,13800,1.0
12346,12209,1.0
6051,13215,1.0
12348,24806,1.0
12349,19950,1.0
12350,24807,1.0
9723,21600,1.0
9722,21599,1.0
9654,21513,1.0
6141,17718,1.0
12441,24888,1.0
