startpoint,endpoint,weight,edge number
1,2,1,1
1,3,7,2
4,5,3,3
6,7,5,4
6,8,14137,5
9,10,8,6
11,2,8,7
12,5,413,8
13,14,2,9
13,15,2,10
16,17,2,11
18,5,416,12
18,19,2,13
20,21,8,14
20,22,11,15
20,23,1,16
24,22,96,17
25,2,41,18
26,27,1,19
28,21,6,20
29,5,17,21
30,31,480,22
30,32,8,23
30,33,8,24
30,34,2,25
30,35,12,26
30,36,1,27
30,37,2,28
38,5,9,29
39,5,37,30
40,5,1,31
41,5,32,32
42,22,6,33
42,43,1,34
44,45,95,35
44,46,37483,36
44,47,47,37
44,48,16,38
44,49,40,39
44,50,51,40
44,51,33,41
44,52,23,42
44,53,22,43
44,54,1341,44
44,55,61654,45
44,56,30,46
44,57,151,47
44,58,15,48
44,59,107,49
44,60,44923,50
44,61,57,51
44,62,7989,52
44,63,10,53
44,64,10,54
44,65,2,55
44,66,22,56
44,67,153,57
44,68,12,58
44,69,28955,59
44,70,383,60
44,71,2,61
44,72,99,62
44,73,89,63
44,74,142,64
44,75,75,65
44,76,50,66
44,77,1214,67
44,78,22,68
44,79,30,69
44,80,71890,70
44,81,9,71
44,82,22,72
44,83,79,73
44,84,1,74
44,85,47,75
44,86,8842,76
44,87,146,77
44,88,72466,78
44,89,1457,79
44,90,46468,80
44,91,20089,81
44,92,2,82
44,93,13,83
44,94,2,84
44,95,32,85
44,96,39,86
44,97,151,87
44,98,3413,88
44,99,1,89
44,100,1,90
44,101,2,91
44,102,2,92
44,103,37,93
44,104,506,94
44,105,2,95
44,106,2321,96
107,57,71272,97
107,108,87,98
107,109,721,99
107,110,41,100
107,111,993,101
107,79,98,102
107,112,49,103
107,113,134,104
107,114,3,105
107,104,200,106
115,116,7,107
115,22,9,108
115,117,9,109
115,118,32,110
115,119,47,111
115,120,68,112
115,14,1500,113
115,121,63,114
115,122,247,115
115,15,70,116
115,123,41,117
124,125,117,118
124,126,374,119
124,127,109,120
124,46,135930,121
124,128,14551,122
124,129,114,123
124,130,2,124
124,49,614,125
124,131,6,126
124,51,3377,127
124,132,679,128
124,133,939,129
124,134,50,130
124,135,66,131
124,136,2453,132
124,137,67548,133
124,54,218,134
124,55,554,135
124,138,10,136
124,139,2451,137
124,140,300,138
124,141,20,139
124,142,58,140
124,143,797,141
124,144,2278,142
124,145,184151,143
124,56,255,144
124,146,127,145
124,147,311797,146
124,57,292616,147
124,60,1694,148
124,148,84,149
124,108,32815,150
124,109,726,151
124,149,143,152
124,150,327,153
124,151,186,154
124,62,1896,155
124,152,1645,156
124,153,70,157
124,154,7,158
124,155,4,159
124,156,328,160
124,157,75185,161
124,10,39,162
124,158,296,163
124,68,8,164
124,69,37746,165
124,159,102881,166
124,70,58,167
124,160,32,168
124,111,1493,169
124,72,420,170
124,161,486,171
124,162,2,172
124,73,2,173
124,74,25,174
124,163,145,175
124,164,158922,176
124,165,145683,177
124,166,22776,178
124,77,2526,179
124,167,43,180
124,78,413,181
124,168,22366,182
124,79,36321,183
124,80,39571,184
124,81,73303,185
124,82,14,186
124,169,6,187
124,170,44,188
124,171,653,189
124,83,348,190
124,84,168,191
124,172,32,192
124,173,1,193
124,85,62,194
124,174,76737,195
124,175,1482,196
124,176,79535,197
124,177,709,198
124,178,276,199
124,179,1863,200
124,88,86697,201
124,180,147,202
124,181,130,203
124,182,30864,204
124,90,7301,205
124,183,368987,206
124,92,245,207
124,184,209,208
124,185,263,209
124,94,105,210
124,186,613,211
124,187,74,212
124,188,593,213
124,95,37,214
124,189,3232,215
124,97,76,216
124,190,70612,217
124,191,10879,218
124,192,6,219
124,193,350,220
124,194,14,221
124,195,52715,222
124,196,22064,223
124,197,3533,224
124,198,492,225
124,113,112717,226
124,199,8672,227
124,200,5353,228
124,102,29530,229
124,201,1526,230
124,202,53,231
124,203,10442,232
124,103,1849,233
124,204,50197,234
124,104,104,235
124,205,25,236
124,206,13,237
207,208,11,238
207,174,20076,239
209,46,2711,240
209,69,1,241
209,74,7231,242
210,46,35302,243
210,211,73,244
210,76,1,245
210,212,78,246
213,46,801,247
213,128,25,248
213,137,171,249
213,57,9539,250
213,60,337,251
213,150,1732,252
213,159,30850,253
213,72,328,254
213,164,16,255
213,174,117,256
213,176,999,257
213,88,2335,258
213,90,324,259
213,183,5055,260
213,188,12,261
213,214,8,262
213,199,293,263
215,46,13125,264
215,143,144,265
215,147,141,266
215,69,18257,267
215,74,37487,268
215,88,1134,269
215,195,44,270
215,203,7,271
216,129,36,272
216,217,8,273
216,133,29505,274
216,218,1,275
216,146,5248,276
216,219,8414,277
216,150,4832,278
216,220,9,279
216,221,4,280
216,222,2,281
216,10,2337,282
216,223,13,283
216,224,6,284
216,225,31819,285
216,161,2,286
216,74,17872,287
216,77,3271,288
216,226,32,289
216,227,4017,290
216,228,6,291
216,229,18,292
216,90,3,293
216,186,3136,294
216,230,817,295
216,231,1,296
216,232,4,297
233,129,50,298
233,234,34,299
233,147,207,300
233,57,45735,301
233,149,73,302
233,235,172,303
233,211,43,304
233,159,13471,305
233,111,230,306
233,236,35,307
233,79,111,308
233,82,86,309
233,237,256,310
233,174,32,311
233,175,111,312
233,87,48,313
233,176,89,314
233,177,174,315
233,194,28,316
233,238,230,317
233,239,49,318
233,240,35,319
233,104,99,320
241,124,6,321
241,242,20,322
241,243,601,323
241,165,25936,324
241,183,2,325
241,185,3,326
241,244,1799,327
241,195,5238,328
241,196,53116,329
241,199,6669,330
245,44,2,331
245,246,1355,332
245,125,1478,333
245,46,57181,334
245,47,119,335
245,49,173,336
245,51,233,337
245,133,41512,338
245,247,106,339
245,248,3,340
245,135,2633,341
245,249,736,342
245,250,1812,343
245,251,490,344
245,52,584,345
