node1,node2,flow,AFRC,class
1,640,0.5959183673469388,-17,0
1,6145,0.0326530612244898,-11,0
1,6146,0.0979591836734693,-16,0
1,6433,0.0244897959183673,-6,0
2,206,0.0079051383399209,-126,1
2,521,0.0039525691699604,-88,1
2,558,0.0039525691699604,-62,1
2,705,0.0039525691699604,-82,1
2,903,0.0791429487081661,11,0
2,942,0.0039525691699604,-66,1
2,943,0.0118577075098814,-96,1
2,948,-0.0497387059978247,0,0
2,953,0.0869565217391304,-73,1
2,1073,0.0197628458498023,-80,1
2,1074,0.0118577075098814,-109,1
2,1774,-0.0037694385520472,5,0
2,1814,0.0079051383399209,-59,1
2,1815,0.0079051383399209,-84,1
2,2049,-0.020518715651229,-14,0
2,2061,0.0039525691699604,0,0
2,2140,0.0276679841897233,-98,1
2,2250,0.0039525691699604,-85,1
2,2851,0.0553359683794466,-106,1
2,2857,0.0079051383399209,-118,1
2,2955,-0.0076753378067837,-13,0
2,2958,-0.0727272727272727,-16,0
2,3078,0.0316205533596837,-124,1
2,3082,0.0039525691699604,-121,1
2,3085,0.0039525691699604,-67,1
2,3087,0.0039525691699604,-61,1
2,3089,0.0039525691699604,-115,1
2,3700,0.0079051383399209,-60,1
2,4251,-0.0074455372736464,23,0
2,4256,-0.0029567668596991,21,0
2,4483,0.06331770689708,-4,0
2,4484,0.0158102766798418,-11,0
2,4485,0.0039525691699604,7,0
2,4526,0.0039525691699604,14,0
2,4529,-0.0199833078752184,9,0
2,4535,0.0118577075098814,-91,1
2,4631,0.0039525691699604,-74,1
2,4633,0.0039525691699604,-83,1
2,4634,0.0039525691699604,-71,1
2,4635,0.0039525691699604,-122,1
2,4636,0.0237154150197628,4,0
2,4651,0.0118577075098814,-80,1
2,4657,0.0079051383399209,-116,1
2,4661,0.0118577075098814,-91,1
2,4662,0.0118577075098814,-102,1
2,5050,0.0118577075098814,-113,1
2,5060,0.0039525691699604,-84,1
2,5613,0.0118577075098814,-107,1
2,6008,-0.0474308300395256,-10,0
3,236,0.0078740157480314,-6,0
3,872,-0.0038450932932994,19,0
3,883,0.0078740157480314,17,0
3,1290,0.0708661417322834,-101,1
3,2036,0.0005320280910832,33,0
3,2194,0.0078740157480314,13,0
3,2195,0.0236220472440944,19,0
3,2198,0.1023622047244094,-12,0
3,2271,0.0039370078740157,-145,1
3,2583,0.0078740157480314,-6,0
3,2584,0.0118110236220472,13,0
3,3006,0.0078740157480314,0,0
3,3008,0.0078740157480314,-5,0
3,3009,-0.038939468503937,14,0
3,3766,0.0157480314960629,-5,0
3,3777,-0.0468134842519685,8,0
3,3985,0.5039370078740157,-8,0
3,4364,0.003921446578071,30,0
3,4365,0.0039370078740157,25,0
3,4367,0.0118110236220472,40,0
3,4412,-0.0153344158828395,27,0
3,5289,0.0157480314960629,6,0
3,5291,0.0314960629921259,12,0
3,5305,0.0196850393700787,8,0
3,5319,-0.0312192421259842,32,0
4,561,-0.011537417428287,-13,0
4,1264,0.4280155642023346,-49,1
4,1403,0.0272373540856031,-49,1
4,1705,0.1634241245136186,-53,1
4,2211,-0.0039829651643739,1,0
4,3097,-0.0390928988326848,-12,0
4,5390,0.0428015564202334,-71,1
4,5395,0.0194552529182879,-11,0
4,5397,-0.0003051804379339,4,0
4,5398,-0.22568093385214,-17,0
4,5607,0.0233463035019455,-68,1
5,83,0.00390625,-158,1
5,226,-4.631916996047404e-05,-73,1
5,282,0.00390625,-60,1
5,287,0.0390625,-46,1
5,428,-0.00390625,-4,0
5,569,0.00390625,-93,1
5,590,0.00390625,-117,1
5,683,0.0078125,-94,1
5,713,-0.00390625,3,0
5,736,0.01171875,-75,1
5,737,0.0390625,-85,1
5,1131,0.00390625,-48,1
5,1207,0.0234375,-51,1
5,1208,0.01953125,-67,1
5,1210,0.015625,-93,1
5,1211,0.0078125,-131,1
5,1292,0.015625,-47,1
5,1302,0.02734375,-49,1
5,1563,0.00390625,-16,0
5,1697,0.03515625,-110,1
5,1802,0.03125,-83,1
5,1848,0.00390625,-63,1
5,1967,0.00390625,-84,1
5,2172,0.00390625,-46,1
5,2220,0.015625,-92,1
5,2221,0.01171875,-91,1
5,2285,0.00390625,-46,1
5,2373,0.0001211240310077,-3,0
5,2569,0.011703431372549,-123,1
5,2572,0.00390625,-52,1
5,2576,0.00390625,27,0
5,3112,0.0078125,-58,1
5,3115,0.00390625,-121,1
5,3125,0.00390625,-107,1
5,3131,0.015625,-47,1
5,3133,0.0078125,-106,1
5,3611,0.00390625,-7,0
5,3734,0.00390625,-107,1
5,3802,0.00390625,-115,1
5,3805,0.015625,-71,1
5,3806,0.01953125,-50,1
5,3808,0.015625,-108,1
5,3809,0.01953125,-88,1
5,3810,0.00390625,-95,1
5,3814,0.00390625,-91,1
5,3815,0.0078125,-132,1
5,3816,0.015625,-60,1
5,5431,0.03125,-65,1
5,5432,0.01953125,-118,1
5,5434,0.01953125,-96,1
5,5435,0.01171875,-104,1
5,5436,0.03125,-63,1
5,5437,0.00390625,-60,1
5,5439,0.00390625,-83,1
5,5442,0.00390625,-119,1
5,5659,0.01171875,-54,1
5,5660,0.015625,-76,1
5,5661,0.00390625,-57,1
5,5663,0.00390625,-97,1
5,5685,0.00390625,-98,1
5,5687,0.00390625,-118,1
5,5688,0.03125,-61,1
5,5690,0.0078125,-51,1
5,5692,0.01171875,-71,1
5,5693,-9.227362204724392e-05,15,0
5,6369,-0.01171875,-79,1
6,506,0.01953125,-63,1
6,508,0.0390625,-17,0
6,578,0.0390625,-58,1
6,1756,0.00390625,-3,0
6,1758,0.1484375,-49,1
6,1994,0.26171875,-51,1
6,2449,0.00390625,-163,1
6,2884,0.0078125,-56,1
6,2885,0.0625,-66,1
6,2894,0.00390625,-91,1
6,3170,0.0078125,-69,1
6,3171,0.03515625,-81,1
6,3172,0.1953125,-61,1
6,3173,0.01953125,-49,1
6,4118,0.00390625,7,0
6,4774,0.03515625,-89,1
7,425,0.0817120622568093,-9,0
7,1687,-0.1033732651122889,-1,0
7,2361,-0.005544747081712,-1,0
7,2563,0.009483383024239,-5,0
7,3878,-0.0346876602419087,11,0
7,3887,0.0233463035019455,2,0
7,3889,0.0077821011673151,-4,0
7,3915,0.2622693611145977,7,0
7,6006,0.0110297496859585,-1,0
8,365,0.02734375,-67,1
8,610,0.0195464494163424,-1,0
8,1013,-0.0157169117647058,-50,1
8,1158,0.00390625,1,0
8,1613,0.00390625,-54,1
8,1760,0.0078125,35,0
8,1762,0.015625,22,0
8,2557,-0.0404485887096774,-5,0
8,2907,0.078125,-54,1
8,2908,0.03125,5,0
8,2915,-0.0194248540856031,-8,0
8,2916,0.00390625,7,0
8,2918,0.01953125,-46,1
8,3312,0.038939468503937,-14,0
8,3314,0.45703125,9,0
8,4155,0.00390625,-64,1
8,6291,0.01171875,-61,1
8,6295,0.01953125,-51,1
8,6497,-0.0310068093385214,1,0
9,988,0.0363636363636363,-72,1
9,1118,0.0181818181818181,-126,1
9,1783,0.0181818181818181,-67,1
9,2978,0.1636363636363636,-46,1
9,4460,0.0441558441558441,-1,0
9,4745,0.1662999420961204,1,0
9,4765,0.0181818181818181,-118,1
9,4766,0.0363636363636363,-13,0
9,5184,0.0181818181818181,-72,1
10,718,0.1152263374485596,-7,0
10,904,0.1193415637860082,-16,0
10,907,0.0041152263374485,-53,1
10,1061,0.0082304526748971,-61,1
10,1084,0.0041152263374485,-51,1
10,1958,-0.2927390667503662,-6,0
10,2131,0.0082304526748971,-52,1
10,2133,0.0041152263374485,-49,1
10,2995,0.0452674897119341,-2,0
10,3714,0.0164609053497942,-54,1
10,3747,0.0164609053497942,-8,0
10,3762,0.0246913580246913,-12,0
10,4497,0.0493827160493827,-47,1
10,4500,0.074074074074074,-14,0
10,5014,0.0041152263374485,-56,1
10,5015,0.0164609053497942,-60,1
10,5077,0.1111111111111111,-47,1
11,432,0.0103092783505154,-63,1
11,540,0.0309278350515463,-5,0
11,591,0.0103092783505154,-7,0
11,653,0.1649484536082474,-14,0
11,1185,0.0103092783505154,5,0
11,1188,0.0515463917525773,-47,1
11,1670,-0.0349185234452943,-1,0
11,1671,0.0206185567010309,-9,0
11,2545,0.0059424661234412,0,0
11,3019,0.134020618556701,-8,0
11,3022,-0.0296907216494845,2,0
11,3510,0.0103092783505154,-14,0
11,3513,-0.0805020170327207,-7,0
11,4516,-0.0119129438717067,-4,0
11,5344,0.0103092783505154,-77,1
11,5369,0.0309278350515463,-9,0
11,5371,0.0192546833005736,3,0
12,110,0.0041152263374485,-74,1
12,264,0.0699588477366255,2,0
12,555,0.0041152263374485,-9,0
12,806,-0.0153223051773776,13,0
12,1072,0.0164609053497942,-105,1
12,1076,0.0123456790123456,-60,1
12,1244,-0.0035342532074558,-62,1
12,1694,0.0041152263374485,-46,1
12,1696,0.0169693503026836,42,0
12,1812,0.0051514344080291,6,0
12,2142,0.0041152263374485,-75,1
12,2598,0.0246913580246913,32,0
12,2599,-0.0076035236625514,-1,0
12,2600,0.0205761316872428,-1,0
12,2735,1.686568171085489e-05,37,0
12,2737,0.0045331790123456,45,0
12,2840,0.0082304526748971,-66,1
12,2857,0.0082304526748971,-140,1
12,2920,0.0292549358697218,15,0
12,3065,0.0082304526748971,-65,1
12,3071,0.0164609053497942,3,0
12,3072,0.0041152263374485,21,0
12,3079,0.0082304526748971,-55,1
12,3210,-0.0232285236625514,-9,0
12,3211,-0.0152646186237917,-4,0
12,3595,0.0246913580246913,-52,1
12,3598,0.0041152263374485,-107,1
12,3821,0.1728395061728395,24,0
12,4544,0.0288065843621399,-8,0
12,5049,0.0041152263374485,-124,1
12,6007,0.0123456790123456,-59,1
13,1281,0.0077821011673151,-15,0
13,4317,0.1322957198443579,-17,0
13,5639,0.0233463035019455,-7,0
14,78,0.0077220077220077,-168,1
14,300,0.0038610038610038,-183,1
14,348,0.0193050193050193,-147,1
14,349,0.0038610038610038,-48,1
14,357,0.0077220077220077,-164,1
14,359,0.0077220077220077,-107,1
14,401,0.0115830115830115,-187,1
14,605,0.0154440154440154,-50,1
14,751,0.0038610038610038,-163,1
14,787,0.0038610038610038,-173,1
14,808,0.0115830115830115,-153,1
14,1324,-1.4965131244200867e-05,11,0
14,1333,0.0038610038610038,-85,1
14,1345,0.0154440154440154,-125,1
14,1358,0.0231660231660231,-195,1
14,1485,0.0347490347490347,-111,1
14,1486,0.0115830115830115,-192,1
14,1487,0.0077220077220077,-80,1
