node1,node2,flow,betweenness,degree,class
3,1290,0.0708661417322834,0.0002565541103202539,222,0
4,1196,0.0233463035019455,7.384231320111742e-07,69,1
4,2211,-0.0039829651643739,1.9243416650572235e-07,69,1
4,5395,0.0194552529182879,4.630751183229315e-07,75,1
4,5397,-0.0003051804379339,6.747108451977492e-07,54,1
4,5399,0.0116731517509727,9.364647630336132e-07,73,1
4,6064,0.0894941634241245,6.342503622858858e-07,64,1
5,226,-4.631916996047404e-05,3.154842109950554e-05,230,0
5,5669,-0.0272221546692607,2.0665769594013462e-05,232,0
6,1834,0.01171875,5.279485062645412e-07,93,1
7,425,0.0817120622568093,1.0322865145597143e-06,37,1
7,1687,-0.1033732651122889,3.158595936462384e-07,44,1
7,2361,-0.005544747081712,2.9733280185839084e-07,35,1
7,3878,-0.0346876602419087,8.645316164027674e-07,35,1
7,3889,0.0077821011673151,5.323252715384419e-07,32,1
7,3915,0.2622693611145977,2.3628910900029117e-07,33,1
7,6006,0.0110297496859585,3.8440609756397313e-07,38,1
8,1158,0.00390625,3.1886398035521605e-07,96,1
9,4460,0.0441558441558441,1.1224732564654942e-06,26,1
9,4766,0.0363636363636363,4.105201777091728e-07,35,1
9,5185,0.0181818181818181,8.460338161505683e-07,26,1
10,718,0.1152263374485596,1.169541110271982e-06,83,1
10,1740,0.0411522633744856,5.517251365175475e-07,63,1
10,5036,0.0041152263374485,8.067342935513572e-07,66,1
11,1670,-0.0349185234452943,3.214294561696027e-07,62,1
11,3022,-0.0296907216494845,7.222852163153558e-07,77,1
11,3513,-0.0805020170327207,4.258827305510481e-07,53,1
12,2059,0.0123456790123456,1.0924050078335109e-06,95,1
13,3850,0.1245136186770428,7.454631080823602e-07,41,1
13,4316,0.6926070038910506,1.0910998033690534e-06,45,1
13,5639,0.0233463035019455,5.05629221929107e-07,38,1
14,2499,0.0038610038610038,1.966835901924187e-05,315,0
14,2750,0.0115830115830115,2.983659468810748e-05,270,0
14,3870,0.0038610038610038,3.802428320797558e-05,278,0
14,4133,0.0077220077220077,2.2017185391459094e-05,323,0
18,2878,0.00390625,2.821516817771538e-05,229,0
18,4727,0.00390625,0.00014708584981592293,217,0
21,303,0.125,2.455656943877953e-07,64,1
21,1835,0.0078125,2.83794655211179e-07,60,1
21,2200,0.01171875,2.733311846646326e-07,50,1
21,3058,0.46875,2.7451264960562815e-07,67,1
21,3116,0.0078125,2.2599904014442338e-07,36,1
21,3182,0.0078276994163424,3.407121849559937e-07,67,1
21,4338,0.0078125,1.7089755886896097e-07,45,1
21,5313,0.01171875,3.9083234347447714e-07,60,1
22,442,0.0120481927710843,5.509351833767132e-05,222,0
22,444,0.0160642570281124,0.0001382715011243704,228,0
22,1290,0.0040160642570281,0.0018005551450221637,269,0
22,1337,0.0040160642570281,3.457806879843769e-05,220,0
22,1483,0.0040160642570281,3.639306291466675e-05,221,0
22,2303,0.0080321285140562,0.00010465858015822334,234,0
22,2398,0.0040160642570281,3.928820826185484e-05,226,0
22,2640,0.0160642570281124,0.00018204681737992625,252,0
22,3141,0.0040160642570281,2.9187473772418205e-05,243,0
22,3164,0.0040160642570281,0.00026520344136589824,236,0
22,3764,0.0040160642570281,0.00010509759703698521,222,0
22,5290,0.0281124497991967,3.080407492989703e-05,217,0
22,5302,0.0682730923694779,0.00019047556537818712,271,0
22,5420,0.0080321285140562,2.377670351140251e-05,225,0
22,5785,0.0040160642570281,3.3105288246457914e-05,219,0
22,5798,0.0040160642570281,4.71608813028821e-05,223,0
22,5819,0.0040160642570281,0.00011133510430625502,226,0
22,6151,0.0080321285140562,0.00011999793929051724,228,0
22,6155,0.0040160642570281,8.96632474551054e-05,247,0
24,3370,0.0001875,4.3744603019818653e-07,93,1
24,3402,0.032,3.602615512508596e-07,94,1
25,1536,-0.0815708547759508,1.254238705744824e-07,68,1
25,3323,-0.0410557184750733,1.5009384577166704e-07,68,1
26,4466,-0.1767676767676767,9.814533965307663e-07,11,1
27,743,0.0038910505836575,8.217558338296726e-07,94,1
27,3831,0.0311284046692607,9.754271443286128e-07,97,1
27,4652,0.0038910505836575,9.498022953691815e-07,96,1
29,135,0.0077821011673151,4.621815265758401e-05,238,0
29,3974,0.0233463035019455,0.00019537688755685435,221,0
29,4026,0.0194552529182879,0.0002048197022137393,234,0
29,4034,0.0038910505836575,8.850191979819475e-05,220,0
29,5834,0.0038910505836575,0.0001973704967589648,217,0
30,1103,0.0076628352490421,6.563508918448202e-07,94,1
31,2028,0.3989304204357968,5.495477771341963e-08,11,1
31,2620,0.2211981566820276,4.579564809451636e-08,12,1
31,3482,-0.0248620356147237,1.00750425807936e-07,12,1
31,3568,0.0875576036866359,9.159129618903272e-08,13,1
31,3569,0.0114247311827957,5.495477771341963e-08,11,1
32,3769,0.0039215686274509,1.1176602203108245e-06,87,1
33,3361,0.0303030303030303,7.917299214902381e-07,45,1
34,1620,0.0118110236220472,0.00012859458847650488,309,0
34,3386,0.0039370078740157,0.0013356434895560015,276,0
34,3859,0.0039370078740157,0.00010045459767298814,301,0
34,3872,0.0039370078740157,5.0244607735302284e-05,287,0
34,4739,0.0039370078740157,1.8954748427876394e-05,294,0
34,6218,0.0039370078740157,3.0706607916393786e-05,265,0
35,493,0.1358695652173913,6.878193827653653e-07,72,1
35,919,0.0978260869565217,7.929806721740228e-07,71,1
35,1743,0.0271739130434782,2.3611978268633862e-07,78,1
35,1748,0.0434782608695652,8.655270482179332e-07,76,1
35,2830,0.0054347826086956,1.1561260698854586e-06,70,1
35,2948,0.0054347826086956,6.368284959336067e-07,84,1
35,2951,0.0163043478260869,2.9758812758845114e-07,72,1
35,3694,0.0163043478260869,1.0043115055324603e-06,65,1
35,3697,0.108695652173913,1.0914456200522428e-06,69,1
35,4537,0.0434782608695652,9.418871680207735e-07,74,1
35,4539,0.0652173913043478,5.740384601317202e-07,77,1
35,4639,0.0054347826086956,1.6570495985319336e-07,83,1
37,4577,0.0114942528735632,1.8812774352031697e-05,242,0
37,5880,0.053639846743295,3.525016067757964e-05,217,0
38,4244,0.2970711297071129,1.1099948973220891e-06,77,1
38,4841,-0.4182190663032344,4.197983724637327e-07,59,1
38,6480,0.0040610386413979,7.016074502134814e-07,90,1
39,3258,0.3952569169960474,7.991695813606e-07,22,1
41,4644,-0.4545454545454545,2.1667302199095046e-07,9,1
42,708,0.015625,3.482401000326408e-07,73,1
42,1793,0.0234375,7.490494681517304e-07,97,1
42,2149,0.01171875,1.2076519860906666e-06,92,1
42,2150,0.015625,4.7432268562736027e-07,80,1
42,2999,0.05078125,9.244562742821731e-07,92,1
42,3001,0.0078125,2.5788705612434815e-07,90,1
42,3707,0.0234375,1.075589619925299e-06,86,1
42,4493,0.01953125,3.4956340717331706e-07,69,1
43,53,0.0039525691699604,1.1932823913337448e-06,92,1
44,1804,0.0609756097560975,7.444927387544539e-07,71,1
44,1933,0.0121951219512195,1.0187091365519339e-06,62,1
44,3041,0.024390243902439,3.3772762213888434e-07,59,1
44,3129,0.2926829268292683,6.369801588577425e-07,32,1
44,3538,0.024390243902439,9.820802112795965e-07,56,1
44,5131,0.0121951219512195,2.1042363001780957e-07,44,1
48,1978,0.0172413793103448,6.104611217065865e-07,60,1
48,3722,0.0344827586206896,0.0005171014067300739,226,0
48,3890,0.0172413793103448,4.6617445590288234e-07,75,1
49,438,0.0098039215686274,3.2296723200195517e-07,85,1
49,742,0.0049019607843137,4.1409634544850486e-07,71,1
49,1970,0.0196078431372549,4.2079502155718304e-07,86,1
49,2616,0.0049019607843137,5.950055617153609e-07,86,1
49,2617,0.0049019607843137,3.0222484625132147e-07,83,1
49,3093,0.034313725490196,2.3609955264080392e-07,90,1
49,3779,0.2333467633628794,3.600279670875548e-07,77,1
49,3828,0.0147058823529411,2.793680862336935e-07,92,1
49,3830,0.0196078431372549,2.0277167678961634e-07,89,1
50,5474,0.0155642023346303,2.0065229620733067e-05,225,0
51,4308,0.00390625,8.404503050208879e-07,90,1
52,3737,0.1363636363636363,2.7764181789015943e-07,39,1
52,4462,0.375,1.9934490131288082e-07,25,1
54,2239,0.0115668680949765,6.721069478573847e-07,41,1
54,4199,0.2324975775193798,3.530209245334301e-07,53,1
54,4201,0.0736283292613036,8.387083361269004e-07,47,1
54,5511,-0.0167151162790697,2.1243748958003745e-07,42,1
54,5525,-0.0817422254396283,5.250787432551126e-07,39,1
54,5897,0.0346557227542179,1.0888768913259533e-07,45,1
54,6000,0.0225593507751938,2.5408046704597193e-07,41,1
57,546,0.0377358490566037,7.165541233339915e-07,83,1
57,1199,0.0566037735849056,9.741994204935122e-07,69,1
57,2218,0.0943396226415094,2.714209355997761e-07,63,1
57,3037,0.1132075471698113,3.376580998543745e-07,61,1
57,3038,0.0188679245283018,4.890396156639532e-07,90,1
57,4000,0.0566037735849056,2.8377907866781635e-07,68,1
57,5301,0.0188679245283018,3.5465767364587353e-07,90,1
57,5408,0.0754716981132075,7.224110172382242e-07,73,1
57,5425,0.0943396226415094,9.90987558231003e-07,75,1
60,111,0.015625,4.030520331230396e-05,299,0
60,1922,0.01953125,5.2408931240877715e-05,301,0
60,2743,0.015625,2.5263591993430024e-05,316,0
60,3631,0.00390625,4.486156419600057e-05,324,0
60,4108,0.00390625,2.673197814467919e-05,291,0
60,6204,0.0078125,6.116623055424317e-05,253,0
60,6447,0.00390625,3.68439420548605e-05,240,0
61,1369,0.0077519379844961,8.91079049116302e-05,252,0
61,2065,0.003875968992248,8.25848425434609e-05,264,0
61,2069,0.003875968992248,5.194576023400039e-05,284,0
61,4577,0.0271317829457364,7.072617773437277e-05,299,0
61,4583,0.0193798449612403,2.4339669729960545e-05,251,0
61,5780,0.0077519379844961,0.00014634355622725198,255,0
61,5880,0.0155038759689922,9.258657647950827e-05,274,0
17,64,-0.0311284046692607,1.2001910622993266e-06,56,1
64,833,0.0272373540856031,1.0442826049200092e-06,67,1
69,2081,0.0106382978723404,1.0421931092154363e-06,81,1
69,2286,0.0212765957446808,2.1776311586574375e-05,215,0
69,2569,0.0106382978723404,3.4329841803457314e-05,217,0
69,5199,0.0212765957446808,4.6602732332082656e-05,242,0
72,2347,-0.2402949959279703,1.144990468447319e-06,18,1
72,2385,0.1556420233463035,8.143528674026882e-07,22,1
76,785,0.01953125,1.1408676877389697e-06,61,1
76,1991,0.05078125,1.1394770975445902e-06,76,1
76,3153,0.078125,4.573343417056253e-07,73,1
76,3155,0.10546875,3.990510267188259e-07,76,1
76,4013,0.02734375,5.534147834065784e-07,71,1
76,4019,0.03125,4.536449733873847e-07,89,1
76,5863,0.00390625,3.9701779765580287e-07,75,1
78,3632,0.0038910505836575,1.9324730118829856e-05,260,0
79,749,0.0116279069767441,2.3942263754664016e-05,266,0
79,1327,0.003875968992248,2.4237289007054815e-05,270,0
79,1591,0.0193798449612403,2.0208702728274026e-05,221,0
79,3860,0.003875968992248,5.021696612494133e-05,266,0
79,5761,0.003875968992248,3.785592830498547e-05,253,0
79,6210,0.0077519379844961,9.166672508235581e-05,287,0
79,6513,0.0387596899224806,7.34474944966046e-05,271,0
79,6519,0.0155038759689922,2.1540399568204336e-05,218,0
80,609,0.1270491803278688,8.932682462981185e-07,77,1
80,1517,0.2418032786885245,2.717585665050689e-07,81,1
80,2900,0.0040983606557377,7.707642592809252e-07,75,1
80,2901,0.0163934426229508,2.335252871475324e-07,70,1
80,3688,0.012617787530657,2.837606036520096e-07,72,1
80,6256,0.0204918032786885,1.7812517847007142e-07,74,1
81,6270,0.47265625,1.526483769952067e-07,60,1
83,2219,0.00390625,5.781984012249266e-05,218,0
84,374,0.046692607003891,4.756460640291906e-07,86,1
84,997,0.0038910505836575,2.502221674086754e-07,95,1
84,1993,0.08935629155305,1.4189472507954534e-07,96,1
84,2096,0.0350194552529182,3.685380387427447e-07,98,1
84,2714,0.0077821011673151,3.7861888875685906e-07,96,1
84,4037,0.159533073929961,1.5217883449376217e-07,96,1
84,4039,-0.0859526994163424,1.2366238544864813e-07,98,1
84,4793,0.0116731517509727,4.9746050654219e-07,93,1
89,1082,0.1215686274509803,4.420703155855642e-07,52,1
89,1686,-0.0632865698580687,1.320801518567521e-07,44,1
89,2965,0.2509803921568627,1.0676240905326967e-07,50,1
89,5068,-0.0241830065359477,5.703346513891336e-07,43,1
89,5072,0.0352941176470588,3.6536119859773176e-07,53,1
89,5081,0.0273892234058977,1.7033364880846946e-07,44,1
89,5553,0.1725490196078431,2.990105266504111e-07,42,1
90,2470,0.0656370656370656,1.1091760649067809e-06,94,1
91,2483,0.0158730158730158,4.1349292950183014e-07,47,1
91,2799,0.0158730158730158,8.157390902777056e-07,57,1
91,4280,0.0158730158730158,6.825226767158644e-07,63,1
91,6340,0.3872746838848533,1.003385970855066e-06,75,1
92,1619,0.0196850393700787,4.5357540999004767e-07,87,1
92,2108,0.0039370078740157,2.405460555104831e-07,97,1
92,2175,0.0078740157480314,6.635236077737305e-07,96,1
92,4877,0.0236220472440944,4.6498758261079096e-07,82,1
92,6509,0.0157480314960629,1.2090410277118427e-06,89,1
93,1607,0.05078125,2.1870063539220115e-05,245,0
93,1608,0.01171875,3.352842804807811e-05,247,0
93,3635,0.0078125,2.4175377406068512e-05,223,0
93,6335,0.0078125,2.3117991084833738e-05,260,0
93,6483,0.0234375,2.4532524015871922e-05,238,0
93,6484,0.0078125,3.889217487401846e-05,226,0
93,6595,0.0234375,4.7050115854963696e-05,256,0
94,1714,0.1746031746031746,2.730234159489791e-07,60,1
94,4813,0.0202517788724685,1.9385446592581601e-07,61,1
95,4242,0.015625,4.579222908136704e-07,91,1
95,4243,0.1015625,1.0358069847240902e-06,67,1
95,4899,0.0078125,4.389035760524721e-07,95,1
101,721,0.0194552529182879,2.181911970883401e-07,95,1
101,1960,0.0544747081712062,4.3753785388528673e-07,96,1
101,2190,-0.0038910505836575,3.016739457989104e-07,98,1
107,1122,0.0265486725663716,8.04870536065609e-07,49,1
107,1198,0.8053097345132744,1.0409767536680228e-06,32,1
107,1672,0.0973451327433628,7.323471472919889e-07,46,1
107,5192,0.0176991150442477,7.021356944047946e-07,45,1
108,2548,0.80078125,1.8552214054415278e-07,31,1
108,3560,0.03125,2.218935255120664e-07,31,1
108,3562,0.16796875,2.806915415200794e-07,28,1
82,111,-0.0392156862745098,1.9350634322569164e-05,257,0
111,135,0.0117647058823529,0.00010985976653812107,304,0
111,302,0.0039215686274509,3.210119260240583e-05,224,0
111,391,0.0039215686274509,2.5076897157634253e-05,236,0
111,394,0.0196078431372549,3.1622320759001286e-05,265,0
111,789,0.0039215686274509,3.931348492329988e-05,257,0
111,991,0.0117647058823529,5.5726510793538476e-05,278,0
111,1368,0.0117647058823529,5.88820240235936e-05,275,0
111,2095,0.0156862745098039,2.8138845264799103e-05,257,0
111,2449,0.0156862745098039,3.369144140341043e-05,273,0
111,2488,0.0039215686274509,3.723107103266479e-05,245,0
