Dataset ID,Test Name,Parameters,P-Value,Alpha,Conclusion,Fraction Top,Fraction Bottom
SmallWorld,Independence Test (Color: 0),"K_marg=148, K_joint=53, #target_color_samples=2862",0.000999001,0.005555556,Reject H0,,
SmallWorld,Independence Test (Color: 1),"K_marg=148, K_joint=53, #target_color_samples=2824",0.000999001,0.005555556,Reject H0,,
SmallWorld,Independence Test (Color: 2),"K_marg=149, K_joint=52, #target_color_samples=2788",0.000999001,0.005555556,Reject H0,,
StochasticBlock,Independence Test (Color: 0),"K_marg=148, K_joint=53, #target_color_samples=2862",0.000999001,0.005555556,Reject H0,,
StochasticBlock,Independence Test (Color: 1),"K_marg=148, K_joint=53, #target_color_samples=2824",0.000999001,0.005555556,Reject H0,,
StochasticBlock,Independence Test (Color: 2),"K_marg=149, K_joint=52, #target_color_samples=2788",0.000999001,0.005555556,Reject H0,,
ScaleFree,Independence Test (Color: 0),"K_marg=148, K_joint=53, #target_color_samples=2862",0.000999001,0.005555556,Reject H0,,
ScaleFree,Independence Test (Color: 1),"K_marg=148, K_joint=53, #target_color_samples=2824",0.000999001,0.005555556,Reject H0,,
ScaleFree,Independence Test (Color: 2),"K_marg=149, K_joint=52, #target_color_samples=2788",0.000999001,0.005555556,Reject H0,,
SmallWorld,KS Test,,6.221298303347379e-87,0.016666667,Reject H0,0.6,0.2
SmallWorld,Bivariate Equivalence Test,"K=25, #class1=643, #class2=748",0.000999001,0.016666667,Reject H0,0.5,0.25
StochasticBlock,KS Test,,5.5006100114736896e-129,0.016666667,Reject H0,0.7,0.1
StochasticBlock,Bivariate Equivalence Test,"K=29, #class1=876, #class2=1109",0.000999001,0.016666667,Reject H0,0.6,0.15
ScaleFree,KS Test,N/A,1.048691085288278e-11,0.016666666666666666,Reject H0,0.05,0.7999999999999999
ScaleFree,Bivariate Equivalence Test,"K=31, #class1=997, #class2=998",0.000999001,0.016666666666666666,Reject H0,0.15000000000000002,0.6499999999999999
