flow1,flow2,edge1,edge2
-1.0,-1.0,"51004,51005","51004,54334"
-1.0,-1.0,"51023,107770","26707,51023"
1.0,-1.0,"61177,106224","49840,106224"
1.0,1.0,"51001,58884","58884,118619"
-1.0,-1.0,"50967,65579","46786,50967"
1.0,-0.4805825242718446,"43293,50994","8422,43293"
1.0,1.0,"9050,48440","48440,104320"
1.0,0.2727272727272727,"30018,61146","30018,80652"
-1.0,-0.6129032258064516,"32157,84121","20535,32157"
1.0,1.0,"50101,51074","50101,101929"
1.0,-1.0,"50829,103771","48021,103771"
-1.0,-1.0,"32468,84507","32468,57228"
-1.0,-1.0,"50849,60907","42186,50849"
1.0,-1.0,"50771,67990","14149,67990"
1.0,-0.6304347826086957,"50943,77392","25850,77392"
1.0,-1.0,"50937,107656","62578,107656"
-1.0,-1.0,"31235,32389","30173,32389"
-1.0,-1.0,"50890,107589","50890,52439"
-1.0,-1.0,"51387,108228","38472,51387"
-1.0,-1.0,"51399,108237","51399,58514"
1.0,1.0,"31539,42695","42695,67307"
1.0,-1.0,"31637,83519","55452,83519"
-1.0,-1.0,"51321,108124","51321,62942"
-1.0,-0.2044025157232704,"51313,67409","12659,51313"
1.0,-0.4347826086956521,"51312,108115","51064,108115"
1.0,1.0,"61044,61045","56792,61045"
-1.0,-0.1142857142857142,"51441,71545","16752,51441"
-1.0,-1.0,"61036,121478","43455,61036"
1.0,1.0,"31460,57449","57449,116482"
1.0,1.0,"51436,53824","53824,66456"
-1.0,-1.0,"51435,108274","42699,51435"
1.0,0.5592351665681057,"21028,51432","9231,21028"
1.0,-1.0,"51191,99034","44405,99034"
-1.0,-0.5614035087719298,"31992,64278","23850,31992"
1.0,-0.3225806451612903,"31726,76898","17689,76898"
-1.0,-1.0,"61115,121574","61115,63165"
-1.0,-1.0,"50261,106701","41462,50261"
1.0,1.0,"33582,60762","60762,121080"
1.0,1.0,"25739,33421","12314,25739"
1.0,-0.2608695652173913,"33422,68347","36293,68347"
-1.0,-0.7111111111111111,"50351,83190","23822,50351"
-1.0,-0.5161290322580645,"33376,85545","33376,43469"
-1.0,-0.4126984126984127,"39589,50371","28977,50371"
1.0,1.0,"50129,61012","61012,121444"
1.0,-0.4864864864864865,"61491,92057","37234,92057"
1.0,-1.0,"50070,98982","44367,98982"
1.0,0.2941176470588235,"57068,61496","30047,57068"
1.0,-0.3428571428571428,"61452,64490","32022,64490"
-1.0,-0.3230769230769231,"31270,33719","17960,33719"
1.0,1.0,"50657,62391","62391,123450"
1.0,1.0,"50621,52740","52740,110041"
1.0,1.0,"50636,62763","62763,123954"
-1.0,-0.3622047244094488,"32734,61668","16675,32734"
1.0,-0.3846153846153846,"61280,93770","42333,93770"
-1.0,-1.0,"47953,50753","50753,54044"
1.0,1.0,"50752,57640","54042,57640"
1.0,-0.4375,"61292,101557","38067,101557"
1.0,-0.3202614379084967,"33168,69508","11313,69508"
1.0,-0.34,"33143,85268","34526,85268"
-1.0,-1.0,"61373,121899","42005,61373"
1.0,-1.0,"50529,106999","56775,106999"
-1.0,-1.0,"50555,107034","50555,51471"
-1.0,-0.2195121951219512,"21919,29599","19886,29599"
-1.0,-0.6111111111111112,"60699,104365","33351,60699"
-1.0,-1.0,"52348,59864","49334,52348"
1.0,1.0,"52339,59849","36658,59849"
-1.0,-1.0,"29423,81101","29423,60410"
1.0,1.0,"60654,60656","60656,120969"
1.0,-0.216527432829081,"14079,52418","4280,14079"
1.0,1.0,"60771,63029","63029,124368"
1.0,1.0,"52177,59612","59612,119569"
-1.0,-0.3846153846153846,"52234,57123","44141,52234"
1.0,-0.1666666666666666,"29795,51146","37732,51146"
-1.0,-1.0,"52724,76248","48194,52724"
1.0,1.0,"52717,55342","55342,113615"
1.0,-1.0,"60538,113764","55435,113764"
1.0,-0.1052631578947368,"52779,52780","18815,52779"
1.0,1.0,"29338,56073","56073,114694"
-1.0,-1.0,"52480,81020","52478,52480"
1.0,-0.4285714285714285,"29322,59235","43546,59235"
-1.0,-1.0,"52495,109725","36732,52495"
1.0,-1.0,"52574,109833","60146,109833"
1.0,0.3888888888888889,"30875,32499","32499,75042"
-1.0,-1.0,"51671,108568","51671,58879"
-1.0,-1.0,"51684,108579","43740,51684"
