flow1,flow2,edge1,edge2
1.0,1.0,"32219,49902","40492,49902"
1.0,1.0,"25762,32225","21927,25762"
-1.0,-1.0,"51004,51005","51004,54334"
-1.0,-1.0,"51023,107770","26707,51023"
1.0,-0.4482758620689655,"32167,84139","42094,84139"
-1.0,-0.3891891891891892,"4918,9114","4610,9114"
1.0,-1.0,"61177,106224","49840,106224"
1.0,1.0,"51001,58884","58884,118619"
-1.0,-1.0,"50967,65579","46786,50967"
1.0,1.0,"50974,54300","54300,62409"
1.0,0.5,"61189,63066","63066,75113"
1.0,-0.5757575757575758,"43293,50994","37575,43293"
1.0,-0.4761904761904761,"50975,56962","45840,56962"
1.0,1.0,"9050,48440","48440,104320"
-1.0,-0.2,"32031,37236","32031,36918"
-1.0,-0.0793650793650793,"51087,107852","32399,51087"
1.0,0.0075431034482759,"36720,51085","36720,40114"
1.0,0.1049382716049382,"6327,32055","6327,31629"
-1.0,-0.5686274509803921,"51082,59869","26409,51082"
1.0,1.0,"32025,43925","33432,43925"
-1.0,-0.3350785340314136,"832,32008","7913,32008"
1.0,0.2727272727272727,"30018,61146","30018,74232"
-1.0,-1.0,"21956,32150","29925,32150"
1.0,1.0,"50101,51074","50101,101929"
1.0,-0.0,"56918,61168","56917,56918"
-1.0,-1.0,"37178,51060","34621,51060"
1.0,-1.0,"50829,103771","48021,103771"
-1.0,-1.0,"32468,84507","32468,57228"
1.0,0.5416666666666666,"49312,61256","49312,105468"
-1.0,-1.0,"50849,60907","42186,50849"
1.0,-0.3170731707317073,"45437,50848","38046,45437"
-1.0,-0.1691176470588235,"50845,74153","26508,50845"
1.0,-1.0,"30894,32444","30894,55720"
-1.0,-1.0,"32451,36499","32451,47732"
1.0,0.4761904761904761,"32487,57748","21980,57748"
1.0,-1.0,"50771,67990","14149,67990"
1.0,0.4285714285714285,"43301,61259","43301,112278"
1.0,0.4146341463414634,"30870,50813","29796,30870"
-1.0,-0.4347826086956521,"61266,72334","49507,61266"
-1.0,-0.3235294117647059,"32323,80561","32323,33393"
1.0,0.1911764705882352,"18697,32331","18697,96750"
1.0,0.0508241758241758,"32309,48540","32004,48540"
1.0,-1.0,"50937,107656","62578,107656"
-1.0,-1.0,"31235,32389","30173,32389"
1.0,1.0,"50898,50900","48074,50898"
