node1,node2,flow,betweenness,degree,class
63341,118441,1.0,6.274340764630634e-08,4,1
51041,107797,1.0,1.2846307671053476e-10,2,1
51019,107762,1.0,1.2846307671053476e-10,2,1
51015,107758,1.0,1.2846307671053476e-10,2,1
51012,107754,1.0,1.2846307671053476e-10,2,1
32219,49902,1.0,4.639469313072358e-07,6,1
61186,121677,1.0,1.2846307671053476e-10,2,1
32224,84209,1.0,1.2846307671053476e-10,2,1
61188,121679,1.0,1.2846307671053476e-10,2,1
25762,32225,-1.0,1.93984951081348e-06,9,1
51004,51005,1.0,3.6397871734651513e-10,6,1
51003,54334,1.0,2.569261534210695e-10,6,1
51023,107770,1.0,2.569261534210695e-10,3,1
32166,84136,1.0,1.2846307671053476e-10,2,1
32167,84139,1.0,1.027704613684278e-09,4,1
4918,9114,-1.0,2.216249913054516e-06,14,1
61177,106224,1.0,2.569261534210695e-10,3,1
61178,121661,1.0,1.2846307671053476e-10,2,1
32184,84156,1.0,1.2846307671053476e-10,2,1
61181,121667,1.0,1.2846307671053476e-10,2,1
8324,32192,-1.0,1.4965177658317036e-05,202,0
51001,58884,1.0,2.569261534210695e-10,3,1
50969,107700,1.0,1.2846307671053476e-10,2,1
50968,107699,1.0,1.2846307671053476e-10,2,1
50967,65579,1.0,2.569261534210695e-10,6,1
50966,68652,1.0,1.2846307671053476e-10,4,1
50965,107693,1.0,1.2846307671053476e-10,2,1
50973,107711,1.0,1.2846307671053476e-10,2,1
50974,54300,1.0,5.138523068421391e-09,4,1
61189,63066,1.0,1.9329251722121546e-06,8,1
43293,50994,-1.0,8.226841097003774e-09,11,1
32244,52922,1.0,4.0096967190734714e-07,6,1
50975,56962,1.0,1.852209654875984e-06,8,1
9050,48440,1.0,2.569261534210695e-10,3,1
50978,107717,1.0,1.2846307671053476e-10,2,1
61196,121692,1.0,1.2846307671053476e-10,2,1
61198,121693,1.0,1.2846307671053476e-10,2,1
51039,107793,1.0,1.2846307671053476e-10,2,1
32288,84278,1.0,1.2846307671053476e-10,2,1
41949,51043,-1.0,6.916703532373672e-07,13,1
32031,37236,1.0,6.727225354889441e-08,8,1
51098,107865,1.0,1.2846307671053476e-10,2,1
32033,83984,1.0,1.2846307671053476e-10,2,1
51093,100981,1.0,1.2846307671053476e-10,4,1
51089,107853,1.0,1.2846307671053476e-10,2,1
29048,51088,-1.0,3.146466245080325e-07,9,1
51087,107852,1.0,1.3875972819187172e-06,6,1
36720,51085,-1.0,2.0787208866406278e-08,7,1
32052,84007,1.0,1.2846307671053476e-10,2,1
6327,32055,-1.0,1.7381474634472112e-06,14,1
51082,59869,1.0,1.2423829547254631e-06,11,1
61153,100150,1.0,7.963003643369744e-07,5,1
32025,43925,1.0,3.132306832036024e-07,8,1
832,32008,-1.0,8.587436455485769e-07,11,1
30018,61146,-1.0,1.301926094911239e-07,7,1
61147,121630,1.0,1.2846307671053476e-10,2,1
61148,121632,1.0,1.2846307671053476e-10,2,1
51109,107874,1.0,1.2846307671053476e-10,2,1
61149,121634,1.0,1.2846307671053476e-10,2,1
61150,121635,1.0,1.2846307671053476e-10,2,1
51080,95196,1.0,1.3583792524520101e-06,4,1
51050,107811,1.0,1.2846307671053476e-10,2,1
28333,32131,-1.0,2.250940491930066e-06,8,1
51048,98019,1.0,2.1917719719331927e-06,5,1
21956,32150,-1.0,1.154329326005611e-06,6,1
61174,121656,1.0,1.2846307671053476e-10,2,1
51077,107839,1.0,1.2846307671053476e-10,2,1
32066,83075,1.0,1.0634759813434752e-07,9,1
32072,84022,1.0,1.2846307671053476e-10,2,1
50101,51074,-1.0,1.9269461506580213e-10,5,1
51073,107836,1.0,1.2846307671053476e-10,2,1
51066,104927,1.0,1.8799544415451589e-06,4,1
61166,71031,1.0,1.8008232720259765e-09,5,1
51065,98959,1.0,6.378975881664184e-07,5,1
56918,61168,-1.0,1.882599043342255e-08,11,1
37178,51060,-1.0,1.5000054794139336e-07,8,1
32428,84475,1.0,1.2846307671053476e-10,2,1
61252,121756,1.0,1.2846307671053476e-10,2,1
50829,103771,1.0,2.569261534210695e-10,3,1
32468,84507,1.0,2.569261534210695e-10,3,1
49312,61256,-1.0,3.8538923013160426e-10,4,1
2724,8876,-1.0,2.270341568467245e-06,16,1
61249,121755,1.0,1.2846307671053476e-10,2,1
7902,32453,-1.0,3.354008139928653e-08,12,1
50850,107545,1.0,1.2846307671053476e-10,2,1
50849,60907,1.0,1.2846307671053476e-10,4,1
45437,50848,-1.0,1.2904346326679526e-06,7,1
50846,97397,1.0,1.2846307671053476e-10,4,1
50845,74153,1.0,2.2263566608922864e-06,6,1
50838,107534,1.0,1.2846307671053476e-10,2,1
50837,107533,1.0,1.2846307671053476e-10,2,1
30894,32444,-1.0,1.8720419517149294e-07,10,1
61247,121752,1.0,1.2846307671053476e-10,2,1
32451,36499,1.0,6.431498797268253e-08,6,1
32487,57748,1.0,1.3332445444548845e-08,5,1
32491,84530,1.0,1.2846307671053476e-10,2,1
38835,61270,-1.0,8.188949787255132e-07,6,1
32539,84582,1.0,7.728487403615873e-07,5,1
1859,50784,-1.0,2.9725123398926315e-05,174,0
61273,64018,1.0,2.02758667180815e-06,9,1
50780,82413,1.0,1.2846307671053476e-10,4,1
32558,84610,1.0,1.2846307671053476e-10,2,1
862,50774,-1.0,1.4965177658317036e-05,280,0
50771,67990,1.0,2.569261534210695e-10,3,1
50770,107443,1.0,1.2846307671053476e-10,2,1
43301,61259,-1.0,3.8538923013160426e-10,4,1
30870,50813,-1.0,2.099063321823175e-06,8,1
32514,84556,1.0,1.2846307671053476e-10,2,1
61262,84135,1.0,1.2846307671053476e-10,4,1
50798,76282,1.0,4.0775156732647096e-07,5,1
61264,121765,1.0,1.2846307671053476e-10,2,1
61265,121773,1.0,1.2846307671053476e-10,2,1
61266,72334,1.0,1.4027679554499263e-08,5,1
32323,80561,1.0,4.93516860852446e-07,6,1
18697,32331,-1.0,1.5570558194119344e-06,10,1
32335,84339,1.0,1.2846307671053476e-10,2,1
50928,107644,1.0,1.2846307671053476e-10,2,1
50917,107617,1.0,1.2846307671053476e-10,2,1
564,32356,-1.0,1.496517765831704e-05,195,0
61210,121707,1.0,1.2846307671053476e-10,2,1
50951,107675,1.0,1.2846307671053476e-10,2,1
50943,77392,1.0,2.569261534210695e-10,5,1
32309,48540,1.0,1.108326132082135e-06,13,1
50937,107656,1.0,2.569261534210695e-10,3,1
50907,107602,1.0,1.2846307671053476e-10,2,1
50860,79380,1.0,1.6311525696952365e-06,5,1
32414,84461,1.0,1.2846307671053476e-10,2,1
31235,32389,-1.0,1.1561676903948129e-09,6,1
32363,44044,1.0,1.9059124525647425e-07,5,1
50898,50900,-1.0,9.503633210923293e-07,6,1
48074,50898,-1.0,2.2451514833897012e-06,7,1
49384,61229,-1.0,1.9717553781280985e-06,9,1
50890,107589,1.0,2.569261534210695e-10,3,1
8958,62506,1.0,7.826548774765391e-07,10,1
50886,107585,1.0,1.2846307671053476e-10,4,1
1172,32384,-1.0,1.4965177658317036e-05,220,0
24586,31491,-1.0,1.0162797623560037e-06,8,1
44268,51386,-1.0,2.3943286685771372e-06,12,1
31551,63630,1.0,2.0624793363609874e-06,7,1
31561,83439,1.0,1.2846307671053476e-10,2,1
51374,108215,1.0,1.2846307671053476e-10,2,1
51373,85515,1.0,1.2846307671053476e-10,6,1
51372,108213,1.0,1.2846307671053476e-10,2,1
31575,38286,1.0,1.7454302283530228e-06,8,1
51368,108208,1.0,1.2846307671053476e-10,2,1
51387,108228,1.0,2.569261534210695e-10,3,1
31541,83411,1.0,1.2846307671053476e-10,2,1
51389,98882,1.0,1.5748367105046768e-06,7,1
51398,108236,1.0,1.2846307671053476e-10,2,1
61067,121508,1.0,3.8538923013160426e-10,3,1
51399,108237,1.0,2.569261534210695e-10,3,1
61069,69310,1.0,1.2846307671053476e-10,4,1
31539,42695,1.0,2.569261534210695e-10,6,1
51392,108231,1.0,1.2846307671053476e-10,2,1
30656,31536,-1.0,6.33439808891238e-07,7,1
61073,121515,1.0,1.2846307671053476e-10,2,1
51329,55155,1.0,3.3674958783976067e-07,12,1
31637,83519,1.0,2.569261534210695e-10,3,1
51321,108124,1.0,2.569261534210695e-10,3,1
4346,61090,-1.0,1.4965177658317036e-05,130,0
51313,67409,1.0,4.318155746143165e-08,8,1
51312,108115,1.0,1.2846307671053476e-10,4,1
