flow1,flow2,edge1,edge2
-1.0,-0.0552763819095477,"63341,118441","18201,63341"
1.0,-0.1074380165289256,"61184,108283","19884,108283"
-1.0,-0.1604938271604938,"51014,107756","24951,51014"
1.0,1.0,"32219,49902","40492,49902"
1.0,-0.4761904761904761,"51011,107752","58665,107752"
-1.0,-0.1653543307086614,"51008,107748","21284,51008"
-1.0,-0.696969696969697,"25762,32225","31065,32225"
1.0,1.0,"51005,62452","62452,62453"
-1.0,-1.0,"51003,54334","51003,54335"
-1.0,-1.0,"51023,107770","26707,51023"
-1.0,-0.3518518518518518,"51036,107785","36355,51036"
1.0,0.5416666666666666,"32163,50927","50927,57584"
1.0,1.0,"56165,61175","56165,110128"
1.0,-0.0640569395017793,"51038,92060","9777,92060"
1.0,-0.4482758620689655,"32167,84139","42094,84139"
-1.0,-1.0,"32168,34782","32168,48529"
1.0,0.4677419354838709,"23639,32171","23639,77979"
1.0,-1.0,"61177,106224","49840,106224"
1.0,1.0,"32179,36254","29536,36254"
-1.0,-0.2941176470588235,"61180,121665","30709,61180"
-1.0,-1.0,"51026,107781","51026,59255"
1.0,0.3673469387755102,"34888,51002","34888,57150"
1.0,1.0,"32230,36316","36316,39625"
1.0,1.0,"51001,58884","58884,118619"
-1.0,-0.2272727272727272,"32261,62545","32261,32430"
1.0,-0.109090909090909,"61200,111580","25524,111580"
-1.0,-1.0,"50967,65579","46786,50967"
-1.0,-1.0,"32276,84269","32276,56744"
1.0,-0.4583333333333333,"61205,115629","50059,115629"
-1.0,-0.2018348623853211,"50961,107685","24709,50961"
1.0,1.0,"37901,50960","37901,90898"
-1.0,-0.3909774436090225,"50959,107683","15502,50959"
-1.0,-0.5301204819277109,"7138,50958","18263,50958"
-1.0,-0.5,"61207,121701","58256,61207"
1.0,-0.5185185185185185,"40904,50956","40904,46192"
1.0,1.0,"50974,54300","54300,62409"
1.0,-1.0,"48613,50999","40122,48613"
1.0,-0.5375,"50986,71036","18575,71036"
1.0,0.5,"61189,63066","63066,75113"
-1.0,-0.2631578947368421,"37512,50996","38279,50996"
1.0,0.4390243902439024,"32232,37881","31064,37881"
1.0,0.3846153846153846,"43293,50994","43293,123529"
1.0,-0.808,"50991,64819","8187,64819"
-1.0,-0.1068702290076335,"32239,84227","32239,39346"
1.0,-1.0,"50985,107725","61029,107725"
-1.0,-0.4130434782608695,"50975,56962","37159,50975"
1.0,0.5833333333333334,"32249,47518","39831,47518"
-1.0,-0.3090909090909091,"50981,107721","40449,50981"
-1.0,-0.1331444759206798,"50980,107719","10973,50980"
1.0,1.0,"9050,48440","48440,104320"
1.0,0.5909090909090908,"32031,37236","27148,37236"
1.0,0.4545454545454545,"51094,51827","51827,118900"
1.0,-0.2871287128712871,"9199,65208","25904,65208"
1.0,-0.0194647201946472,"29048,51088","9553,29048"
-1.0,-1.0,"51087,107852","51087,58087"
1.0,0.5,"32040,58965","43612,58965"
1.0,0.6744186046511628,"13982,32049","13982,21978"
1.0,0.0075431034482759,"36720,51085","36720,40114"
-1.0,-1.0,"51083,107843","29573,51083"
1.0,-1.0,"6327,32055","6327,52885"
-1.0,-0.5686274509803921,"51082,59869","26409,51082"
1.0,0.1181818181818181,"22803,51081","22803,106722"
1.0,1.0,"32025,43925","33432,43925"
1.0,0.6501937984496124,"832,32008","832,27331"
1.0,0.1343283582089552,"23568,51121","23568,92629"
1.0,-0.1935483870967742,"27855,51118","27855,32345"
