flow1,flow2,edge1,edge2
-1.0,-0.0552763819095477,"63341,118441","18201,63341"
1.0,-0.1074380165289256,"61184,108283","19884,108283"
1.0,0.0411899313501144,"9801,32204","9801,33784"
-1.0,-0.0667996011964107,"32205,84185","11326,32205"
1.0,-0.1346153846153846,"5776,32207","5776,11856"
1.0,-0.0573770491803278,"9783,32211","9783,12264"
-1.0,-0.1604938271604938,"51014,107756","24951,51014"
1.0,-0.0869565217391304,"5985,32218","5985,19112"
1.0,-0.0277128547579298,"32219,49902","4588,49902"
1.0,-0.0403892944038929,"3459,61185","155,3459"
1.0,-0.4761904761904761,"51011,107752","58665,107752"
-1.0,-0.1653543307086614,"51008,107748","21284,51008"
1.0,0.0109170305676855,"831,61187","831,37051"
-1.0,-0.0215924426450742,"51006,107746","8273,51006"
-1.0,-0.0088375254928619,"25762,32225","795,32225"
-1.0,-1.0,"51005,62452","51004,51005"
-1.0,-1.0,"51003,54334","51003,54335"
1.0,-0.0751940678947978,"20291,51022","20291,21657"
-1.0,-0.003214400514304,"61183,121670","2403,61183"
-1.0,-1.0,"51023,107770","26707,51023"
-1.0,-0.047008547008547,"51036,107785","18286,51036"
1.0,0.3683862433862434,"32163,50927","27549,50927"
1.0,-0.096045197740113,"56165,61175","13927,56165"
1.0,-0.0640569395017793,"51038,92060","9777,92060"
1.0,0.0567164179104477,"12607,51037","12607,45741"
1.0,-0.4482758620689655,"32167,84139","42094,84139"
-1.0,-1.0,"32168,34782","32168,48529"
-1.0,-0.119205298013245,"32170,84144","17795,32170"
1.0,-0.0374115267947421,"4918,9114","4918,5436"
1.0,0.4677419354838709,"23639,32171","23639,77979"
1.0,-1.0,"61177,106224","49840,106224"
-1.0,-0.0099733271483242,"61182,121669","88,61182"
1.0,1.0,"32179,36254","29536,36254"
-1.0,-0.2941176470588235,"61180,121665","30709,61180"
-1.0,-0.0727272727272727,"51026,107781","8743,51026"
1.0,0.0248628983084192,"194,32185","194,1178"
-1.0,-0.1566666666666666,"32188,84160","8806,32188"
-1.0,-0.0395869191049913,"32189,84162","10166,32189"
1.0,-1.0,"8324,32192","8324,13014"
-1.0,-0.0092735703245749,"34888,51002","529,51002"
1.0,1.0,"32230,36316","36316,39625"
1.0,1.0,"51001,58884","58884,118619"
-1.0,-0.0910436713545521,"32272,84263","4849,32272"
-1.0,-0.3,"32261,62545","32261,45586"
1.0,-0.109090909090909,"61200,111580","25524,111580"
1.0,0.031700288184438,"15593,61201","15593,41023"
1.0,-0.0388352852691522,"12003,32267","3201,12003"
-1.0,-1.0,"50967,65579","46786,50967"
1.0,1.0,"32270,47905","13609,47905"
1.0,-0.0866141732283464,"5377,61202","5377,10194"
1.0,-0.2324561403508772,"50966,68652","12244,68652"
-1.0,-0.1111111111111111,"32276,84269","32276,32312"
-1.0,-0.0078551347775756,"61204,121696","159,61204"
1.0,-0.4583333333333333,"61205,115629","50059,115629"
-1.0,-0.2018348623853211,"50961,107685","24709,50961"
-1.0,-0.0222717149220489,"61206,121699","10603,61206"
1.0,-0.0594594594594594,"37901,50960","37901,42531"
-1.0,-0.3909774436090225,"50959,107683","15502,50959"
1.0,0.1441860465116279,"7138,50958","7138,21934"
-1.0,-0.5,"61207,121701","58256,61207"
1.0,-0.5185185185185185,"40904,50956","40904,46192"
1.0,-0.1920386711141602,"5180,32260","5180,15838"
1.0,1.0,"50974,54300","54300,62409"
1.0,-1.0,"48613,50999","40122,48613"
