node1,node2,flow,degree,class
63341,118441,1.0,4,1
51041,107797,1.0,2,1
61184,108283,1.0,3,1
32205,84185,1.0,3,1
51019,107762,1.0,2,1
51015,107758,1.0,2,1
51014,107756,1.0,4,1
51012,107754,1.0,2,1
32219,49902,1.0,6,1
61186,121677,1.0,2,1
51011,107752,1.0,3,1
32224,84209,1.0,2,1
51008,107748,1.0,3,1
61188,121679,1.0,2,1
51006,107746,1.0,4,1
25762,32225,-1.0,9,1
51005,62452,1.0,5,1
51004,51005,1.0,6,1
51003,54334,1.0,6,1
61183,121670,1.0,3,1
51023,107770,1.0,3,1
51036,107785,1.0,6,1
32163,50927,1.0,7,1
56165,61175,-1.0,5,1
51038,92060,1.0,4,1
32166,84136,1.0,2,1
32167,84139,1.0,4,1
32168,34782,1.0,6,1
32170,84144,1.0,5,1
4918,9114,-1.0,14,1
23639,32171,-1.0,5,1
61177,106224,1.0,3,1
61182,121669,1.0,3,1
61178,121661,1.0,2,1
32179,36254,1.0,4,1
61180,121665,1.0,3,1
51026,107781,1.0,5,1
32184,84156,1.0,2,1
61181,121667,1.0,2,1
32188,84160,1.0,3,1
32189,84162,1.0,3,1
8324,32192,-1.0,202,0
34888,51002,-1.0,7,1
32230,36316,1.0,7,1
51001,58884,1.0,3,1
32272,84263,1.0,3,1
32261,62545,1.0,5,1
61200,111580,1.0,4,1
12003,32267,-1.0,14,1
50969,107700,1.0,2,1
50968,107699,1.0,2,1
50967,65579,1.0,6,1
32270,47905,1.0,3,1
50966,68652,1.0,4,1
50965,107693,1.0,2,1
50973,107711,1.0,2,1
32276,84269,1.0,7,1
61204,121696,1.0,3,1
61205,115629,1.0,4,1
50961,107685,1.0,3,1
61206,121699,1.0,3,1
37901,50960,-1.0,4,1
50959,107683,1.0,3,1
7138,50958,-1.0,10,1
61207,121701,1.0,5,1
40904,50956,-1.0,7,1
50974,54300,1.0,4,1
48613,50999,-1.0,4,1
50986,71036,1.0,3,1
61189,63066,1.0,8,1
37512,50996,-1.0,14,1
32232,37881,1.0,11,1
43293,50994,-1.0,11,1
50991,64819,1.0,4,1
32239,84227,1.0,3,1
32244,52922,1.0,6,1
50985,107725,1.0,3,1
50975,56962,1.0,8,1
32249,47518,1.0,5,1
50981,107721,1.0,4,1
50980,107719,1.0,4,1
9050,48440,1.0,3,1
50978,107717,1.0,2,1
61196,121692,1.0,2,1
61198,121693,1.0,2,1
82,32259,-1.0,210,0
50976,107715,1.0,3,1
51039,107793,1.0,2,1
32288,84278,1.0,2,1
41949,51043,-1.0,13,1
32031,37236,1.0,8,1
51098,107865,1.0,2,1
32033,83984,1.0,2,1
51094,51827,1.0,6,1
51093,100981,1.0,4,1
9199,65208,1.0,6,1
51089,107853,1.0,2,1
29048,51088,-1.0,9,1
51087,107852,1.0,6,1
32040,58965,1.0,7,1
61154,121640,1.0,3,1
13982,32049,-1.0,10,1
