Dataset ID,Test Name,Parameters,P-Value,Alpha,Conclusion
StochasticBlock,KS Test,,0.0,0.0166666666666666,Reject H0
StochasticBlock,Bivariate Equivalence Test,"K=32, #class1=1057, #class2=15663",0.0009990009990009,0.0166666666666666,Reject H0
SmallWorld,KS Test,,0.0,0.0166666666666666,Reject H0
SmallWorld,Bivariate Equivalence Test,"K=32, #class1=1048, #class2=6376",0.0009990009990009,0.0166666666666666,Reject H0
ScaleFree,KS Test,,0.0,0.0166666666666666,Reject H0
ScaleFree,Bivariate Equivalence Test,"K=51, #class1=2634, #class2=8374",0.0009990009990009,0.0166666666666666,Reject H0
SmallWorld,Independence Test (Color: 0),"K_marg=402, K_joint=195, #target_color_samples=38182",0.0009990009990009,0.0055555555555555,Reject H0
SmallWorld,Independence Test (Color: 1),"K_marg=425, K_joint=168, #target_color_samples=28534",0.0009990009990009,0.0055555555555555,Reject H0
SmallWorld,Independence Test (Color: 2),"K_marg=442, K_joint=146, #target_color_samples=21488",0.0009990009990009,0.0055555555555555,Reject H0
StochasticBlock,Independence Test (Color: 0),"K_marg=402, K_joint=195, #target_color_samples=38182",0.0009990009990009,0.0055555555555555,Reject H0
StochasticBlock,Independence Test (Color: 1),"K_marg=425, K_joint=168, #target_color_samples=28534",0.0009990009990009,0.0055555555555555,Reject H0
StochasticBlock,Independence Test (Color: 2),"K_marg=442, K_joint=146, #target_color_samples=21488",0.0009990009990009,0.0055555555555555,Reject H0
ScaleFree,Independence Test (Color: 0),"K_marg=402, K_joint=195, #target_color_samples=38182",0.000999000999000999,0.005555555555555556,Reject H0
ScaleFree,Independence Test (Color: 1),"K_marg=425, K_joint=168, #target_color_samples=28534",0.000999000999000999,0.005555555555555556,Reject H0
ScaleFree,Independence Test (Color: 2),"K_marg=442, K_joint=146, #target_color_samples=21488",0.000999000999000999,0.005555555555555556,Reject H0
