node1,node2,flow,AFRC,class
1,24,0.0407351888332025,-85,1
2,1853,0.3817329498869334,-132,1
3,17,-0.1840554116617797,-110,1
4,138,0.7872033833704393,-127,1
5,20,-0.0401689849290418,-125,1
6,8,-0.0955382945850101,-174,1
7,8,0.2698179401083648,-141,1
8,633,-0.1761840623329885,-151,1
9,108960,0.1849203079341259,-42,1
9,15,-0.1648700696237901,-31,1
10,8357,0.0709227640749501,-128,1
11,23103,0.0305561426858151,-40,1
12,3450,0.2441957585958455,-15,1
13,1740,0.1006234215898831,-26,1
10,997,-0.4694521109078427,-115,1
14,1740,-0.0484238772383751,-68,1
15,455,0.3049283997467752,-33,1
16,4419,-0.2152029902380029,-180,1
17,3567,0.2855945462673223,-140,1
18,58055,-0.1487884077459393,-50,1
19,270,-0.3357430985353104,-30,1
20,3878,-0.0039216817140634,-147,1
21,19695,0.1378338457503468,-95,1
22,526,0.1590795727662232,-118,1
8,41083,0.0273965705602802,-134,1
23,299,-0.0119250210382262,-110,1
24,110,-0.057431220769959,-73,1
25,1184,-0.3034909185929314,-95,1
27,1740,-0.0819020605857926,-79,1
28,35,0.091718002650925,-261,1
29,108961,0.2978937269961655,-25,1
24,30,-0.028131984457885,-85,1
31,325,0.2539058660429703,-181,1
24,108962,0.0762755037061565,-83,1
3,108963,-0.2552004152158632,-79,1
32,1236,-0.0535073083018871,-33,1
33,647,0.2017421255320227,-100,1
34,108964,-0.3585212472374141,-63,1
35,36,0.0024717713098355,-237,1
24,28562,0.0694999872640668,-95,1
36,2650,0.205575568245902,-55,1
37,1740,-0.0241644302420903,-68,1
38,108960,-0.3734897077945515,-29,1
39,94,-0.0042772142534761,-16,1
2,8,0.1283580998459833,-33,1
22,19695,-0.1957497017701045,-58,1
40,63,-0.1454835758365152,-92,1
1,447,-0.2109436344775969,-50,1
41,800,-0.0440130138018492,-57,1
42,94,-0.1223657282289715,-20,1
35,43,-0.0490347020449828,-251,1
24,91007,0.0609159683129982,-89,1
44,13725,0.5523007682160317,-13,1
24,447,0.0342941141256563,-93,1
24,45,0.0577829287551898,-88,1
46,61,-0.0401341578137529,-56,1
47,526,-0.2028498454093292,-113,1
48,99700,0.492527544452929,-104,1
32,253,-0.0528298211637764,-30,1
28,85,0.0469922035318989,-231,1
49,108965,-0.4052520309498514,-61,1
7,4252,-0.3482298833242229,-23,1
50,56,-0.0523687233061384,-36,1
51,95756,-0.2835238835238834,-12,1
8,121,-0.0828452614623863,-146,1
52,108966,-0.2201821338341791,-54,1
53,91897,0.2154364318597776,-31,1
54,72953,-0.4192948019585008,-12,1
9,801,0.0634791721410622,-110,1
21,22,0.0336085090270419,-88,1
35,529,0.0057967658652733,-261,1
55,285,0.3128849470312885,-33,1
56,58,-0.0588672276869983,-65,1
46,57,0.1670386461571478,-43,1
58,91,0.1523948712116648,-176,1
4,4969,0.1736372408812607,-110,1
56,61,0.188375261634512,-162,1
59,4404,0.4096762458649148,-57,1
60,108967,-0.3648862582083489,-11,1
61,91,0.040548778853556,-57,1
62,10043,-0.1593135324814613,-25,1
55,10497,0.2779009608277901,-38,1
63,12282,0.0286818714269664,-99,1
64,2713,0.0308918032966711,-126,1
65,153,-0.3718013054707156,-10,1
66,121,-0.0677309682187731,-31,1
67,77409,0.2114357784191918,-22,1
64,5555,0.0038667026494527,-88,1
68,41083,-0.5588749126484975,-40,1
69,16422,0.0482053286043978,-39,1
8,70,-0.1161427355017362,-133,1
11,71,0.1521601200784574,-90,1
3,72,0.0781261040014902,-108,1
73,85,0.0371687571767377,-136,1
61,74,-0.095225098541028,-145,1
24,75,0.0129398278742408,-105,1
24,76,-0.5630685461631335,-82,1
77,1740,-0.0263452783856324,-120,1
39,42,0.1035258669224513,-9,1
13,14,0.0294365750423187,-27,1
79,108968,0.3032787165549305,-8,1
80,1808,0.215588078216792,-24,1
74,91,0.0751200872331714,-156,1
81,108969,0.1188774071019601,-80,1
82,299,0.423571538054735,-103,1
35,58,-0.0844432782046514,-263,1
83,58844,-0.5308705179831277,-40,1
84,44718,0.0630610322320167,-27,1
39,114,0.0063851674826723,-28,1
35,85,-0.1335996494501461,-335,1
75,249,0.1068468442197777,-39,1
86,108970,0.1181393134198258,-116,1
57,87,0.0250279722949894,-32,1
88,84266,0.4340996551281301,-31,1
29,458,0.0700694306438135,-30,1
9,23150,0.0590354392759039,-88,1
26,42,0.1768072406840711,-10,1
29,89,0.0769532959238756,-28,1
85,90,0.1160649724764287,-69,1
30,110,-0.0489878500144674,-6,1
35,91,0.0058210463081974,-272,1
92,3697,-0.1210077700713939,-39,1
93,490,-0.04590541090993,-64,1
94,108971,-0.0068143845505607,-18,1
57,74,-0.0691683465442807,-156,1
95,33231,-0.2416130712304542,-29,1
96,381,-0.0178644732882493,-14,1
28,399,0.0246835523514397,-306,1
97,3464,-0.1009547873723627,-10,1
74,98,-0.1682850157177785,-266,1
78,99,0.2802630197047049,6,0
100,95064,0.0681760767967664,-34,1
73,101,0.1431024909814523,-110,1
75,61215,-0.040117016989795,-44,1
102,10043,-0.0101474464354368,-21,1
103,526,0.3531119551786568,-117,1
4,104,-0.7209809930000569,-59,1
87,105,0.1623614285733237,-17,1
106,49955,0.3516478223394007,-24,1
107,299,-0.0081474763467523,-141,1
108,108972,-0.7252032520325203,-45,1
1,876,-0.3473888649675467,-47,1
109,21988,0.0584556189360261,-22,1
110,876,0.2189708370657908,-20,1
111,10043,-0.020366940336398,-17,1
32,566,-0.1827650847974021,-124,1
42,108971,-0.043924127245122,1,0
92,112,-0.0769364168455344,-72,1
52,69299,-0.4043692079892214,-63,1
33,75356,-0.0391886488647784,-81,1
9,21486,0.0468320799747827,-89,1
113,343,-0.2170326597648273,-172,1
114,1581,-0.0015295461498064,-23,1
115,37554,-0.247451785680993,-41,1
116,133,-0.2643044296125487,-76,1
117,1803,0.1133395501616999,-18,1
118,9764,0.0312544220799638,-40,1
119,1037,-0.1159122791741645,-139,1
75,840,0.0257539083196478,-39,1
75,184,0.0495135726477989,-20,1
120,815,0.2418358281881579,-22,1
75,194,0.0301410310880515,-47,1
32,20059,0.0245799305708554,-22,1
9,108973,0.0447156302066915,-75,1
98,1489,-0.0399929393899722,-46,1
121,41083,-0.3445143256464011,-34,1
61,85,-0.1041508925972009,-105,1
122,5380,0.0007690438623679,-49,1
75,233,0.0035941004554918,-83,1
123,128,0.123567496918135,-82,1
124,1300,0.3691099476439791,-39,1
125,2945,0.0687256641406934,-36,1
126,728,-0.1302052973320075,-23,1
20,127,-0.970632911392405,-123,1
128,44718,-0.0727642026433045,-28,1
3,1366,0.0154633533989996,-195,1
114,326,0.12114534022925,-30,1
28,129,-0.1364737619045949,-250,1
56,85,-0.0231567873312402,-146,1
28,2220,-0.0265199765634058,-215,1
123,44718,0.1126430730523355,-75,1
117,297,-0.323358470582206,-14,1
130,25003,0.4215390327014616,-20,1
26,108971,0.2033990630787667,-8,1
105,131,0.1989798618490123,-10,1
132,12285,0.0252951379224729,-33,1
20,462,0.0175251077173561,-130,1
133,299,0.0943051565448576,-96,1
32,134,-0.0044386166916686,-36,1
99,135,0.2600466541676499,-12,1
13,27,0.0747895723738851,-38,1
101,136,0.0168003073493459,-99,1
16,137,0.0668805073185119,-188,1
138,4969,-0.1949211996069309,-216,1
18,107,-0.034979631632154,-142,1
14,37,-0.2685921044129999,6,0
126,31146,0.123263517182929,-51,1
139,39000,0.3560617258216317,-27,1
140,60639,-0.1449168004170268,-7,1
35,2127,-0.0333048808056305,-270,1
141,1634,-0.0529963973968766,-10,1
107,934,0.0058408665777884,-112,1
142,270,0.0996338908948642,-50,1
8,1521,-0.0538287266040697,-135,1
98,143,-0.1190045114802587,-43,1
144,2263,-0.0618257000416396,-49,1
145,40901,-0.1022820062578132,-35,1
146,108974,0.1001607319485657,-38,1
114,7755,-0.0581286496487674,-24,1
147,108975,0.7831270059605685,-17,1
148,69811,-0.1709878125453402,-62,1
24,108976,-0.5976598640234065,-98,1
150,42363,0.2404664414966885,-18,1
151,617,0.1087909183839416,-9,1
35,129,-0.1298450395608558,-312,1
152,988,0.0163566936973625,-79,1
8,85,0.0217668499890521,-217,1
153,108978,-0.3113905325443787,-30,1
154,503,0.075344667564569,-71,1
155,10767,-0.0613737566074598,-67,1
156,48557,0.1761969982308965,-19,1
13,37,0.0368788965156463,-27,1
157,1763,0.2505834924676426,-56,1
35,2258,-0.0601356515701355,-282,1
158,13005,-0.3358024691358025,-45,1
159,12285,-0.3601685517853182,-48,1
160,456,-0.237885462555066,-84,1
107,161,-0.053354627911997,-116,1
107,162,0.0312746122656344,-149,1
163,469,0.2957884504021257,-55,1
107,164,-0.0365544831336298,-121,1
165,1755,-0.2051907966661439,-32,1
166,570,0.2285088060042329,-20,1
167,239,-0.0604020509553159,-86,1
2,5547,-0.0360791278371973,-144,1
168,479,0.235992348549514,-40,1
169,17785,0.3788641550518501,-26,1
170,69377,-0.0595401957955569,-43,1
171,2702,-0.1734065085013176,-30,1
172,688,0.2716992228808489,-181,1
46,74,-0.0486024066182,-149,1
173,21111,0.6682484900776532,-22,1
174,5437,0.0215174849511339,-47,1
74,688,0.0420202841516383,-173,1
170,1201,0.0392870474315832,-31,1
151,2905,-0.4498445728390494,-21,1
107,2910,-0.1027527727476923,-79,1
176,17404,0.3004745083500822,-24,1
177,4588,0.4611679711017459,-96,1
178,65215,0.3024727992087042,-38,1
35,179,-0.0470523794405041,-287,1
131,180,0.1931494412509805,-13,1
64,19756,0.0886327736500321,-84,1
181,11364,0.0822857158247958,20,0
51,182,-0.1725677206593237,-17,1
28,2142,0.0296933150237825,-246,1
183,9803,-0.0800302342299537,-116,1
184,108979,0.11066875037254,-25,1
5,32655,-0.3069333790228161,-44,1
185,2702,0.1747204477314507,-49,1
170,186,-0.0657374078864583,-34,1
187,33604,-0.1994988703552372,-22,1
75,320,0.0213004354360735,-30,1
189,3639,0.0499515985188864,-31,1
190,477,0.0035867144058464,-50,1
191,108980,0.0704178163617141,-8,1
117,108974,-0.0075927716005195,-25,1
192,4248,-0.2378566200828712,-40,1
193,24327,-0.5433746425166825,-28,1
194,233,-0.0241442888165073,-60,1
125,195,0.0667858452511917,-37,1
170,108981,-0.1625880027905605,-23,1
196,8597,-0.2369450797142934,-36,1
197,28307,0.0607778680317427,-49,1
198,788,-0.5066903961505504,-13,1
75,17900,0.0286334083009609,-67,1
199,12282,0.4073161945308662,-39,1
200,811,-0.0935237777035303,-6,1
28,197,-0.2048540884137532,-258,1
202,108967,-0.2525432803855078,-22,1
3,9327,-0.013928774195252,-80,1
55,13965,0.1156278229448961,-27,1
29,641,0.0069112639119543,-31,1
28,123,-0.1299712617039028,-269,1
107,108982,-0.0035665568752703,-112,1
203,9557,0.4337511270135383,-17,1
204,401,-0.0384371500207836,-136,1
205,27157,0.0656250646722925,-9,1
206,108983,0.5972282373321784,-21,1
24,23133,0.0175119080975063,-88,1
16,28,0.0504368985731666,-323,1
80,19135,-0.1848722700272647,-29,1
184,233,-0.1043692217987561,-75,1
65,207,0.1696316336011367,-15,1
38,208,0.6887316826680141,-7,1
112,1861,0.1705843792117448,-47,1
107,12285,0.0199443968804515,-124,1
7,209,-0.1182672149653281,-21,1
24,210,-0.0273654063519832,-103,1
10,81,0.0387859128577458,-138,1
211,282,-0.090796070045049,-73,1
212,17042,0.1024899109114444,-54,1
185,457,-0.0769748347977253,-59,1
213,525,-0.0619951659942927,-42,1
81,214,0.1179482652070274,-71,1
7,215,0.0775616835994194,-16,1
216,2548,0.0586275930824949,-78,1
167,217,0.0573086546813056,-69,1
218,275,-0.48120764017252,-6,1
219,108701,0.2008937859182786,-42,1
28,220,-0.4079925650557621,-263,1
221,850,0.1895889811175605,-39,1
222,18510,-0.4554283732223378,-41,1
94,223,0.058628566309849,-24,1
224,23820,-0.2157868302096275,-18,1
171,2213,0.0185582419477986,-12,1
130,912,-0.1536293938986352,-85,1
225,667,-0.3918391839183918,-40,1
226,876,-0.2148038245961094,-10,1
227,95196,-0.355239647131539,-37,1
228,5547,0.1317144098842595,-120,1
39,326,-0.0325779967159277,-7,1
229,7009,0.105006818624586,-31,1
136,230,0.1599514159384983,-111,1
162,81995,0.1728588916277946,-35,1
35,231,-0.0216833777912129,-300,1
232,108984,-0.005436235048724,-88,1
233,2213,-0.1058920360249658,-78,1
234,6661,0.2052064394655868,-51,1
107,22604,-0.0532867511468759,-120,1
235,17072,0.1795665634674922,-22,1
32,505,-0.321980546514013,-27,1
48,1184,-0.0425176809054502,-59,1
85,551,0.0575768253889751,-79,1
28,43,-0.0167263725065994,-237,1
236,299,0.093201758240522,-499,1
237,41370,-0.2226917693801074,-6,1
