node1,node2,flow,betweenness,degree,class
1,24,0.0407351888332025,8.322159748457563e-05,134,0
2,1853,0.3817329498869334,3.3640734482969246e-05,139,0
4,138,0.7872033833704393,0.00021181078085817678,152,0
5,20,-0.0401689849290418,1.656572133591221e-05,171,0
6,8,-0.0955382945850101,8.642402746353295e-05,181,0
7,8,0.2698179401083648,7.991458174463484e-05,151,0
10,8357,0.0709227640749501,4.727834353308029e-05,132,0
11,23103,0.0305561426858151,0.00013128925117154337,44,0
16,4419,-0.2152029902380029,1.3408360292361754e-05,202,0
17,3567,0.2855945462673223,0.00023327646224627577,144,0
18,58055,-0.1487884077459393,2.657651756917424e-05,54,0
19,270,-0.3357430985353104,2.0497208803614834e-05,37,0
20,3878,-0.0039216817140634,5.764065884254911e-05,151,0
21,19695,0.1378338457503468,3.490944544669349e-05,102,0
8,41083,0.0273965705602802,1.8558233781684767e-05,144,0
23,299,-0.0119250210382262,9.878046649599712e-05,117,0
24,110,-0.057431220769959,1.3880658861740576e-05,104,0
25,1184,-0.3034909185929314,5.827641521520592e-05,99,0
27,1740,-0.0819020605857926,1.3464928231319968e-05,104,0
28,35,0.091718002650925,0.00012594401153615182,547,0
29,108961,0.2978937269961655,5.69453568622543e-05,98,0
24,30,-0.028131984457885,2.062276361300021e-05,98,0
31,325,0.2539058660429703,3.306373550552145e-05,191,0
24,108962,0.0762755037061565,2.6198290961860276e-05,87,0
3,108963,-0.2552004152158632,1.1285858377182604e-05,83,0
32,1236,-0.0535073083018871,2.0535417103737273e-05,91,0
33,647,0.2017421255320227,0.00012700424614377477,104,0
34,108964,-0.3585212472374141,8.755523191838556e-05,67,0
35,36,0.0024717713098355,8.150523155236668e-05,388,0
24,28562,0.0694999872640668,0.000138235855586327,99,0
22,19695,-0.1957497017701045,2.9314335092805318e-05,65,0
40,63,-0.1454835758365152,7.436631178977752e-05,96,0
1,447,-0.2109436344775969,2.160322241369868e-05,66,0
35,43,-0.0490347020449828,0.00015542315197963262,393,0
24,91007,0.0609159683129982,9.505056118399769e-05,93,0
24,447,0.0342941141256563,8.684918560796046e-05,100,0
24,45,0.0577829287551898,0.00010515460491625861,92,0
47,526,-0.2028498454093292,3.6607095985905405e-05,120,0
48,99700,0.492527544452929,4.1664676085418396e-05,108,0
28,85,0.0469922035318989,5.286840151794615e-05,370,0
49,108965,-0.4052520309498514,2.359628802235796e-05,65,0
7,4252,-0.3482298833242229,9.197246858784564e-05,30,0
8,121,-0.0828452614623863,2.310965055882535e-05,165,0
52,108966,-0.2201821338341791,1.530645672928772e-05,58,0
53,91897,0.2154364318597776,4.252149855404428e-05,59,0
54,72953,-0.4192948019585008,1.2932275486171661e-05,19,0
9,801,0.0634791721410622,0.0001946472493820408,117,0
35,529,0.0057967658652733,2.044784407166565e-05,382,0
55,285,0.3128849470312885,2.4328765398300534e-05,37,0
58,91,0.1523948712116648,2.1900493772083683e-05,237,0
4,4969,0.1736372408812607,3.0415852905716403e-05,123,0
56,61,0.188375261634512,2.5081234386118593e-05,178,0
59,4404,0.4096762458649148,0.00022755813997513036,175,0
60,108967,-0.3648862582083489,1.8642328843626173e-05,24,0
62,10043,-0.1593135324814613,0.0001212516239588207,47,0
55,10497,0.2779009608277901,3.177212370262405e-05,42,0
63,12282,0.0286818714269664,2.8861040974388504e-05,127,0
64,2713,0.0308918032966711,1.830834351473565e-05,151,0
65,153,-0.3718013054707156,3.381508966760516e-05,47,0
66,121,-0.0677309682187731,3.2460321790206465e-05,35,0
67,77409,0.2114357784191918,2.9041800630391837e-05,26,0
64,5555,0.0038667026494527,2.439409527779208e-05,98,0
8,70,-0.1161427355017362,1.2630502905347726e-05,143,0
11,71,0.1521601200784574,0.0003489486882280109,94,0
3,72,0.0781261040014902,8.147925620563582e-05,115,0
73,85,0.0371687571767377,1.2331602099901779e-05,212,0
24,75,0.0129398278742408,0.0001410648023774861,136,0
24,76,-0.5630685461631335,2.0257942760794164e-05,101,0
77,1740,-0.0263452783856324,8.369915710193323e-05,127,0
80,1808,0.215588078216792,2.3660964036633674e-05,37,0
81,108969,0.1188774071019601,2.582188657342805e-05,87,0
82,299,0.423571538054735,5.33161134199789e-05,110,0
35,58,-0.0844432782046514,6.327420340645356e-05,417,0
83,58844,-0.5308705179831277,0.00011166573154710304,257,0
39,114,0.0063851674826723,1.1002478265492833e-05,62,0
35,85,-0.1335996494501461,6.761822312759683e-05,435,0
86,108970,0.1181393134198258,2.775366036262407e-05,129,0
88,84266,0.4340996551281301,4.870869934137008e-05,35,0
29,458,0.0700694306438135,3.347651871484615e-05,73,0
9,23150,0.0590354392759039,8.090891060338273e-05,95,0
29,89,0.0769532959238756,4.8116782748202184e-05,71,0
35,91,0.0058210463081974,4.249697775737433e-05,432,0
93,490,-0.04590541090993,2.3644162688927352e-05,71,0
96,381,-0.0178644732882493,0.00012664097217977401,21,0
28,399,0.0246835523514397,0.00021010417960014684,385,0
74,98,-0.1682850157177785,7.693606537296629e-05,291,0
100,95064,0.0681760767967664,1.5883246152520954e-05,38,0
75,61215,-0.040117016989795,1.5065251689403359e-05,69,0
102,10043,-0.0101474464354368,7.807035776436085e-05,40,0
103,526,0.3531119551786568,5.360299772561965e-05,124,0
4,104,-0.7209809930000569,0.00018019046957567787,63,0
106,49955,0.3516478223394007,3.6095273409625485e-05,28,0
107,299,-0.0081474763467523,4.446939108278078e-05,223,0
1,876,-0.3473888649675467,1.533868247714864e-05,63,0
109,21988,0.0584556189360261,1.765918841961164e-05,29,0
111,10043,-0.020366940336398,2.3765720562921122e-05,33,0
32,566,-0.1827650847974021,5.900374473886137e-05,200,0
52,69299,-0.4043692079892214,0.00015872179644461413,67,0
33,75356,-0.0391886488647784,9.140436312986387e-05,85,0
9,21486,0.0468320799747827,9.650252869570201e-05,96,0
113,343,-0.2170326597648273,2.5127301092161723e-05,452,0
116,133,-0.2643044296125487,1.379061272416253e-05,149,0
118,9764,0.0312544220799638,3.966144655518371e-05,86,0
119,1037,-0.1159122791741645,3.881050482278769e-05,161,0
75,184,0.0495135726477989,1.7751506884627364e-05,90,0
120,815,0.2418358281881579,3.9853432810641465e-05,35,0
75,194,0.0301410310880515,4.874296955268445e-05,135,0
9,108973,0.0447156302066915,2.4186728875381548e-05,88,0
75,233,0.0035941004554918,5.094582188757749e-05,150,0
125,2945,0.0687256641406934,5.832184479694208e-05,43,0
126,728,-0.1302052973320075,3.70385024249478e-05,30,0
20,127,-0.970632911392405,2.152775070788044e-05,127,0
3,1366,0.0154633533989996,0.0005458848768760521,199,0
114,326,0.12114534022925,1.8440183371266474e-05,55,0
28,129,-0.1364737619045949,8.875342791475965e-05,365,0
56,85,-0.0231567873312402,3.6097101048055296e-05,207,0
28,2220,-0.0265199765634058,3.1255264464347114e-05,345,0
132,12285,0.0252951379224729,1.3295313140176182e-05,40,0
133,299,0.0943051565448576,3.537886922898052e-05,154,0
16,137,0.0668805073185119,9.565701122147692e-05,195,0
138,4969,-0.1949211996069309,0.000692793019879306,229,0
18,107,-0.034979631632154,8.731757102136267e-05,167,0
126,31146,0.123263517182929,6.430727837434393e-05,64,0
139,39000,0.3560617258216317,2.5459772497706256e-05,31,0
35,2127,-0.0333048808056305,2.9135349130724427e-05,358,0
141,1634,-0.0529963973968766,1.493161671159117e-05,29,0
107,934,0.0058408665777884,5.567045977334475e-05,143,0
142,270,0.0996338908948642,0.00027800105113136975,54,0
98,143,-0.1190045114802587,3.625927207077768e-05,167,0
144,2263,-0.0618257000416396,1.4179131278860491e-05,83,0
145,40901,-0.1022820062578132,2.9477087585955506e-05,39,0
146,108974,0.1001607319485657,2.1379899555676127e-05,42,0
148,69811,-0.1709878125453402,1.8247569723416125e-05,84,0
24,108976,-0.5976598640234065,0.0001661514188016411,105,0
149,108977,0.3444563975213562,2.783217529147444e-06,8,1
150,42363,0.2404664414966885,0.00010198338649687934,25,0
35,129,-0.1298450395608558,0.00015108394882301578,430,0
152,988,0.0163566936973625,0.00028967954589241806,83,0
8,85,0.0217668499890521,2.9670431654367888e-05,263,0
153,108978,-0.3113905325443787,4.173396134741946e-05,40,0
155,10767,-0.0613737566074598,1.2260772588159805e-05,71,0
156,48557,0.1761969982308965,1.4592988727912872e-05,26,0
157,1763,0.2505834924676426,2.8149814785706723e-05,72,0
35,2258,-0.0601356515701355,1.233171894523987e-05,319,0
158,13005,-0.3358024691358025,6.963255588410853e-05,49,0
159,12285,-0.3601685517853182,5.8609601819385546e-05,52,0
160,456,-0.237885462555066,0.0001486963433721473,88,0
107,161,-0.053354627911997,0.00010496303267338355,138,0
107,162,0.0312746122656344,6.440410070277156e-05,168,0
163,469,0.2957884504021257,5.864101515063223e-05,65,0
107,164,-0.0365544831336298,3.201485424801169e-05,134,0
165,1755,-0.2051907966661439,1.9650075748772692e-05,45,0
