node1,node2,flow,degree,class
1,24,0.0407351888332025,134,0
2,1853,0.3817329498869334,139,0
3,17,-0.1840554116617797,192,0
4,138,0.7872033833704393,152,0
5,20,-0.0401689849290418,171,0
6,8,-0.0955382945850101,181,0
7,8,0.2698179401083648,151,0
8,633,-0.1761840623329885,209,0
9,108960,0.1849203079341259,109,0
9,15,-0.1648700696237901,110,0
10,8357,0.0709227640749501,132,0
11,23103,0.0305561426858151,44,0
12,3450,0.2441957585958455,37,0
13,1740,0.1006234215898831,108,0
10,997,-0.4694521109078427,140,0
14,1740,-0.0484238772383751,90,0
15,455,0.3049283997467752,79,0
16,4419,-0.2152029902380029,202,0
17,3567,0.2855945462673223,144,0
18,58055,-0.1487884077459393,54,0
19,270,-0.3357430985353104,37,0
20,3878,-0.0039216817140634,151,0
21,19695,0.1378338457503468,102,0
22,526,0.1590795727662232,167,0
8,41083,0.0273965705602802,144,0
23,299,-0.0119250210382262,117,0
24,110,-0.057431220769959,104,0
25,1184,-0.3034909185929314,99,0
26,94,0.0534704058294111,24,0
27,1740,-0.0819020605857926,104,0
28,35,0.091718002650925,547,0
29,108961,0.2978937269961655,98,0
24,30,-0.028131984457885,98,0
31,325,0.2539058660429703,191,0
24,108962,0.0762755037061565,87,0
3,108963,-0.2552004152158632,83,0
32,1236,-0.0535073083018871,91,0
33,647,0.2017421255320227,104,0
34,108964,-0.3585212472374141,67,0
35,36,0.0024717713098355,388,0
24,28562,0.0694999872640668,99,0
36,2650,0.205575568245902,110,0
37,1740,-0.0241644302420903,87,0
38,108960,-0.3734897077945515,36,0
39,94,-0.0042772142534761,38,0
2,8,0.1283580998459833,241,0
14,27,-0.0928938039097784,42,0
22,19695,-0.1957497017701045,65,0
40,63,-0.1454835758365152,96,0
1,447,-0.2109436344775969,66,0
41,800,-0.0440130138018492,73,0
42,94,-0.1223657282289715,33,0
27,37,0.0566918866536506,39,0
35,43,-0.0490347020449828,393,0
24,91007,0.0609159683129982,93,0
44,13725,0.5523007682160317,23,0
24,447,0.0342941141256563,100,0
24,45,0.0577829287551898,92,0
46,61,-0.0401341578137529,162,0
47,526,-0.2028498454093292,120,0
48,99700,0.492527544452929,108,0
32,253,-0.0528298211637764,61,0
28,85,0.0469922035318989,370,0
49,108965,-0.4052520309498514,65,0
7,4252,-0.3482298833242229,30,0
50,56,-0.0523687233061384,118,0
51,95756,-0.2835238835238834,16,0
8,121,-0.0828452614623863,165,0
52,108966,-0.2201821338341791,58,0
53,91897,0.2154364318597776,59,0
54,72953,-0.4192948019585008,19,0
9,801,0.0634791721410622,117,0
21,22,0.0336085090270419,143,0
35,529,0.0057967658652733,382,0
55,285,0.3128849470312885,37,0
56,58,-0.0588672276869983,189,0
46,57,0.1670386461571478,146,0
58,91,0.1523948712116648,237,0
4,4969,0.1736372408812607,123,0
56,61,0.188375261634512,178,0
59,4404,0.4096762458649148,175,0
60,108967,-0.3648862582083489,24,0
61,91,0.040548778853556,226,0
62,10043,-0.1593135324814613,47,0
55,10497,0.2779009608277901,42,0
63,12282,0.0286818714269664,127,0
64,2713,0.0308918032966711,151,0
65,153,-0.3718013054707156,47,0
66,121,-0.0677309682187731,35,0
67,77409,0.2114357784191918,26,0
64,5555,0.0038667026494527,98,0
68,41083,-0.5588749126484975,47,0
69,16422,0.0482053286043978,46,0
8,70,-0.1161427355017362,143,0
11,71,0.1521601200784574,94,0
3,72,0.0781261040014902,115,0
73,85,0.0371687571767377,212,0
61,74,-0.095225098541028,305,0
24,75,0.0129398278742408,136,0
