flow1,flow2,edge1,edge2
-1.0,-0.6702127659574468,"16156,57131","3927,16156"
-1.0,-0.3050847457627119,"36552,54633","20391,36552"
1.0,1.0,"26973,29130","15555,29130"
1.0,-0.6071428571428571,"36565,55032","28011,55032"
-1.0,-0.3015873015873015,"28157,52142","12356,52142"
1.0,1.0,"32474,49772","49772,94882"
1.0,0.2708333333333333,"24719,42698","24719,29408"
1.0,-0.3255813953488372,"16812,61172","10260,61172"
1.0,1.0,"48811,48812","48811,71452"
-1.0,-0.1694915254237288,"16494,33190","14612,16494"
-1.0,-0.4324324324324324,"39110,42293","20838,39110"
1.0,-1.0,"32780,48759","32780,49938"
1.0,-0.4761904761904761,"49283,78547","46005,78547"
1.0,1.0,"36407,51905","7832,36407"
1.0,-0.0291666666666666,"16683,49293","16683,33125"
1.0,-1.0,"15334,57154","47121,57154"
-1.0,-0.5294117647058824,"41438,56680","25785,41438"
1.0,1.0,"49361,51654","51654,58202"
-1.0,-0.4912280701754385,"28963,37354","11105,37354"
-1.0,-0.4642857142857143,"32231,74818","32231,33196"
-1.0,-0.4818652849740932,"7322,32692","1371,7322"
-1.0,-0.6333333333333333,"49372,49834","23769,49372"
-1.0,-0.8877551020408163,"51876,93947","5951,51876"
-1.0,-0.5208333333333334,"31962,49340","15461,49340"
-1.0,-0.5416666666666666,"32385,46556","32385,38112"
-1.0,-0.3968253968253968,"25923,63760","15874,25923"
1.0,-0.125,"15779,60490","7979,60490"
-1.0,-0.1257142857142857,"6954,23896","5516,6954"
-1.0,-0.1621621621621621,"21623,32342","18557,32342"
-1.0,-0.282051282051282,"9264,38570","11156,38570"
-1.0,-0.3411764705882353,"32330,68805","9990,32330"
-1.0,-0.5,"41421,84887","41421,48896"
1.0,-0.1515151515151515,"44421,77287","6224,77287"
-1.0,-0.1971830985915492,"42019,43037","18297,43037"
-1.0,-0.42,"37611,42747","21869,37611"
1.0,0.1923076923076923,"27865,37613","27865,46667"
1.0,-0.3428571428571428,"35576,78311","17724,78311"
-1.0,-0.1527777777777778,"39197,82291","11388,39197"
1.0,1.0,"38749,48205","38749,57459"
1.0,-0.4040632054176072,"20013,48207","2607,20013"
-1.0,-0.2954545454545454,"13068,35143","28333,35143"
-1.0,-0.5,"33165,37555","33165,42768"
1.0,-0.2142857142857142,"44426,48644","8063,48644"
-1.0,-0.3275862068965517,"18412,45077","15029,18412"
1.0,1.0,"43863,48052","43863,79942"
1.0,0.0795454545454545,"32774,42167","12162,42167"
1.0,-0.4782608695652174,"37527,80465","43076,80465"
1.0,-1.0,"40236,66020","39318,66020"
-1.0,-0.273972602739726,"48458,61005","16564,48458"
-1.0,-0.0523076923076923,"28298,48572","3837,48572"
1.0,-0.35,"38459,52160","35597,52160"
-1.0,-0.4057971014492754,"48335,57347","11850,48335"
-1.0,-0.3023255813953488,"12457,17692","9034,17692"
-1.0,-0.365079365079365,"29425,71944","12858,29425"
-1.0,-0.625,"22594,29402","22755,29402"
-1.0,-0.3614457831325301,"31397,52480","4784,52480"
-1.0,-0.2894736842105263,"41249,51234","32276,41249"
-1.0,-1.0,"8499,39171","36111,39171"
-1.0,-0.5428571428571428,"36430,54285","24544,36430"
-1.0,-0.5,"17580,41600","17580,22245"
-1.0,-0.6216216216216216,"9038,9058","9038,18681"
1.0,-0.282051282051282,"25467,68245","27512,68245"
-1.0,-0.5245901639344263,"41865,50453","3869,50453"
-1.0,-0.6,"30870,31129","8899,31129"
1.0,0.08,"7961,12123","7961,31652"
1.0,0.4,"20608,30874","20608,49403"
-1.0,-0.391304347826087,"12279,45899","12279,12320"
-1.0,-0.8117647058823529,"30970,73468","7680,30970"
-1.0,-0.4146341463414634,"50189,50190","28077,50189"
1.0,-0.2916666666666667,"51237,64685","12889,64685"
1.0,-0.4814814814814814,"10272,57150","11511,57150"
-1.0,-0.5555555555555556,"31531,61232","31531,34111"
-1.0,-0.2658227848101265,"40369,50886","21798,50886"
1.0,1.0,"31443,40075","40075,55123"
1.0,0.8398058252427184,"25562,49369","3526,49369"
-1.0,-0.5625,"31403,34553","12456,31403"
-1.0,-0.42,"11608,50519","21506,50519"
-1.0,-1.0,"50545,64930","43744,50545"
-1.0,-0.5882352941176471,"12953,31160","22460,31160"
-1.0,-0.4545454545454545,"20912,42106","42106,43394"
1.0,-0.5357142857142857,"50643,76278","33671,76278"
-1.0,-0.6410256410256411,"38836,80634","15901,38836"
-1.0,-0.5517241379310345,"10814,52662","10814,31878"
-1.0,-0.5405405405405406,"7765,55887","7765,22800"
1.0,1.0,"24651,40164","24651,63621"
-1.0,-0.4615384615384615,"49590,79706","36828,49590"
1.0,1.0,"26613,51657","26613,51658"
1.0,-0.1140939597315436,"39556,51593","5660,39556"
1.0,-0.3783783783783784,"25805,68511","37298,68511"
-1.0,-0.2972972972972973,"19531,49684","29837,49684"
-1.0,-0.4084507042253521,"32175,36578","10097,32175"
-1.0,-0.3928571428571428,"39034,71145","28560,39034"
-1.0,-0.2702702702702703,"35475,78189","29630,35475"
1.0,0.4814814814814814,"30326,35753","35753,81853"
1.0,1.0,"27724,51804","27724,41738"
1.0,0.5925925925925926,"29827,32212","14048,29827"
-1.0,-0.4814814814814814,"51396,79649","36754,51396"
1.0,-0.5,"23093,26882","23093,40822"
-1.0,-0.0595238095238095,"8324,9065","927,8324"
-1.0,-0.4838709677419355,"12897,58654","12897,29894"
-1.0,-0.2463768115942029,"6550,44387","18369,44387"
1.0,-0.3666666666666666,"42356,63361","15431,63361"
1.0,-0.2857142857142857,"31828,74405","23351,74405"
1.0,0.3658536585365853,"6528,50122","2851,6528"
