node1,node2,flow,AFRC,class
44998,89045,1.0,2,0
42722,85864,1.0,3,0
35039,45104,1.0,-4,1
44747,88766,1.0,2,0
48908,93873,1.0,2,0
12990,32534,-1.0,-12,1
48907,93872,1.0,2,0
16152,22398,1.0,-7,1
16156,57131,1.0,3,0
29846,72352,1.0,2,0
17596,45113,-1.0,-5,1
41362,84811,1.0,2,0
39101,82189,1.0,2,0
21299,52117,-1.0,-6,1
5709,38547,-1.0,-79,1
30711,52118,-1.0,-4,1
44748,88767,1.0,2,0
32529,75106,1.0,2,0
16124,21203,1.0,-4,1
943,16128,-1.0,-25,1
35038,77751,1.0,2,0
8137,41360,-1.0,-8,1
52120,97793,1.0,2,0
29835,72341,1.0,2,0
16100,16187,-1.0,-13,1
15164,16195,-1.0,-8,1
167,41356,-1.0,-31,1
26339,39104,-1.0,-4,1
38546,81543,1.0,2,0
32544,75124,1.0,3,0
2475,32546,-1.0,-23,1
16204,60759,1.0,2,0
32542,75118,1.0,2,0
15423,42725,-1.0,-5,1
17239,48902,-1.0,-12,1
52125,97800,1.0,2,0
15154,16165,-1.0,-17,1
16170,19917,1.0,-4,1
42723,86490,1.0,2,0
31663,42724,-1.0,-7,1
45115,89166,1.0,2,0
44746,88765,1.0,2,0
29863,72368,1.0,2,0
32520,75090,1.0,2,0
32523,75093,1.0,2,0
8881,37443,-1.0,-17,1
34701,77382,1.0,2,0
44754,88771,1.0,2,0
32524,75097,1.0,2,0
16089,60688,1.0,2,0
6512,55314,1.0,2,0
16058,60670,1.0,2,0
16044,33525,1.0,2,0
16100,48923,-1.0,-14,1
35037,77525,1.0,3,0
17768,38549,-1.0,-10,1
52106,97777,1.0,3,0
44755,88772,1.0,2,0
45110,89160,1.0,2,0
32517,75088,1.0,2,0
11568,29854,-1.0,-17,1
29852,72360,1.0,2,0
16308,38548,-1.0,-25,1
39100,82188,1.0,2,0
2133,52114,-1.0,-41,1
4298,39673,-1.0,-7,1
9550,29851,-1.0,-5,1
6483,55304,1.0,2,0
40225,83400,1.0,3,0
5609,52116,-1.0,-12,1
48919,93898,1.0,2,0
29857,72365,1.0,2,0
3735,48918,-1.0,-25,1
17785,41369,-1.0,-4,1
24676,41368,-1.0,-6,1
7890,16095,-1.0,-8,1
11713,16097,-1.0,-6,1
48916,93889,1.0,2,0
45117,89168,1.0,2,0
18062,52130,-1.0,-7,1
29832,72337,1.0,2,0
32200,52150,-1.0,-5,1
2591,52151,-1.0,-9,1
19069,29822,-1.0,-15,1
598,32576,-1.0,-19,1
16309,28410,1.0,-4,1
29816,63623,1.0,2,0
791,52148,-1.0,-16,1
36554,79426,1.0,2,0
44743,88763,1.0,2,0
387,48882,-1.0,-75,1
18765,34696,-1.0,4,0
44742,88761,1.0,2,0
48875,93834,1.0,2,0
41347,84786,1.0,2,0
36552,54633,1.0,3,0
1977,44277,-1.0,-14,1
16333,22199,1.0,-6,1
52163,97834,1.0,2,0
16342,60832,1.0,2,0
52164,97836,1.0,2,0
32583,75163,1.0,2,0
60,6381,-1.0,-28,1
32181,37456,-1.0,-6,1
37457,80398,1.0,2,0
48868,93825,1.0,2,0
6229,48867,-1.0,-6,1
16322,40538,1.0,-10,1
52157,66961,1.0,-5,1
16323,60823,1.0,2,0
9357,39105,-1.0,-6,1
52159,97832,1.0,2,0
52146,97823,1.0,2,0
38543,81536,1.0,2,0
675,16238,-1.0,-36,1
44060,52132,-1.0,2,0
45997,52133,-1.0,-4,1
42728,56592,1.0,3,0
9855,16247,-1.0,-24,1
1508,16251,-1.0,-38,1
52135,97811,1.0,2,0
171,48894,-1.0,-18,1
26973,29130,1.0,3,0
48899,93855,1.0,2,0
36565,55032,1.0,4,0
18763,38544,-1.0,-8,1
2803,48897,-1.0,-13,1
35468,78183,1.0,2,0
16232,19562,1.0,-13,1
3351,36562,-1.0,-24,1
52136,97812,1.0,2,0
1236,25164,-1.0,-82,1
28157,52142,-1.0,2,0
852,6410,-1.0,-62,1
16269,37101,1.0,-5,1
52144,97822,1.0,2,0
35043,77754,1.0,2,0
