flow1,flow2,edge1,edge2
1.0,-0.1363636363636363,"42722,85864","26237,85864"
-1.0,-0.0062305295950155,"32048,48909","1902,48909"
-1.0,-1.0,"35039,45104","35039,45103"
1.0,-0.0599396291504959,"16144,54383","2361,54383"
1.0,-0.1478260869565217,"16146,25247","7041,25247"
1.0,-0.0418060200668896,"12990,32534","3262,12990"
1.0,1.0,"44278,53302","53302,99366"
-1.0,-1.0,"29838,72345","12407,29838"
-1.0,-0.3170731707317073,"48906,53762","27494,48906"
-1.0,-0.7592592592592593,"16152,22398","6392,16152"
-1.0,-1.0,"48904,93869","44618,48904"
-1.0,-0.2065217391304347,"32535,75113","17440,32535"
-1.0,-0.3939393939393939,"16156,57131","16156,23587"
-1.0,-0.1234567901234567,"32536,75114","16197,32536"
-1.0,-0.0431769722814498,"48903,93865","3230,48903"
1.0,0.1351739130434782,"6840,29845","5975,6840"
1.0,-0.196078431372549,"17596,45113","17596,23014"
1.0,-0.16,"16134,60722","33342,60722"
1.0,-0.0176522506619594,"16120,60717","543,60717"
1.0,0.2131147540983606,"25309,32528","25309,42423"
-1.0,-0.0261519302615193,"34700,77381","4158,34700"
1.0,-0.3684210526315789,"21299,52117","20475,21299"
1.0,1.0,"33223,39102","33223,75809"
1.0,0.0155979202772963,"5709,38547","4076,5709"
1.0,0.4324324324324324,"30711,52118","30711,35673"
1.0,1.0,"45626,52119","45626,65705"
1.0,1.0,"16124,21203","21203,59492"
1.0,0.1390050213873907,"943,16128","943,4308"
1.0,0.0723684210526315,"8137,41360","7787,8137"
-1.0,-1.0,"16160,60740","16160,32286"
1.0,1.0,"21657,34699","21657,54986"
1.0,-0.3255813953488372,"42715,46923","28336,46923"
-1.0,-0.1543624161073825,"52127,97803","9229,52127"
1.0,1.0,"16186,40565","17491,40565"
1.0,-0.5625,"16100,16187","16100,26798"
1.0,1.0,"16192,22607","1362,22607"
1.0,0.2016129032258064,"15164,16195","12482,15164"
1.0,-0.6486486486486487,"52128,61185","16827,61185"
1.0,-0.0542828685258964,"167,41356","167,449"
1.0,-0.0502645502645502,"26339,39104","26339,31625"
1.0,0.4782608695652174,"41355,43049","43049,89285"
-1.0,-0.0662251655629139,"29834,72339","16889,29834"
-1.0,-0.0828402366863905,"32544,75124","28329,32544"
1.0,-0.1300813008130081,"4650,32545","4650,4675"
1.0,0.1352313167259786,"2475,32546","2475,53949"
-1.0,-1.0,"41354,64567","33660,41354"
1.0,-0.3255813953488372,"10148,39983","10148,23331"
1.0,-1.0,"29833,41316","11174,41316"
1.0,-0.149171270718232,"36568,47428","5843,47428"
1.0,0.24,"15423,42725","15423,40349"
1.0,1.0,"41358,41359","41359,65288"
1.0,-0.0524271844660194,"17239,48902","7610,17239"
1.0,0.9851351351351352,"42403,52123","3137,42403"
1.0,0.0,"45030,52124","40247,45030"
1.0,-0.0427046263345195,"15154,16165","9225,15154"
1.0,-1.0,"16170,19917","19917,41526"
1.0,-0.5,"32538,39886","39886,42067"
-1.0,-0.0344827586206896,"16171,60749","8107,16171"
1.0,0.1388888888888889,"31663,42724","31663,99001"
-1.0,-0.2755102040816326,"52126,97801","10353,52126"
-1.0,-0.4782608695652174,"45116,89167","44086,45116"
1.0,1.0,"36569,53061","53061,64731"
1.0,-0.0228174603174603,"32540,62126","2041,62126"
1.0,1.0,"6481,10179","10179,21863"
1.0,-1.0,"41363,79585","36683,79585"
-1.0,-0.0072046109510086,"25733,35469","2974,35469"
-1.0,-0.0291828793774319,"36573,79451","7681,36573"
-1.0,-0.3098039215686274,"29864,72373","6580,29864"
1.0,-0.5652173913043478,"44280,83298","40106,83298"
-1.0,-0.2051282051282051,"16073,60677","6333,16073"
1.0,-0.0739130434782608,"48921,72054","6221,72054"
1.0,0.2575757575757575,"15507,37441","15507,44683"
-1.0,-0.0339622641509433,"16078,32439","14395,16078"
1.0,0.032051282051282,"8881,37443","1188,8881"
-1.0,-0.208,"52111,97780","14563,52111"
-1.0,-1.0,"26210,29862","29862,32215"
1.0,-0.5,"39098,82185","44272,82185"
1.0,-1.0,"6299,6503","6299,27728"
-1.0,-0.1526717557251908,"16089,60688","8088,16089"
1.0,-0.0606060606060605,"3070,16060","3070,45460"
-1.0,-0.5,"29868,72375","29868,32751"
-1.0,-1.0,"16044,33525","16044,28370"
1.0,0.5675675675675675,"37440,43719","21586,43719"
-1.0,-0.0182516810758885,"35037,77525","1646,35037"
1.0,0.0478048780487804,"23041,45109","20287,23041"
1.0,0.6764705882352942,"16045,18785","8416,18785"
1.0,-0.0572916666666666,"31273,38550","10158,31273"
1.0,-0.0296010296010296,"17768,38549","805,17768"
-1.0,-0.2777777777777778,"48922,93918","33709,48922"
1.0,-0.081967213114754,"52106,97777","12963,97777"
-1.0,-1.0,"16050,49432","16050,22075"
1.0,1.0,"44283,53292","48514,53292"
1.0,1.0,"26776,52108","26776,69387"
1.0,1.0,"31451,52109","10007,31451"
1.0,0.3846153846153846,"30758,32525","13018,30758"
1.0,1.0,"44279,48516","37305,48516"
1.0,0.2456896551724138,"27374,37442","23488,27374"
1.0,-0.0375,"11568,29854","2242,11568"
