node1,node2,flow,betweenness,degree,class
44998,89045,1.0,1.9915270172373421e-10,2,1
42722,85864,1.0,1.9915270172373421e-10,4,1
44747,88766,1.0,1.9915270172373421e-10,2,1
48908,93873,1.0,1.9915270172373421e-10,2,1
48907,93872,1.0,1.9915270172373421e-10,2,1
44278,53302,1.0,7.966108068949369e-10,4,1
48904,93869,1.0,3.9830540344746843e-10,3,1
16156,57131,1.0,3.31921169539557e-10,7,1
29846,72352,1.0,1.9915270172373421e-10,2,1
41362,84811,1.0,1.9915270172373421e-10,2,1
39101,82189,1.0,1.9915270172373421e-10,2,1
33223,39102,-1.0,3.9830540344746843e-10,3,1
44748,88767,1.0,1.9915270172373421e-10,2,1
32529,75106,1.0,1.9915270172373421e-10,2,1
35038,77751,1.0,1.9915270172373421e-10,2,1
52120,97793,1.0,1.9915270172373421e-10,2,1
16160,60740,1.0,7.966108068949369e-10,4,1
29835,72341,1.0,1.9915270172373421e-10,2,1
16192,22607,1.0,1.0065693772621427e-06,5,1
41355,43049,1.0,7.468226314640031e-10,6,1
38546,81543,1.0,1.9915270172373421e-10,2,1
32544,75124,1.0,1.9915270172373421e-10,4,1
16204,60759,1.0,1.9915270172373421e-10,2,1
29833,41316,1.0,4.598324474542832e-06,6,1
32542,75118,1.0,1.9915270172373421e-10,2,1
41358,41359,1.0,1.6001492495783109e-06,6,1
45030,52124,-1.0,3.9830540344746843e-10,4,1
52125,97800,1.0,1.9915270172373421e-10,2,1
42723,86490,1.0,1.9915270172373421e-10,2,1
45115,89166,1.0,1.9915270172373421e-10,2,1
44746,88765,1.0,1.9915270172373421e-10,2,1
6481,10179,1.0,5.974581051712027e-10,3,1
41363,79585,1.0,3.9830540344746843e-10,3,1
29863,72368,1.0,1.9915270172373421e-10,2,1
32520,75090,1.0,1.9915270172373421e-10,2,1
44280,83298,1.0,5.974581051712027e-10,3,1
15507,37441,-1.0,1.9607402280548795e-07,9,1
32523,75093,1.0,1.9915270172373421e-10,2,1
34701,77382,1.0,1.9915270172373421e-10,2,1
44754,88771,1.0,1.9915270172373421e-10,2,1
32524,75097,1.0,1.9915270172373421e-10,2,1
16089,60688,1.0,1.442022232075617e-06,5,1
3070,16060,-1.0,8.272420564954003e-07,8,1
6512,55314,1.0,1.9915270172373421e-10,2,1
16058,60670,1.0,1.9915270172373421e-10,2,1
37440,43719,1.0,5.974581051712027e-10,4,1
35037,77525,1.0,1.9915270172373421e-10,4,1
31273,38550,-1.0,6.481901275870747e-07,9,1
52106,97777,1.0,1.9915270172373421e-10,4,1
44755,88772,1.0,1.9915270172373421e-10,2,1
45110,89160,1.0,1.9915270172373421e-10,2,1
32517,75088,1.0,1.9915270172373421e-10,2,1
44283,53292,1.0,4.978817543093355e-09,4,1
26776,52108,-1.0,5.974581051712027e-10,3,1
29852,72360,1.0,1.9915270172373421e-10,2,1
39100,82188,1.0,1.9915270172373421e-10,2,1
6483,55304,1.0,1.9915270172373421e-10,2,1
40225,83400,1.0,1.9915270172373421e-10,4,1
48911,65211,1.0,1.7238495517416125e-06,8,1
48919,93898,1.0,1.9915270172373421e-10,2,1
48914,48915,1.0,7.966108068949369e-10,4,1
44752,88769,1.0,3.9830540344746843e-10,3,1
29857,72365,1.0,1.9915270172373421e-10,2,1
48916,93889,1.0,1.9915270172373421e-10,2,1
48915,93888,1.0,5.974581051712027e-10,3,1
45117,89168,1.0,1.9915270172373421e-10,2,1
29832,72337,1.0,1.9915270172373421e-10,2,1
36603,37452,-1.0,3.9830540344746843e-10,3,1
29816,63623,1.0,3.87084123501228e-07,5,1
16295,60808,1.0,5.974581051712027e-10,4,1
44893,48874,-1.0,2.184058434136761e-06,4,1
36554,79426,1.0,1.9915270172373421e-10,2,1
44743,88763,1.0,1.9915270172373421e-10,2,1
16288,53002,1.0,4.445901599714453e-06,6,1
44742,88761,1.0,1.9915270172373421e-10,2,1
48875,93834,1.0,1.9915270172373421e-10,2,1
37455,72065,1.0,5.5301654865703255e-06,5,1
52152,67957,1.0,5.043987875580411e-06,6,1
41347,84786,1.0,1.9915270172373421e-10,2,1
36552,54633,1.0,4.865975608031649e-08,7,1
29809,58166,1.0,1.729207306349804e-06,5,1
52163,97834,1.0,1.9915270172373421e-10,2,1
16342,60832,1.0,1.9915270172373421e-10,2,1
52164,97836,1.0,1.9915270172373421e-10,2,1
32583,75163,1.0,1.9915270172373421e-10,2,1
16347,17620,1.0,3.5216083744523516e-06,7,1
37457,80398,1.0,1.9915270172373421e-10,2,1
48868,93825,1.0,1.9915270172373421e-10,2,1
16313,46899,1.0,3.9830540344746843e-10,3,1
16323,60823,1.0,1.9915270172373421e-10,2,1
52159,97832,1.0,1.9915270172373421e-10,2,1
42732,59025,1.0,3.102413549186607e-08,6,1
52146,97823,1.0,1.9915270172373421e-10,2,1
38543,81536,1.0,1.9915270172373421e-10,2,1
44060,52132,-1.0,3.9830540344746843e-10,5,1
42728,56592,1.0,1.9915270172373421e-10,4,1
44745,88764,1.0,3.9830540344746843e-10,3,1
52135,97811,1.0,1.9915270172373421e-10,2,1
32561,75138,1.0,3.9830540344746843e-10,3,1
18811,32553,-1.0,3.9830540344746843e-10,3,1
26973,29130,1.0,2.655369356316456e-10,7,1
10424,16234,-1.0,3.9830540344746843e-10,6,1
36567,79033,1.0,5.643257180830243e-07,5,1
16216,19556,1.0,2.487879490265445e-06,6,1
16218,55028,1.0,5.60362822422373e-06,6,1
36566,40554,1.0,3.9830540344746843e-10,3,1
48899,93855,1.0,1.9915270172373421e-10,2,1
36565,55032,1.0,1.9915270172373421e-10,6,1
35468,78183,1.0,1.9915270172373421e-10,2,1
42730,86495,1.0,5.974581051712027e-10,3,1
52136,97812,1.0,1.9915270172373421e-10,2,1
28157,52142,-1.0,1.5964953995849074e-06,8,1
32567,75145,1.0,3.9830540344746843e-10,3,1
48885,90892,1.0,4.940498987896671e-06,7,1
52144,97822,1.0,1.9915270172373421e-10,2,1
24010,32571,-1.0,6.10865783251313e-06,4,1
35043,77754,1.0,1.9915270172373421e-10,2,1
48888,93843,1.0,3.9830540344746843e-10,3,1
32562,63008,1.0,3.394552655782989e-06,5,1
36560,79434,1.0,1.9915270172373421e-10,2,1
16257,60787,1.0,1.9915270172373421e-10,2,1
34698,77378,1.0,1.9915270172373421e-10,2,1
29824,72330,1.0,1.9915270172373421e-10,2,1
52139,97815,1.0,1.9915270172373421e-10,2,1
52140,97816,1.0,1.9915270172373421e-10,2,1
52141,97817,1.0,1.9915270172373421e-10,2,1
42716,86475,1.0,1.9915270172373421e-10,2,1
16042,49402,1.0,4.95610836563481e-07,6,1
41390,84844,1.0,1.9915270172373421e-10,2,1
6616,13392,1.0,2.664638678158168e-06,8,1
12839,34711,-1.0,3.9088807884652525e-06,8,1
15881,37632,1.0,8.371779583936487e-07,7,1
52072,97714,1.0,1.9915270172373421e-10,2,1
37757,44761,-1.0,3.9830540344746843e-10,3,1
52071,61169,1.0,1.3940689120661394e-09,4,1
48982,93996,1.0,1.9915270172373421e-10,2,1
52064,97700,1.0,1.9915270172373421e-10,2,1
52066,97701,1.0,1.9915270172373421e-10,2,1
48990,52267,1.0,1.9915270172373421e-10,5,1
39906,48988,-1.0,2.146906676557815e-06,4,1
41391,84845,1.0,1.9915270172373421e-10,2,1
22038,29930,-1.0,3.789170259731255e-07,7,1
25185,67981,1.0,1.9915270172373421e-10,2,1
48980,79164,1.0,4.8564048980166116e-06,6,1
48972,84320,1.0,1.1265759714438667e-08,4,1
48970,80671,1.0,1.9915270172373421e-10,4,1
32471,75044,1.0,1.9915270172373421e-10,2,1
29914,72411,1.0,1.9915270172373421e-10,2,1
16460,32472,-1.0,7.827572539627734e-08,8,1
44760,88774,1.0,1.9915270172373421e-10,2,1
32474,49772,1.0,2.9872905258560133e-10,5,1
36579,43521,1.0,3.9830540344746843e-10,3,1
