flow1,flow2,edge1,edge2
-1.0,-0.4347826086956521,"32048,48909","39988,48909"
-1.0,-1.0,"35039,45104","35039,45102"
-1.0,-0.5652173913043478,"16144,54383","16144,37977"
-1.0,-1.0,"16146,25247","16146,41968"
1.0,1.0,"44278,53302","53302,99366"
-1.0,-1.0,"29838,72345","12407,29838"
-1.0,-0.3170731707317073,"48906,53762","27494,48906"
-1.0,-1.0,"48904,93869","44618,48904"
1.0,-0.1542553191489361,"16156,57131","3927,57131"
1.0,0.2131147540983606,"25309,32528","25309,83923"
1.0,-0.5,"34700,77381","43155,77381"
1.0,1.0,"33223,39102","33223,75809"
1.0,0.4324324324324324,"30711,52118","30711,35673"
1.0,1.0,"45626,52119","45626,65705"
1.0,1.0,"16124,21203","21203,59492"
-1.0,-1.0,"16160,60740","16160,32286"
1.0,1.0,"21657,34699","21657,54986"
1.0,-0.3255813953488372,"42715,46923","28336,46923"
1.0,1.0,"16186,40565","17491,40565"
-1.0,-0.4761904761904761,"16192,22607","16192,46477"
1.0,-0.6486486486486487,"52128,61185","16827,61185"
1.0,0.4782608695652174,"41355,43049","43049,89285"
-1.0,-0.4468085106382978,"29834,72339","21857,29834"
-1.0,-1.0,"41354,64567","33660,41354"
1.0,-0.3255813953488372,"10148,39983","10148,23331"
1.0,-1.0,"29833,41316","11174,41316"
1.0,1.0,"36568,47428","47428,92011"
1.0,1.0,"41358,41359","41359,65288"
1.0,0.0,"45030,52124","40247,45030"
1.0,-1.0,"16170,19917","19917,41526"
1.0,-0.5,"32538,39886","39886,42067"
-1.0,-0.425531914893617,"16171,60749","16171,22211"
-1.0,-0.4782608695652174,"45116,89167","44086,45116"
1.0,1.0,"6481,10179","10179,21863"
1.0,-1.0,"41363,79585","36683,79585"
1.0,1.0,"25733,35469","25733,68448"
1.0,-1.0,"29864,72373","50979,72373"
1.0,-0.5652173913043478,"44280,83298","40106,83298"
-1.0,-0.2051282051282051,"16073,60677","6333,16073"
1.0,-0.0739130434782608,"48921,72054","6221,72054"
1.0,1.0,"16078,32439","32439,75027"
-1.0,-1.0,"26210,29862","29862,32215"
1.0,-0.5,"39098,82185","44272,82185"
1.0,-1.0,"6299,6503","6299,27728"
1.0,-0.0606060606060605,"3070,16060","3070,45460"
-1.0,-0.5,"29868,72375","29868,32751"
-1.0,-1.0,"16044,33525","16044,28370"
1.0,0.5675675675675675,"37440,43719","21586,43719"
1.0,-0.5581395348837209,"16045,18785","16239,18785"
-1.0,-1.0,"48922,93918","48922,53095"
-1.0,-1.0,"16050,49432","16050,22075"
1.0,1.0,"44283,53292","48514,53292"
1.0,1.0,"26776,52108","26776,69387"
1.0,-0.3863636363636363,"31451,52109","28926,31451"
1.0,1.0,"44279,48516","37305,48516"
1.0,0.2456896551724138,"27374,37442","23488,27374"
-1.0,-0.44,"16109,27813","16109,36985"
