node1,node2,flow,degree,class
44998,89045,1.0,2,1
42722,85864,1.0,4,1
32048,48909,-1.0,6,1
35039,45104,1.0,8,1
16144,54383,1.0,4,1
44747,88766,1.0,2,1
48908,93873,1.0,2,1
16146,25247,1.0,7,1
48907,93872,1.0,2,1
44278,53302,1.0,4,1
29838,72345,1.0,3,1
48906,53762,1.0,4,1
48905,93870,1.0,3,1
48904,93869,1.0,3,1
32535,75113,1.0,3,1
16156,57131,1.0,7,1
32536,75114,1.0,4,1
48903,93865,1.0,5,1
29846,72352,1.0,2,1
16134,60722,1.0,4,1
41362,84811,1.0,2,1
16120,60717,1.0,4,1
25309,32528,-1.0,7,1
34700,77381,1.0,4,1
39101,82189,1.0,2,1
33223,39102,-1.0,3,1
5709,38547,-1.0,86,0
30711,52118,-1.0,8,1
45626,52119,-1.0,3,1
44748,88767,1.0,2,1
32529,75106,1.0,2,1
16124,21203,1.0,8,1
35038,77751,1.0,2,1
52120,97793,1.0,2,1
16160,60740,1.0,4,1
21657,34699,-1.0,4,1
42715,46923,1.0,4,1
29835,72341,1.0,2,1
52127,97803,1.0,3,1
16186,40565,1.0,3,1
16192,22607,1.0,5,1
52128,61185,1.0,3,1
26339,39104,-1.0,8,1
41355,43049,1.0,6,1
38546,81543,1.0,2,1
29834,72339,1.0,4,1
32544,75124,1.0,4,1
41354,64567,1.0,4,1
16204,60759,1.0,2,1
10148,39983,-1.0,6,1
29833,41316,1.0,6,1
36568,47428,1.0,4,1
32542,75118,1.0,2,1
41358,41359,1.0,6,1
41359,65288,1.0,6,1
42403,52123,-1.0,4,1
45030,52124,-1.0,4,1
52125,97800,1.0,2,1
16170,19917,1.0,8,1
32538,39886,1.0,6,1
42723,86490,1.0,2,1
16171,60749,1.0,4,1
45115,89166,1.0,2,1
52126,97801,1.0,6,1
45116,89167,1.0,4,1
36569,53061,1.0,6,1
32540,62126,1.0,4,1
44746,88765,1.0,2,1
6481,10179,1.0,3,1
41363,79585,1.0,3,1
25733,35469,-1.0,5,1
29863,72368,1.0,2,1
36573,79451,1.0,3,1
29864,72373,1.0,4,1
32520,75090,1.0,2,1
44280,83298,1.0,3,1
16073,60677,1.0,4,1
48921,72054,1.0,3,1
16078,32439,1.0,8,1
32523,75093,1.0,2,1
52111,97780,1.0,3,1
34701,77382,1.0,2,1
26210,29862,-1.0,4,1
44754,88771,1.0,2,1
39098,82185,1.0,4,1
6299,6503,-1.0,6,1
32524,75097,1.0,2,1
16089,60688,1.0,5,1
3070,16060,-1.0,8,1
6512,55314,1.0,2,1
16058,60670,1.0,2,1
29868,72375,1.0,6,1
16044,33525,1.0,5,1
37440,43719,1.0,4,1
35037,77525,1.0,4,1
16045,18785,1.0,6,1
48922,93918,1.0,7,1
52106,97777,1.0,4,1
16050,49432,1.0,7,1
44755,88772,1.0,2,1
45110,89160,1.0,2,1
32517,75088,1.0,2,1
44283,53292,1.0,4,1
26776,52108,-1.0,3,1
31451,52109,-1.0,4,1
30758,32525,-1.0,6,1
44279,48516,1.0,4,1
27374,37442,-1.0,5,1
16109,27813,1.0,7,1
29852,72360,1.0,2,1
10915,32527,-1.0,7,1
16112,60709,1.0,3,1
41364,84812,1.0,3,1
2940,52113,-1.0,5,1
39100,82188,1.0,2,1
2133,52114,-1.0,45,0
36571,79447,1.0,4,1
6483,55304,1.0,2,1
48912,84824,1.0,7,1
40225,83400,1.0,4,1
48911,65211,1.0,8,1
44749,44750,1.0,5,1
6488,55308,1.0,4,1
48919,93898,1.0,2,1
48914,48915,1.0,4,1
42717,86483,1.0,3,1
44753,88770,1.0,5,1
42719,86484,1.0,4,1
44752,88769,1.0,3,1
29857,72365,1.0,2,1
17785,41369,-1.0,8,1
44751,77190,1.0,3,1
19471,48917,-1.0,4,1
29856,72364,1.0,4,1
7712,45112,-1.0,3,1
41366,84813,1.0,3,1
48916,93889,1.0,2,1
48915,93888,1.0,3,1
45117,89168,1.0,2,1
29832,72337,1.0,2,1
22688,25161,-1.0,5,1
16298,60809,1.0,3,1
11133,16299,-1.0,5,1
16300,25990,1.0,6,1
16300,16301,-1.0,5,1
16302,24112,1.0,5,1
16302,16303,-1.0,5,1
48873,79745,1.0,4,1
36603,37452,-1.0,3,1
16304,25786,1.0,5,1
45120,89174,1.0,6,1
48871,93827,1.0,4,1
16309,28410,1.0,8,1
29816,63623,1.0,5,1
16295,60808,1.0,4,1
27301,32575,-1.0,7,1
44893,48874,-1.0,4,1
16277,60798,1.0,7,1
18126,44744,-1.0,7,1
36554,79426,1.0,2,1
44743,88763,1.0,2,1
16280,60801,1.0,5,1
34697,77377,1.0,4,1
387,48882,-1.0,79,0
32574,75149,1.0,4,1
16285,60802,1.0,5,1
48881,93838,1.0,3,1
16288,53002,1.0,6,1
48880,48911,1.0,6,1
44742,88761,1.0,2,1
16292,22706,1.0,6,1
48876,93836,1.0,3,1
48875,93834,1.0,2,1
37455,72065,1.0,5,1
52152,67957,1.0,6,1
9961,35044,-1.0,6,1
32579,75157,1.0,4,1
48861,88935,1.0,5,1
41347,84786,1.0,2,1
36552,54633,1.0,7,1
45121,72582,1.0,3,1
52162,97833,1.0,4,1
29809,58166,1.0,5,1
52163,97834,1.0,2,1
16342,60832,1.0,2,1
52164,97836,1.0,2,1
30348,52165,-1.0,5,1
48857,93820,1.0,3,1
52166,97837,1.0,4,1
