flow1,flow2,edge1,edge2
-1.0,-0.3478260869565217,"5986,6024","4061,6024"
-1.0,-0.6,"12090,20079","8983,12090"
1.0,-0.4077669902912621,"12269,15192","2000,15192"
1.0,-0.5,"12190,24598","13965,24598"
1.0,0.5862068965517241,"7764,9275","7764,14380"
-1.0,-0.6470588235294118,"6782,18316","5955,6782"
1.0,-1.0,"6774,13702","7891,13702"
1.0,-0.4848484848484848,"6345,17885","7969,17885"
-1.0,-0.2531645569620253,"11098,17272","1676,11098"
-1.0,-0.2857142857142857,"3844,5698","5698,5924"
1.0,0.4240506329113924,"2460,10090","1128,2460"
1.0,-0.5238095238095238,"11604,23867","11603,23867"
-1.0,-0.25,"11578,15338","6660,11578"
1.0,-0.1621621621621621,"5181,12286","3450,12286"
-1.0,-0.48,"10464,22010","10064,10464"
1.0,-0.1965811965811965,"7444,14153","2607,14153"
-1.0,-0.2272727272727272,"8658,13242","3780,8658"
-1.0,-0.3461538461538461,"7268,8901","3850,7268"
-1.0,-0.4186046511627907,"8804,13553","5338,8804"
-1.0,-0.0723981900452488,"3013,13351","2443,13351"
-1.0,-0.2439024390243902,"7217,12427","7217,7321"
-1.0,-0.2291666666666666,"11839,13372","10216,13372"
1.0,0.3333333333333333,"7920,13885","5646,7920"
-1.0,-0.44,"8226,12015","8226,9505"
1.0,-0.2272727272727272,"6159,8061","3403,6159"
1.0,-0.3513513513513513,"9005,20740","5594,20740"
1.0,-0.3578947368421052,"8877,15725","1999,15725"
0.819672131147541,-0.271047227926078,"4921,12199","672,4921"
-0.8129496402877698,-0.3264631538012832,"898,2205","898,1514"
-0.8016528925619835,-0.1016949152542373,"1096,1342","1096,1160"
0.7916666666666666,-0.423728813559322,"3383,15398","5287,15398"
-0.7446808510638299,-0.1517509727626459,"7477,12502","1449,12502"
0.7384615384615385,-0.7384615384615385,"5466,8285","5466,8285"
-0.7209302325581395,0.2790697674418604,"4191,4701","4100,4191"
0.7,0.1505551234000424,"1285,3035","1285,2150"
-0.6551724137931034,0.6551724137931034,"7109,13068","7109,13068"
-0.6470588235294117,0.6470588235294117,"5941,13889","5941,13889"
