flow1,flow2,edge1,edge2
1.0,-0.6056338028169015,"4046,9688","2402,4046"
1.0,0.2272727272727272,"5492,12390","5492,25662"
1.0,0.0792682926829267,"1136,12392","605,1136"
1.0,-0.0492866407263294,"12395,15392","1072,15392"
-1.0,-0.3620689655172414,"2643,14955","2643,6373"
1.0,1.0,"6880,9687","6880,18415"
-1.0,-1.0,"6093,17676","6093,6544"
1.0,-0.0075140889167188,"9685,17259","372,17259"
1.0,-0.6052631578947368,"6095,17459","5870,17459"
-1.0,-0.1886792452830188,"2642,14954","2642,10048"
1.0,-0.3561643835616438,"12398,16818","4777,16818"
1.0,1.0,"8859,9683","8859,12883"
1.0,1.0,"9680,10508","10508,12673"
1.0,-0.0,"7573,12399","7573,12954"
1.0,0.17,"4229,9679","4229,19410"
1.0,-1.0,"9678,19740","8118,19740"
-1.0,-0.0819423368740516,"12389,24841","190,12389"
1.0,1.0,"9689,9690","9690,21551"
-1.0,-0.7441860465116279,"12374,24830","4044,12374"
1.0,-0.0463510848126232,"12376,14957","187,14957"
-1.0,-1.0,"12378,24833","11415,12378"
1.0,-0.7372881355932204,"3768,6072","3768,11953"
1.0,-0.0175746924428822,"12379,13982","298,13982"
1.0,0.0392405063291139,"249,12381","249,16001"
-1.0,-0.1648351648351648,"6080,17661","687,6080"
1.0,-1.0,"9698,21560","10854,21560"
1.0,-1.0,"6082,17664","9441,17664"
1.0,-0.5217391304347826,"2655,7062","7062,10987"
-1.0,-1.0,"12382,24834","10338,12382"
1.0,1.0,"12383,13754","13754,26601"
-1.0,-0.0747330960854092,"12386,24836","2273,12386"
1.0,1.0,"6086,6412","6412,17941"
-1.0,-0.2972972972972973,"9367,9691","9602,9691"
-1.0,-0.5135135135135135,"12402,24856","6951,12402"
1.0,0.28125,"3700,12371","800,3700"
-1.0,-0.0586854460093896,"9665,21529","1385,9665"
1.0,0.0251123789764868,"3419,12420","1065,3419"
-1.0,-1.0,"2616,14929","2616,11511"
-1.0,-1.0,"2615,14928","2615,5991"
1.0,-0.5180722891566265,"2611,14927","2935,14927"
1.0,0.3709677419354839,"3288,9663","3288,17408"
-1.0,-1.0,"6131,17711","6131,7993"
-1.0,-0.0578512396694214,"12424,24873","137,12424"
1.0,1.0,"12425,13798","13798,26657"
-1.0,-0.1574074074074074,"12426,24874","2900,12426"
