node1,node2,flow,AFRC,class
5492,12390,-1.0,-1,1
1136,12392,-1.0,-2,1
9680,10508,1.0,-1,1
4229,9679,-1.0,-10,1
3768,6072,-1.0,-5,1
249,12381,-1.0,-18,1
9367,9691,-1.0,-1,1
3700,12371,-1.0,-4,1
3419,12420,-1.0,-17,1
2616,14929,1.0,-1,1
9188,9662,-1.0,-3,1
8471,12434,-1.0,-1,1
4307,9657,-1.0,-4,1
2619,4007,1.0,-2,1
6168,9674,-1.0,-1,1
12407,17886,1.0,-1,1
6110,16863,1.0,-1,1
432,12411,-1.0,-7,1
12413,18225,1.0,3,0
6124,7086,1.0,-11,1
12372,12437,1.0,-3,1
713,1680,-1.0,-2,1
5986,6024,-1.0,3,0
2090,12327,-1.0,-11,1
7692,9740,-1.0,-1,1
3239,9739,-1.0,-6,1
232,6032,-1.0,-53,1
6034,15959,1.0,-1,1
3159,6036,-1.0,-5,1
8743,12309,-1.0,-2,1
6010,17009,1.0,3,0
4425,9758,-1.0,-2,1
623,12318,-1.0,-1,1
1291,9732,-1.0,-6,1
2248,6056,-1.0,-5,1
9716,9870,1.0,-2,1
6396,9710,-1.0,-1,1
9708,11063,1.0,-2,1
9529,12363,-1.0,-2,1
1332,12365,-1.0,-6,1
3109,9705,-1.0,-9,1
2670,14972,1.0,-1,1
9730,12497,1.0,-6,1
7446,9727,-1.0,-3,1
438,12341,-1.0,-10,1
1065,9724,-1.0,-69,1
12441,24888,1.0,-1,1
12530,20395,1.0,3,0
12531,22545,1.0,-1,1
4860,9582,-1.0,-1,1
6616,9580,-1.0,-5,1
8629,12535,-1.0,-7,1
11392,12538,-1.0,-1,1
1368,12539,-1.0,-7,1
9792,12542,-1.0,-4,1
1542,12512,-1.0,-1,1
2499,4300,1.0,-8,1
3757,9592,-1.0,-8,1
3757,9591,-1.0,-8,1
2493,4591,1.0,-8,1
3739,12517,-1.0,-6,1
1434,12520,-1.0,-8,1
4530,6229,-1.0,-3,1
4945,12525,-1.0,-13,1
912,6231,-1.0,-4,1
9549,9736,1.0,-1,1
921,6280,-1.0,-143,1
2424,11003,1.0,5,0
6289,10739,1.0,-2,1
7056,12567,-1.0,-1,1
3261,6300,-1.0,-4,1
220,6275,-1.0,-1,1
9182,12551,-1.0,-4,1
751,12553,-1.0,-6,1
9558,21032,1.0,-2,1
6218,6219,-1.0,-1,1
10376,12465,-1.0,-2,1
1104,6176,-1.0,-12,1
6178,14261,1.0,-4,1
12480,24933,1.0,3,0
860,9638,-1.0,-3,1
6164,8734,1.0,-2,1
454,6217,-1.0,-7,1
2016,9649,-1.0,-11,1
12444,24892,1.0,-1,1
845,12449,-1.0,-25,1
7242,9648,-1.0,-1,1
6151,14212,1.0,-3,1
12459,24912,1.0,-1,1
1502,12461,-1.0,-1,1
6161,12151,1.0,-1,1
10111,12484,-1.0,-4,1
4879,12485,-1.0,-4,1
9611,13243,1.0,-3,1
506,9598,-1.0,-2,1
9253,12506,-1.0,-1,1
1478,12508,-1.0,-7,1
12509,15225,1.0,3,0
2542,9445,1.0,-2,1
9631,19484,1.0,-2,1
9316,9622,-1.0,-1,1
4948,6194,-1.0,-3,1
9238,12494,-1.0,-5,1
3014,8853,1.0,-1,1
649,3011,-1.0,-18,1
5617,12136,-1.0,-5,1
12142,14387,1.0,-4,1
592,12144,-1.0,-10,1
9932,13116,1.0,-1,1
4785,9927,-1.0,-9,1
5810,17399,1.0,-1,1
3027,12119,-1.0,-7,1
3663,12122,-1.0,-3,1
11565,12123,-1.0,-2,1
916,9955,-1.0,-7,1
9954,18260,1.0,4,0
851,12173,-1.0,-16,1
577,2955,-1.0,-10,1
9893,11242,1.0,-1,1
5837,17433,1.0,-1,1
6103,9922,-1.0,-7,1
777,2982,-1.0,-18,1
9909,14132,1.0,-1,1
5835,13793,1.0,-3,1
5797,6440,1.0,-7,1
3102,15233,1.0,-1,1
3099,3100,-1.0,-6,1
1777,9988,-1.0,-17,1
12079,24466,1.0,-1,1
12063,22390,1.0,-1,1
1600,10005,-1.0,-5,1
5741,17332,1.0,-1,1
4985,10002,-1.0,-2,1
8532,12052,-1.0,-3,1
1524,12056,-1.0,-9,1
6644,12060,-1.0,-3,1
12080,24467,1.0,-1,1
4064,12098,-1.0,-8,1
8184,9965,-1.0,-1,1
3058,15212,1.0,-5,1
1186,12102,-1.0,-10,1
12112,13230,1.0,-3,1
2625,12114,-1.0,-6,1
3050,3585,1.0,-10,1
648,3067,-1.0,-37,1
682,5770,-1.0,-19,1
6129,9974,-1.0,-1,1
5775,14387,1.0,-5,1
9973,16798,1.0,3,0
11654,12089,-1.0,-1,1
