flow1,flow2,edge1,edge2
1.0,0.2272727272727272,"5492,12390","5492,25662"
-1.0,-0.3620689655172414,"2643,14955","2643,6373"
1.0,1.0,"6880,9687","6880,18415"
-1.0,-1.0,"6093,17676","6093,6544"
1.0,-0.0,"7573,12399","7573,12954"
1.0,-1.0,"9678,19740","8118,19740"
1.0,1.0,"9689,9690","9690,21551"
-1.0,-0.7441860465116279,"12374,24830","4044,12374"
-1.0,-1.0,"12378,24833","11415,12378"
1.0,1.0,"12379,13982","13982,16430"
-1.0,-0.1648351648351648,"6080,17661","687,6080"
1.0,-1.0,"9698,21560","10854,21560"
1.0,-1.0,"6082,17664","9441,17664"
1.0,1.0,"12383,13754","13754,26601"
1.0,1.0,"6086,6412","6412,17941"
-1.0,-0.5135135135135135,"12402,24856","6951,12402"
-1.0,-1.0,"2615,14928","2615,5991"
1.0,1.0,"12425,13798","13798,26657"
-1.0,-0.1574074074074074,"12426,24874","2900,12426"
-1.0,-1.0,"12430,24877","12430,13801"
-1.0,-0.5416666666666666,"9661,21523","9661,10084"
1.0,0.35,"6114,9814","3241,9814"
-1.0,-0.2195121951219512,"12412,24865","3445,12412"
1.0,-0.5833333333333334,"9669,21434","9593,21434"
1.0,-1.0,"6120,17699","11292,17699"
1.0,-0.12,"12414,23381","3293,23381"
1.0,-0.4693877551020408,"12324,17447","5143,17447"
-1.0,-1.0,"12329,24769","12329,12627"
1.0,0.5666666666666667,"7692,9740","7692,19304"
1.0,-1.0,"2707,15008","9240,15008"
1.0,-1.0,"12331,24775","12903,24775"
1.0,-0.2289156626506024,"9745,18536","3071,18536"
1.0,1.0,"12307,13709","13709,26547"
-1.0,-0.3181818181818182,"6012,17590","6012,9059"
1.0,1.0,"9759,10621","10621,22697"
1.0,-1.0,"9756,21637","13860,21637"
-1.0,-0.5384615384615384,"9754,21635","6247,9754"
1.0,1.0,"2724,11561","11561,23821"
-1.0,-1.0,"12322,24762","11226,12322"
-1.0,-1.0,"9748,21626","8754,9748"
-1.0,-0.4545454545454545,"12337,24788","11179,12337"
1.0,-1.0,"12352,23503","11304,23503"
1.0,-1.0,"12356,13241","13241,13731"
1.0,-0.7884615384615384,"2692,13800","3124,13800"
-1.0,-0.5625,"12209,12346","7563,12346"
1.0,1.0,"6051,13215","13215,25883"
1.0,-1.0,"12349,19950","8290,19950"
-1.0,-0.3225806451612903,"6244,17801","6244,6251"
1.0,-1.0,"12516,24976","13388,24976"
1.0,1.0,"10849,12519","10849,23003"
1.0,-0.1075268817204301,"12522,24979","1366,24979"
-1.0,-1.0,"12526,24986","12147,12526"
1.0,0.48,"9549,9736","9736,22675"
-1.0,-1.0,"9569,21415","9569,13836"
1.0,-1.0,"2436,14838","11835,14838"
1.0,-0.5096153846153846,"6169,14780","2343,14780"
1.0,-1.0,"9641,16279","4568,16279"
1.0,1.0,"6177,6926","6926,8186"
1.0,-0.25,"12480,24933","8956,24933"
1.0,-0.3164556962025316,"12482,16869","2986,16869"
1.0,0.2962962962962963,"1502,12461","1502,15873"
-1.0,-0.6111111111111112,"6161,12151","4029,6161"
1.0,-1.0,"9608,16942","10513,16942"
1.0,1.0,"12490,13238","13238,25917"
1.0,-1.0,"6007,17580","10596,17580"
-1.0,-0.7432432432432432,"12141,24537","2229,12141"
1.0,-0.3448275862068966,"9928,18143","3357,18143"
1.0,-1.0,"12121,24503","13533,24503"
1.0,-1.0,"9951,21869","12767,21869"
1.0,1.0,"3017,9905","9905,21828"
-1.0,-1.0,"12178,24587","11820,12178"
1.0,-0.4545454545454546,"9893,11242","8190,11242"
-1.0,-1.0,"12155,24553","9477,12155"
-1.0,-1.0,"12163,24572","12163,13492"
-1.0,-1.0,"5750,17346","1980,5750"
1.0,1.0,"5752,10155","10155,22122"
-1.0,-1.0,"12073,24455","9387,12073"
1.0,1.0,"8900,9993","8900,11872"
1.0,1.0,"9281,12051","9281,20790"
1.0,-0.675,"12059,16514","4843,16514"
1.0,1.0,"9982,14080","14080,27004"
1.0,0.6153846153846154,"8184,9965","8184,19814"
1.0,1.0,"9964,11831","11831,24175"
-1.0,-0.5217391304347826,"12105,24492","10645,12105"
-1.0,-0.2894736842105263,"9962,21881","4839,9962"
1.0,1.0,"9067,12110","9067,20810"
1.0,0.7142857142857143,"5418,9967","5418,17018"
1.0,-1.0,"12083,18728","7192,18728"
-1.0,-0.3484848484848485,"12085,24477","4700,12085"
-1.0,-1.0,"9976,21899","9976,13168"
1.0,-1.0,"5774,17362","6762,17362"
1.0,-0.3928571428571428,"6129,9974","6129,7828"
-1.0,-0.6,"12090,20079","8983,12090"
-1.0,-1.0,"3074,6395","3074,10372"
-1.0,-0.5,"12264,24683","12264,13622"
1.0,1.0,"2796,12852","3511,12852"
1.0,-0.4077669902912621,"12269,15192","2000,15192"
1.0,-0.1584158415841584,"12270,19859","3145,19859"
1.0,0.3188405797101449,"2787,4703","4703,17663"
1.0,0.53125,"7730,9828","7730,19343"
-1.0,-1.0,"9821,21718","3590,9821"
-1.0,-1.0,"12254,24671","11534,12254"
-1.0,-0.3170731707317073,"12274,24693","8088,12274"
1.0,1.0,"9782,10525","10525,16276"
1.0,-0.2318840579710145,"12291,20124","4891,20124"
1.0,0.0,"3399,6001","3399,8379"
1.0,-1.0,"9805,21692","10278,21692"
-1.0,-1.0,"12279,16980","12279,12280"
1.0,-1.0,"9798,16492","4814,16492"
1.0,-0.3012048192771084,"9789,17010","2626,17010"
-1.0,-1.0,"2899,13652","2899,11374"
1.0,0.5405405405405406,"5882,6725","5705,6725"
1.0,0.4,"7614,12206","7614,23560"
1.0,-0.3125,"9860,21785","5975,21785"
1.0,-1.0,"12213,16444","4760,16444"
1.0,-0.5,"12190,24598","13965,24598"
1.0,1.0,"9884,12633","12633,25122"
1.0,1.0,"9877,11434","11434,23678"
1.0,1.0,"9279,9874","9279,21021"
-1.0,-0.5238095238095238,"12198,24603","12198,12547"
1.0,1.0,"5717,9872","5717,17310"
1.0,1.0,"5918,12650","12650,25143"
1.0,1.0,"9834,14093","14093,27013"
-1.0,-1.0,"12224,24634","11885,12224"
-1.0,-0.589041095890411,"12216,24626","2934,12216"
1.0,1.0,"1960,5893","1960,14594"
1.0,-0.2100840336134453,"12226,17011","3885,17011"
-1.0,-1.0,"9248,17240","8917,9248"
1.0,-0.25,"9239,16004","1156,16004"
1.0,1.0,"9139,9229","9139,20901"
1.0,-1.0,"6710,18229","10535,18229"
1.0,-0.0,"3687,12876","3687,8966"
-1.0,-0.4761904761904761,"9258,21008","9258,11783"
-1.0,-0.5,"9255,21006","5382,9255"
1.0,1.0,"6705,13191","13191,25846"
1.0,1.0,"7183,9196","7183,9194"
-1.0,-1.0,"12934,25513","8986,12934"
1.0,0.3428571428571428,"11211,12828","11211,23429"
1.0,-0.3714285714285714,"9308,21063","10400,21063"
-1.0,-0.2075471698113207,"9052,9302","6104,9302"
1.0,1.0,"9323,11558","8116,11558"
-1.0,-1.0,"12813,25358","6583,12813"
-1.0,-1.0,"9317,21075","7521,9317"
1.0,-0.0,"8173,12816","8173,13967"
-1.0,-0.6071428571428571,"6634,18166","6634,8028"
1.0,0.6029411764705882,"3056,12839","3056,15209"
1.0,1.0,"9298,11393","11393,23606"
1.0,1.0,"6697,8262","8262,19920"
1.0,1.0,"10022,12854","10022,21958"
-1.0,-1.0,"12851,17809","10634,12851"
1.0,0.0,"3973,9287","3973,13250"
1.0,1.0,"4621,12940","4621,16328"
1.0,-0.0,"1754,10311","7590,10311"
-1.0,-0.2115384615384615,"9110,20873","4204,9110"
1.0,-0.5652173913043478,"9105,20868","10356,20868"
-1.0,-1.0,"13029,25634","9171,13029"
-1.0,-1.0,"13003,25607","3211,13003"
1.0,-1.0,"13013,25618","14004,25618"
1.0,1.0,"6845,11656","11656,23946"
1.0,1.0,"6856,8268","8268,19930"
1.0,-1.0,"13049,20725","8996,20725"
1.0,1.0,"9081,10214","10214,22194"
1.0,1.0,"1690,11559","11559,23817"
1.0,0.375,"9071,11087","11087,23296"
1.0,0.5416666666666666,"6858,10466","10466,22522"
-1.0,-1.0,"13034,25641","12043,13034"
1.0,0.2156862745098039,"3553,9091","3203,3553"
1.0,-0.3666666666666667,"7092,13036","7092,14108"
1.0,1.0,"10540,13039","10540,22606"
-1.0,-0.5714285714285714,"6871,18402","4691,6871"
-1.0,-1.0,"12965,25548","8015,12965"
-1.0,-0.6470588235294118,"6782,18316","5955,6782"
-1.0,-0.2678571428571428,"9119,20882","3073,9119"
-1.0,-1.0,"12957,25538","7260,12957"
1.0,1.0,"3232,9136","3232,15307"
1.0,-1.0,"9129,20891","11396,20891"
-1.0,-1.0,"12978,25561","11692,12978"
1.0,1.0,"6804,6805","6805,8007"
-1.0,-1.0,"12982,25569","12982,13063"
-1.0,-0.5652173913043478,"12808,25353","10375,12808"
1.0,0.6296296296296297,"2435,9465","2435,14837"
-1.0,-1.0,"9456,21288","7147,9456"
1.0,-0.3793103448275862,"12641,23853","7296,23853"
1.0,1.0,"9474,13235","13235,25911"
1.0,-1.0,"6418,17950","6947,17950"
1.0,1.0,"4599,9436","4599,16310"
1.0,1.0,"2259,10833","10833,22978"
1.0,0.2340425531914893,"12681,14070","3575,14070"
1.0,-1.0,"12686,25199","13102,25199"
-1.0,-1.0,"12687,25200","10517,12687"
1.0,-1.0,"6432,17971","11263,17971"
-1.0,-0.4848484848484848,"9442,21269","7674,9442"
-1.0,-1.0,"9439,21267","9439,12791"
1.0,0.0,"9514,10409","8205,10409"
1.0,-0.4848484848484848,"6345,17885","7969,17885"
1.0,-0.52,"12594,21956","10019,21956"
1.0,0.3823529411764705,"6315,9517","4381,6315"
1.0,-0.0,"8424,12598","8424,12555"
1.0,-0.7741935483870968,"9486,14938","2627,14938"
-1.0,-0.6153846153846154,"7556,12623","8677,12623"
1.0,1.0,"9483,11973","11973,24323"
1.0,1.0,"10129,12628","10129,22084"
1.0,-0.4583333333333333,"12601,19941","10070,19941"
-1.0,-1.0,"12766,23752","8777,12766"
-1.0,-1.0,"6559,18089","6559,8715"
1.0,1.0,"6567,13062","13062,24651"
1.0,1.0,"2220,9332","2220,14721"
-1.0,-0.3333333333333333,"12801,25340","3807,12801"
1.0,-0.0,"4683,12786","2595,4683"
1.0,1.0,"2088,13223","13223,25900"
-1.0,-1.0,"12748,25277","12748,13729"
-1.0,-1.0,"12703,25225","11487,12703"
1.0,1.0,"9421,11015","11015,23215"
-1.0,-1.0,"12696,25209","12696,14030"
1.0,1.0,"11527,12741","11527,23780"
1.0,0.4482758620689655,"8697,12744","8697,22591"
1.0,0.5,"7534,12731","7534,19105"
1.0,-1.0,"12730,25267","13964,25267"
-1.0,-0.4761904761904761,"12723,25253","11742,12723"
1.0,-0.575,"9394,17438","5845,17438"
-1.0,-1.0,"12048,24433","8191,12048"
-1.0,-0.42,"10652,22737","4522,10652"
1.0,-1.0,"10675,22771","10754,22771"
1.0,-0.144578313253012,"1643,11370","1643,8531"
1.0,0.375,"4066,6642","6642,22859"
-1.0,-1.0,"10625,22702","10625,11682"
-1.0,-1.0,"11402,23620","8954,11402"
1.0,0.4482758620689655,"8698,11404","8698,22592"
1.0,1.0,"3740,10689","3740,15647"
1.0,-0.425,"11364,19625","5849,19625"
1.0,1.0,"4144,7174","7174,18717"
-1.0,-1.0,"4829,16501","4829,10606"
-1.0,-0.52,"11298,23499","9751,11298"
1.0,1.0,"10744,13913","13913,26810"
1.0,-0.0,"11301,13792","13792,13968"
-1.0,-1.0,"11325,23522","3665,11325"
-1.0,-1.0,"11327,23525","11327,13647"
-1.0,-0.4761904761904761,"11350,23550","11350,12498"
-1.0,-1.0,"11358,23561","8090,11358"
1.0,1.0,"4088,8533","8533,20200"
1.0,1.0,"4889,8559","8559,20221"
-1.0,-1.0,"10701,22809","6957,10701"
1.0,1.0,"7245,11330","7245,18782"
1.0,1.0,"8819,11346","8819,20523"
1.0,1.0,"11224,11341","8441,11224"
-1.0,-0.1466666666666666,"4105,15903","2729,4105"
1.0,1.0,"10537,13319","13319,26024"
-1.0,-1.0,"10561,22629","5679,10561"
-1.0,-1.0,"10556,10558","8717,10558"
-1.0,-1.0,"10557,11528","8143,10557"
1.0,-0.4545454545454545,"5115,16746","10693,16746"
1.0,1.0,"5428,10529","5428,17030"
-1.0,-1.0,"11517,23768","4567,11517"
1.0,-0.7027027027027027,"11521,16809","5184,16809"
-1.0,-1.0,"10565,22632","5135,10565"
1.0,-1.0,"11440,18625","7072,18625"
1.0,1.0,"11447,13336","13336,26045"
-1.0,-1.0,"10584,22653","3576,10584"
-1.0,-0.56,"11452,23710","9666,11452"
1.0,-1.0,"11095,22348","10321,22348"
-1.0,-1.0,"4394,16138","4394,10115"
-1.0,-0.8387096774193549,"10930,23110","2382,10930"
-1.0,-1.0,"11150,23371","11150,14077"
1.0,1.0,"11126,13566","13566,26369"
1.0,1.0,"10761,11111","10761,22884"
-1.0,-0.4545454545454545,"4372,16122","4372,10703"
1.0,-1.0,"10901,19789","8166,19789"
1.0,0.5806451612903226,"7627,10992","7627,19199"
-1.0,-1.0,"11019,23217","11019,11795"
1.0,-0.0,"4513,13802","9211,13802"
1.0,0.4166666666666667,"4426,9492","9492,26530"
1.0,-1.0,"4551,14176","14063,14176"
-1.0,-1.0,"10791,13111","10791,11797"
1.0,-1.0,"10758,22882","13588,22882"
1.0,0.0,"9873,10757","4548,9873"
1.0,-1.0,"4804,14344","8099,14344"
-1.0,-1.0,"11282,13090","10277,11282"
1.0,1.0,"7156,11285","7156,18700"
1.0,-1.0,"11260,22396","10366,22396"
1.0,0.3260869565217391,"4799,8679","8679,21076"
1.0,-0.325,"11176,21879","4832,21879"
-1.0,-1.0,"10847,22999","10847,13177"
-1.0,-0.35,"10880,23041","5130,10880"
1.0,0.0,"10826,13154","8295,13154"
1.0,-1.0,"10824,19746","8121,19746"
-1.0,-1.0,"4273,16031","4273,13508"
-1.0,-1.0,"7454,11217","11217,13401"
1.0,1.0,"4262,13944","13944,26845"
-1.0,-1.0,"12047,24429","12044,12047"
1.0,1.0,"5562,13169","13169,25817"
1.0,-1.0,"11879,19617","7984,19617"
1.0,-1.0,"3381,15393","5533,15393"
-1.0,-1.0,"11858,24211","7829,11858"
1.0,-1.0,"5553,17143","11571,17143"
1.0,1.0,"10135,11907","10135,18564"
1.0,1.0,"3351,7316","7316,18873"
-1.0,-0.3513513513513513,"5582,13397","5581,5582"
1.0,0.6190476190476191,"5118,10223","5118,16753"
-1.0,-1.0,"10221,22211","3150,10221"
-1.0,-0.7901234567901234,"3408,15414","1903,3408"
1.0,-0.5,"11848,24197","12863,24197"
1.0,-0.1102941176470588,"11851,20822","1282,20822"
-1.0,-1.0,"11828,24172","11828,13146"
-1.0,-1.0,"10123,22079","10123,13381"
-1.0,-0.6875,"3141,7839","3141,5969"
1.0,0.2666666666666666,"3880,12030","3880,20304"
-1.0,-0.5357142857142857,"12017,24395","8968,12017"
1.0,-0.3235294117647059,"12022,24404","5786,24404"
1.0,-0.2674418604651162,"10107,17391","3096,17391"
1.0,0.0,"3269,5734","5734,8342"
-1.0,-0.1923076923076923,"5677,17271","5677,5854"
-1.0,-1.0,"11924,24276","7971,11924"
-1.0,-1.0,"11928,24279","11928,13271"
1.0,-0.0,"6292,10121","6292,10065"
1.0,1.0,"3225,7981","7981,19613"
-1.0,-1.0,"10063,22008","9031,10063"
-1.0,-1.0,"5676,17270","5676,10318"
-1.0,-1.0,"11974,24324","11974,11975"
1.0,-0.5454545454545454,"5233,16857","11167,16857"
1.0,1.0,"5237,8732","8732,20421"
-1.0,-0.5862068965517241,"11631,23907","8033,11631"
1.0,0.2452830188679245,"4851,10413","4851,21965"
1.0,0.5,"8448,11626","3234,8448"
-1.0,-1.0,"10410,22460","10410,13918"
-1.0,-0.625,"11668,23957","5268,11668"
1.0,-0.4107142857142857,"3677,15599","3934,15599"
1.0,0.0,"10122,11655","10122,12055"
-1.0,-1.0,"10406,22455","8263,10406"
1.0,-1.0,"11644,19837","8195,19837"
1.0,1.0,"10402,13893","13893,26778"
1.0,-0.5483870967741935,"11570,19731","8106,19731"
-1.0,-0.4862385321100917,"5140,14968","2194,5140"
-1.0,-1.0,"10451,22510","10450,10451"
1.0,-0.5238095238095238,"11604,23867","11603,23867"
1.0,-0.52,"10464,22010","10064,22010"
1.0,1.0,"8062,10380","8062,19678"
-1.0,-1.0,"11757,24089","11757,13795"
-1.0,-0.3658536585365853,"10270,22274","9273,10270"
1.0,-1.0,"10304,22318","11694,22318"
1.0,-0.0,"10300,10685","10186,10685"
1.0,1.0,"3549,10326","5422,10326"
1.0,-1.0,"5420,11791","5420,8512"
-1.0,-0.3023255813953488,"11772,24100","4357,11772"
1.0,-1.0,"5441,17044","7513,17044"
1.0,-0.0,"10328,10590","10590,13542"
1.0,-1.0,"11720,24038","13894,24038"
-1.0,-0.7659574468085106,"11722,24040","3563,11722"
1.0,1.0,"11705,13849","13849,26719"
-1.0,-0.1529411764705882,"10336,17454","4428,10336"
1.0,0.6792452830188679,"3611,8267","3611,15549"
1.0,1.0,"6902,8692","6902,18449"
1.0,0.0,"13451,13686","13224,13686"
1.0,-1.0,"13454,26213","13489,26213"
1.0,0.0,"5642,13989","5642,7781"
-1.0,-1.0,"8167,19792","8167,8469"
1.0,1.0,"8338,13480","8338,20005"
1.0,1.0,"8421,13981","8421,20093"
1.0,-0.4782608695652174,"7302,18858","10755,18858"
-1.0,-1.0,"7303,18859","7303,8745"
-1.0,-1.0,"13445,26201","13445,13844"
1.0,-0.59375,"10738,13992","6921,10738"
1.0,0.2807017543859649,"5454,8670","5454,19819"
1.0,1.0,"6974,7412","3470,6974"
-1.0,-0.5,"7438,19002","7438,11397"
1.0,-0.0,"5783,13557","5783,10977"
1.0,0.3611111111111111,"5785,7440","5235,5785"
-1.0,-0.3655913978494624,"8602,17007","3882,8602"
1.0,1.0,"7566,7893","7566,19135"
1.0,0.2272727272727273,"8658,13242","3780,13242"
1.0,0.3611111111111111,"5724,7384","5724,21806"
-1.0,-0.4482758620689655,"7393,18954","7393,8321"
-1.0,-1.0,"13519,18294","13518,13519"
-1.0,-0.5357142857142857,"13311,26008","8916,13311"
1.0,1.0,"8790,8821","7067,8790"
1.0,0.0666666666666666,"1070,13279","1070,19207"
-1.0,-1.0,"8094,19719","7510,8094"
-1.0,-0.2043010752688172,"13299,25989","2640,13299"
-1.0,-0.4285714285714285,"8850,20551","6221,8850"
1.0,0.1358024691358024,"2565,7205","2565,24927"
-1.0,-1.0,"13387,26121","13387,13390"
1.0,0.2941176470588235,"5446,7276","5446,25345"
1.0,-0.6153846153846154,"7266,18811","8628,18811"
-1.0,-0.7866666666666666,"7935,19567","2066,7935"
-1.0,-0.6065573770491803,"13407,26146","3495,13407"
1.0,0.5,"8759,12442","12442,24890"
1.0,0.1578947368421052,"1859,8791","1859,20879"
-1.0,-0.3777777777777777,"8806,20504","4749,8806"
-1.0,-0.4186046511627907,"8804,13553","5338,8804"
-1.0,-0.2439024390243902,"7217,12427","7217,7321"
1.0,-0.5,"13764,24661","12247,24661"
-1.0,-1.0,"13757,26611","13757,13776"
-1.0,-0.1162790697674418,"13903,26798","1887,13903"
-1.0,-0.5925925925925926,"8384,20060","8181,8384"
1.0,1.0,"13724,13738","13738,26580"
-1.0,-0.675,"13908,26803","4935,13908"
-1.0,-0.5277777777777778,"13749,26594","7111,13749"
1.0,-1.0,"13830,20585","8879,20585"
1.0,0.5555555555555556,"458,3917","3917,5362"
-1.0,-0.6825396825396826,"7791,19401","2873,7791"
1.0,1.0,"8083,13851","8083,19701"
-1.0,-0.2115384615384615,"7731,19345","7731,8052"
1.0,-0.5694444444444444,"13880,15244","3123,15244"
-1.0,-0.0619047619047619,"7753,19362","452,7753"
1.0,0.3191489361702128,"6167,13814","6167,20994"
1.0,0.2558139534883721,"7481,8317","7481,24560"
-1.0,-1.0,"7512,19082","7512,8964"
-1.0,-0.4583333333333333,"13643,19394","6117,13643"
1.0,-0.5652173913043478,"8509,20175","9895,20175"
1.0,0.0,"6099,13584","6099,6473"
1.0,-0.5238095238095238,"8579,20247","12266,20247"
1.0,1.0,"13613,13614","13613,26412"
-1.0,-0.4571428571428571,"13159,13954","4055,13954"
1.0,1.0,"7469,8442","8442,20105"
1.0,-0.44,"13609,25207","9693,25207"
1.0,0.5217391304347826,"10702,13948","10702,22810"
1.0,1.0,"1519,13602","1519,14430"
-1.0,-0.5454545454545454,"13699,26527","11501,13699"
1.0,-0.4642857142857143,"7611,19176","8747,19176"
1.0,-0.5238095238095238,"7848,19471","12443,19471"
-1.0,-0.3823529411764705,"7599,19163","6243,7599"
-1.0,-0.6333333333333333,"13925,26823","7210,13925"
1.0,-0.2698412698412698,"13692,19718","7241,19718"
1.0,0.0980392156862745,"4139,13713","4139,26558"
1.0,0.2244897959183673,"4857,13662","4857,24307"
1.0,1.0,"8952,13658","8952,20676"
1.0,-0.4583333333333333,"13657,24216","9986,24216"
-1.0,-0.7428571428571429,"13672,26498","2388,13672"
-1.0,-0.5434782608695652,"14055,26980","5255,14055"
-1.0,-0.2553191489361702,"8045,19669","5756,8045"
-1.0,-0.7857142857142857,"9037,20784","2833,9037"
-1.0,-0.6515151515151515,"8947,20668","2941,8947"
-1.0,-0.4,"13153,25795","4834,13153"
1.0,-0.3513513513513513,"9005,20740","5594,20740"
-1.0,-0.3636363636363636,"6960,18511","6286,6960"
1.0,0.0,"5833,6888","5833,9630"
-1.0,-0.4285714285714285,"8931,20654","6421,8931"
1.0,0.5,"6996,12780","12780,25317"
1.0,-0.3578947368421052,"8877,15725","1999,15725"
-0.9328859060402684,0.0671140939597315,"683,14198","683,26698"
-0.8974358974358975,0.1025641025641025,"1000,14258","1000,23396"
-0.896,0.104,"904,14242","904,21774"
-0.8956521739130435,0.8956521739130435,"1018,11800","1018,11800"
-0.8876404494382022,0.8876404494382022,"1427,1711","1427,1711"
-0.8809523809523809,0.8809523809523809,"3012,13507","3012,13507"
-0.875,0.125,"1476,14416","1476,24411"
0.8571428571428572,0.3082706766917293,"1586,9460","1586,15231"
0.8507462686567164,-0.8507462686567164,"2130,6837","2130,6837"
-0.8461538461538461,0.1538461538461538,"2226,14724","2226,25454"
-0.8382352941176471,0.1617647058823529,"2165,14688","2165,24616"
-0.8313856427378965,0.1686143572621035,"110,14120","110,14271"
-0.8305084745762712,0.1694915254237288,"2527,14893","2527,25786"
0.8214285714285714,-0.8214285714285714,"3898,13732","3898,13732"
0.8178913738019169,-0.1821086261980831,"267,2544","267,949"
-0.8173076923076923,0.8173076923076923,"1319,2993","1319,2993"
-0.8166666666666667,0.1833333333333333,"2569,14906","2569,25051"
-0.8142857142857143,0.1857142857142857,"2173,14696","2173,22501"
-0.8113207547169812,0.1886792452830188,"2945,15129","2945,26649"
-0.8112244897959183,0.1377551020408163,"567,14175","567,16596"
-0.8035714285714286,0.1964285714285714,"2755,15039","2755,24396"
-0.7916666666666666,0.2083333333333333,"3374,15389","3374,20265"
-0.7894736842105263,0.2105263157894736,"2785,15054","2785,23643"
-0.7884615384615384,0.2115384615384615,"3081,15227","3081,24280"
-0.782608695652174,0.217391304347826,"3554,15509","3554,25441"
-0.7777777777777778,0.2222222222222222,"2208,14715","2208,20250"
-0.7777777777777778,0.2222222222222222,"1659,14495","1659,18221"
0.7708333333333334,-0.7708333333333334,"3995,5577","3995,5577"
-0.7619047619047619,0.238095238095238,"4147,15933","4147,26582"
-0.7608695652173914,0.2391304347826087,"3767,15666","3767,25116"
-0.7555555555555555,0.2444444444444444,"3821,15699","3821,24320"
-0.7536231884057971,0.2463768115942029,"2372,14799","2372,19457"
-0.75,0.25,"4008,15828","4008,9589"
-0.75,0.25,"3264,15324","3264,21951"
-0.75,0.25,"4365,16115","4365,25764"
0.7457627118644068,0.559322033898305,"3945,6668","3945,15778"
0.7454545454545455,0.7454545454545455,"3115,5979","3115,15240"
-0.7441860465116279,0.2558139534883721,"4124,15917","4124,24614"
0.7435897435897436,0.7435897435897436,"4510,11432","4510,16231"
-0.7435897435897436,0.2564102564102564,"4603,16312","4603,26883"
-0.7377049180327869,0.2622950819672131,"2779,4654","2779,20285"
-0.7358490566037735,0.2641509433962264,"3322,15367","3322,21487"
-0.7333333333333333,0.2666666666666666,"3971,15794","3971,23206"
-0.7333333333333333,0.2666666666666666,"3897,15749","3897,22627"
-0.7307692307692307,0.2692307692307692,"3393,15403","3393,21179"
-0.7297297297297297,0.2702702702702703,"4864,16529","4864,26040"
-0.7297297297297297,0.2702702702702703,"4914,16582","4914,26473"
-0.7297297297297297,0.2702702702702703,"4841,16510","4841,25841"
-0.7291666666666666,0.2708333333333333,"3725,15637","3725,22195"
0.7272727272727273,0.3818181818181818,"6224,13423","6224,17790"
-0.7272727272727273,0.2727272727272727,"4068,15875","4068,22917"
-0.726027397260274,0.273972602739726,"2341,14779","2341,18301"
-0.7236842105263158,0.131578947368421,"2265,14747","2265,9451"
-0.723404255319149,0.2765957446808511,"3839,15711","3839,22150"
-0.7222222222222222,0.2777777777777778,"5144,16779","5144,26557"
0.7205882352941176,0.7205882352941176,"2518,13928","2518,14885"
-0.7195121951219512,0.2804878048780488,"2074,14646","2074,17405"
-0.7142857142857143,0.2857142857142857,"5296,16911","5296,25985"
-0.7142857142857143,0.2857142857142857,"5239,16860","5239,25535"
-0.7142857142857143,0.2857142857142857,"5303,16921","5303,26066"
-0.7142857142857143,0.2857142857142857,"4450,16183","4450,23736"
-0.7142857142857143,0.2857142857142857,"4363,16114","4363,22940"
-0.7142857142857143,0.2857142857142857,"3733,15644","3733,21246"
0.7115384615384616,0.3269230769230769,"6672,10429","6672,19433"
-0.7111111111111111,0.2888888888888888,"4081,15883","4081,21943"
0.7111111111111111,0.7111111111111111,"4070,7090","4070,15876"
0.7105263157894737,-0.0,"4960,8876","1989,8876"
-0.7090909090909091,-0.7090909090909091,"3263,15323","3263,13870"
-0.7058823529411765,0.2941176470588235,"5530,17125","5530,25931"
-0.7049180327868853,-0.7049180327868853,"2940,15127","2940,8100"
-0.7027027027027027,0.2972972972972973,"5069,16691","5069,24340"
0.7022900763358779,-0.7022900763358779,"1169,1635","1169,1635"
0.7,0.7,"2969,8162","2969,15151"
-0.7,0.3,"4736,16429","4736,23471"
-0.6981132075471698,0.3018867924528302,"3460,15448","3460,19869"
0.6976744186046512,0.6976744186046512,"3046,4389","4389,16133"
-0.696969696969697,0.303030303030303,"5789,17374","5789,26093"
0.6956521739130435,0.4202898550724637,"4470,6539","4470,16197"
-0.6944444444444444,0.3055555555555556,"2507,14875","2507,17765"
