node1,node2,flow,betweenness,degree,class
6288,17838,1.0,2.7362840818889926e-09,2,1
12388,24839,1.0,2.7362840818889926e-09,2,1
5492,12390,-1.0,1.094513632755597e-08,5,1
12391,24844,1.0,2.7362840818889926e-09,2,1
6088,17673,1.0,2.7362840818889926e-09,2,1
6089,17674,1.0,2.7362840818889926e-09,2,1
12393,24847,1.0,2.7362840818889926e-09,2,1
12394,24848,1.0,2.7362840818889926e-09,2,1
2643,14955,1.0,1.094513632755597e-08,3,1
6880,9687,-1.0,5.472568163777985e-09,3,1
6093,17676,1.0,5.472568163777985e-09,3,1
9685,17259,1.0,1.0489768719788254e-06,6,1
2638,14950,1.0,2.7362840818889926e-09,2,1
7573,12399,-1.0,5.472568163777985e-09,4,1
9678,19740,1.0,5.472568163777985e-09,3,1
9689,9690,1.0,1.6417704491333955e-08,3,1
6102,17684,1.0,2.7362840818889926e-09,2,1
9690,21551,1.0,2.7362840818889927e-08,4,1
12374,24830,1.0,8.208852245666977e-09,3,1
12375,24832,1.0,2.7362840818889926e-09,2,1
12378,24833,1.0,5.472568163777985e-09,3,1
12379,13982,1.0,2.0243810825538538e-07,6,1
9700,21567,1.0,2.7362840818889926e-09,2,1
9699,21564,1.0,2.7362840818889926e-09,2,1
6080,17661,1.0,1.094513632755597e-08,3,1
9698,21560,1.0,5.472568163777985e-09,3,1
6082,17664,1.0,5.472568163777985e-09,3,1
9697,21559,1.0,2.7362840818889926e-09,2,1
2654,14963,1.0,2.7362840818889926e-09,2,1
12383,13754,1.0,5.472568163777985e-09,3,1
9695,21554,1.0,2.7362840818889926e-09,2,1
12385,24835,1.0,2.7362840818889926e-09,2,1
6086,6412,1.0,1.094513632755597e-08,4,1
12401,24855,1.0,2.7362840818889926e-09,2,1
12402,24856,1.0,8.208852245666977e-09,3,1
12419,24871,1.0,2.7362840818889926e-09,2,1
2615,14928,1.0,5.472568163777985e-09,3,1
6128,17706,1.0,2.7362840818889926e-09,2,1
6132,17712,1.0,2.7362840818889926e-09,2,1
12425,13798,1.0,5.472568163777985e-09,3,1
