node1,node2,flow,degree,class
6288,17838,1.0,2,1
12388,24839,1.0,2,1
5492,12390,-1.0,5,1
12391,24844,1.0,2,1
6088,17673,1.0,2,1
6089,17674,1.0,2,1
12393,24847,1.0,2,1
12394,24848,1.0,2,1
12395,15392,1.0,3,1
2643,14955,1.0,3,1
6880,9687,-1.0,3,1
6093,17676,1.0,3,1
6095,17459,1.0,3,1
2642,14954,1.0,4,1
12398,16818,1.0,4,1
8859,9683,-1.0,4,1
2638,14950,1.0,2,1
9680,10508,1.0,5,1
7573,12399,-1.0,4,1
2642,12400,-1.0,4,1
9678,19740,1.0,3,1
12389,24841,1.0,3,1
9689,9690,1.0,3,1
6102,17684,1.0,2,1
9690,21551,1.0,4,1
12374,24830,1.0,3,1
12375,24832,1.0,2,1
12376,14957,1.0,3,1
12378,24833,1.0,3,1
9700,21567,1.0,2,1
9699,21564,1.0,2,1
6080,17661,1.0,3,1
9698,21560,1.0,3,1
6082,17664,1.0,3,1
9697,21559,1.0,2,1
2655,7062,1.0,5,1
2654,14963,1.0,2,1
12382,24834,1.0,3,1
12383,13754,1.0,3,1
10338,12384,-1.0,4,1
9695,21554,1.0,2,1
12385,24835,1.0,2,1
12386,24836,1.0,3,1
6086,6412,1.0,4,1
9367,9691,-1.0,5,1
12401,24855,1.0,2,1
12402,24856,1.0,3,1
9665,21529,1.0,3,1
12419,24871,1.0,2,1
2616,14929,1.0,5,1
2615,14928,1.0,3,1
6128,17706,1.0,2,1
2611,14927,1.0,4,1
3288,9663,-1.0,4,1
6131,17711,1.0,3,1
6132,17712,1.0,2,1
12424,24873,1.0,4,1
12425,13798,1.0,3,1
12426,24874,1.0,3,1
6134,17713,1.0,2,1
12430,24877,1.0,4,1
12431,24878,1.0,2,1
12432,24879,1.0,2,1
8471,12434,-1.0,5,1
9661,21523,1.0,3,1
12436,24884,1.0,2,1
2597,7119,1.0,4,1
6289,9656,-1.0,3,1
12418,22387,1.0,4,1
12417,24869,1.0,2,1
12404,24857,1.0,2,1
6168,9674,-1.0,5,1
12406,24858,1.0,2,1
12407,17886,1.0,5,1
9673,21535,1.0,2,1
12408,24859,1.0,2,1
11038,12409,-1.0,4,1
12410,24860,1.0,2,1
6108,17691,1.0,2,1
6110,16863,1.0,5,1
6114,9814,1.0,4,1
12412,24865,1.0,3,1
9669,21434,1.0,3,1
6118,17697,1.0,3,1
2624,14936,1.0,2,1
12413,18225,1.0,4,1
6119,17698,1.0,2,1
6120,17699,1.0,3,1
12414,23381,1.0,3,1
12415,24867,1.0,2,1
12416,24868,1.0,3,1
12369,24822,1.0,2,1
12324,17447,1.0,3,1
9743,21620,1.0,3,1
9742,16714,1.0,3,1
9741,21619,1.0,2,1
12329,24769,1.0,3,1
7692,9740,-1.0,5,1
2707,15008,1.0,3,1
6027,17607,1.0,3,1
6028,17608,1.0,2,1
9737,21615,1.0,2,1
12331,24775,1.0,3,1
12332,24776,1.0,2,1
6029,13025,1.0,3,1
12334,24780,1.0,3,1
12335,24782,1.0,2,1
232,6032,-1.0,57,0
6034,15959,1.0,5,1
9734,21612,1.0,2,1
6039,17618,1.0,2,1
9878,12323,-1.0,4,1
6041,17622,1.0,2,1
9745,18536,1.0,3,1
12307,13709,1.0,3,1
9765,21644,1.0,4,1
5976,9763,-1.0,4,1
12310,24744,1.0,2,1
6010,17009,1.0,4,1
6011,17589,1.0,3,1
6012,17590,1.0,3,1
9759,10621,1.0,3,1
6015,10103,1.0,4,1
9757,21638,1.0,3,1
12314,24753,1.0,2,1
9756,21637,1.0,3,1
9754,21635,1.0,3,1
623,12318,-1.0,5,1
2724,11561,1.0,3,1
12322,24762,1.0,3,1
9749,21630,1.0,2,1
9748,21626,1.0,3,1
9747,17285,1.0,3,1
6022,17601,1.0,2,1
12337,24788,1.0,3,1
12367,24821,1.0,2,1
12352,23503,1.0,3,1
6054,14946,1.0,4,1
6055,17634,1.0,3,1
6057,17635,1.0,2,1
12356,13241,1.0,4,1
12358,13801,1.0,3,1
9713,21587,1.0,3,1
12359,24815,1.0,3,1
12360,24816,1.0,2,1
9712,21586,1.0,3,1
6677,12361,-1.0,4,1
2676,14977,1.0,2,1
6396,9710,-1.0,5,1
12362,24818,1.0,2,1
6063,17650,1.0,3,1
9706,21573,1.0,2,1
2670,14972,1.0,5,1
2685,14988,1.0,2,1
12351,24810,1.0,2,1
9731,13019,1.0,4,1
9721,21597,1.0,2,1
2700,15001,1.0,2,1
12338,24789,1.0,4,1
9728,21609,1.0,2,1
12339,24790,1.0,2,1
12340,24794,1.0,2,1
9726,21604,1.0,2,1
2695,14996,1.0,3,1
9725,21603,1.0,2,1
12342,24799,1.0,4,1
12343,24800,1.0,3,1
1065,9724,-1.0,76,0
2693,14993,1.0,2,1
2692,13800,1.0,4,1
12209,12346,-1.0,4,1
6051,13215,1.0,3,1
12348,24806,1.0,2,1
12349,19950,1.0,3,1
12350,24807,1.0,2,1
9723,21600,1.0,2,1
9722,21599,1.0,3,1
9654,21513,1.0,2,1
6141,17718,1.0,2,1
12441,24888,1.0,5,1
6236,17798,1.0,3,1
2476,14861,1.0,2,1
12530,20395,1.0,4,1
6239,17799,1.0,3,1
6241,17800,1.0,2,1
