flow1,flow2,edge1,edge2
-1.0,-0.3928571428571428,"18050,20586","13069,18050"
1.0,-0.0894568690095846,"4227,23466","1654,23466"
-1.0,-0.2181818181818181,"5217,18172","8394,18172"
-1.0,-1.0,"12205,18341","8924,18341"
1.0,-0.3142857142857143,"17179,34749","9760,34749"
-1.0,-1.0,"11714,24069","10627,11714"
1.0,-0.2894736842105263,"16918,34449","15986,34449"
1.0,1.0,"4730,5605","5605,13872"
1.0,-0.7380952380952381,"17719,25308","7347,25308"
-1.0,-0.1929824561403508,"17710,35385","16451,17710"
-1.0,-0.2023809523809523,"17677,24191","2287,17677"
-1.0,-0.2626262626262626,"17370,21983","9089,17370"
-1.0,-0.4651162790697674,"11505,28792","11504,11505"
1.0,0.4444444444444444,"14178,17489","14175,14178"
-1.0,-0.5,"19532,20932","13508,19532"
1.0,-0.84375,"19541,23381","4052,23381"
-1.0,-0.6956521739130435,"14863,19662","4608,19662"
1.0,0.7796610169491526,"19426,21042","11009,21042"
-1.0,-0.2745098039215686,"19975,38110","2815,19975"
-1.0,-1.0,"19910,27880","14448,19910"
1.0,-0.4755700325732899,"10973,22475","976,22475"
-1.0,-0.4444444444444444,"19287,19288","14610,19288"
-1.0,-0.4545454545454545,"16403,19049","17644,19049"
-1.0,-0.2765957446808511,"17680,19080","16429,19080"
-1.0,-0.3,"14305,16417","6409,14305"
1.0,-0.1549295774647887,"7424,25370","3619,25370"
-1.0,-0.1846153846153846,"14747,23469","10454,14747"
1.0,-0.1864406779661017,"12693,27887","5193,27887"
-1.0,-0.625,"14928,17355","11700,14928"
-1.0,-0.238095238095238,"11107,14821","11568,14821"
-1.0,-0.7401129943502824,"14845,24978","1327,14845"
1.0,0.2941176470588235,"13102,15462","1937,15462"
-1.0,-1.0,"13254,30511","13253,13254"
-1.0,-1.0,"13297,30558","13297,20870"
-1.0,-0.5227272727272727,"5951,6517","6517,10200"
1.0,-0.7435897435897436,"6505,24764","8120,24764"
-1.0,-0.2247557003257329,"5461,13987","729,13987"
1.0,-0.375,"13037,21534","14807,21534"
-1.0,-0.4313725490196078,"10456,13757","10790,13757"
1.0,-0.3333333333333333,"5235,23992","7588,23992"
-1.0,-0.6857142857142857,"10364,16321","9740,16321"
1.0,1.0,"5273,21826","21826,27144"
1.0,1.0,"4872,21094","21094,33029"
-1.0,-0.2025316455696202,"5477,15553","6960,15553"
-1.0,-1.0,"5751,15958","5751,20379"
-1.0,-0.7560975609756098,"15271,32606","7573,15271"
-1.0,-0.3829787234042553,"15364,24348","6318,15364"
1.0,-0.26,"13993,21054","11036,13993"
1.0,-0.3428571428571428,"21096,36802","10366,36802"
1.0,0.6666666666666666,"8928,21152","8928,26545"
1.0,-0.5681818181818181,"9178,20562","9178,13617"
1.0,-0.2488425925925925,"9965,11245","11245,13645"
-1.0,-0.2553191489361702,"20723,26747","9188,20723"
-1.0,-0.3939393939393939,"21921,31253","9026,21921"
-1.0,-0.59375,"22203,33955","12013,22203"
-1.0,-0.2861538461538461,"9582,17072","1669,9582"
-1.0,-0.1363636363636363,"21546,23398","4081,21546"
1.0,-0.0873015873015873,"9481,27014","1771,27014"
1.0,-0.0752435884902401,"3145,21760","1109,3145"
-1.0,-0.5666666666666667,"20219,35121","13367,20219"
-1.0,-0.1798561151079136,"20230,24716","5893,20230"
-1.0,-0.3272727272727272,"20117,38251","8709,20117"
-0.9059233449477352,-0.3636363636363636,"524,18838","1792,18838"
-0.8869565217391304,-0.2682926829268293,"3847,21279","12441,21279"
0.826530612244898,-0.45,"2552,22813","10528,22813"
-0.8108108108108107,0.8108108108108107,"3622,21484","3622,21484"
0.8,-0.05,"5582,5639","4352,5582"
-0.7878787878787878,-0.5454545454545454,"5505,13119","13119,18828"
-0.7727272727272727,0.7727272727272727,"9668,14931","9668,14931"
0.7666666666666667,0.5,"3058,10374","10374,16545"
0.7560975609756098,-0.7560975609756098,"10978,21502","10978,21502"
-0.7555555555555555,0.7555555555555555,"9495,10343","9495,10343"
-0.7547169811320755,-0.2692307692307692,"11829,14368","10836,14368"
-0.75,-0.0526315789473684,"13725,15305","3218,15305"
0.75,-0.44,"7786,19557","15961,19557"
0.7272727272727273,-0.1447368421052631,"3919,8172","4744,8172"
0.7222222222222222,-0.7222222222222222,"6598,8931","6598,8931"
0.7175484098406064,0.0607077393846666,"497,686","290,686"
0.7142857142857143,-0.0903614457831325,"14044,20140","4537,14044"
-0.7142857142857143,-0.5416666666666666,"5448,18231","8826,18231"
-0.7105263157894737,-0.6078431372549019,"4628,8753","7530,8753"
-0.7058823529411765,-0.2587412587412587,"7711,9916","2564,9916"
