node1,node2,flow,AFRC,class
17973,19331,1.0,2,0
8968,17987,-1.0,-8,1
17981,35693,1.0,2,0
17980,35692,1.0,2,0
17971,35681,1.0,2,0
3750,17988,-1.0,-12,1
18008,35719,1.0,2,0
18005,35711,1.0,2,0
4075,23397,1.0,2,0
5614,18000,-1.0,-7,1
17998,35707,1.0,2,0
17996,35704,1.0,2,0
17994,35703,1.0,2,0
17919,35611,1.0,2,0
4274,17918,-1.0,-5,1
6999,17916,-1.0,-8,1
17915,35603,1.0,2,0
11296,28580,1.0,2,0
8051,15441,1.0,-5,1
11271,28556,1.0,2,0
17934,33759,1.0,2,0
17950,35651,1.0,2,0
2541,17949,-1.0,-29,1
17947,35647,1.0,2,0
7716,17945,-1.0,-12,1
5806,17944,-1.0,-11,1
11695,17943,-1.0,-7,1
11264,28548,1.0,2,0
4915,17936,-1.0,2,0
7393,18081,-1.0,-5,1
4031,7232,1.0,-8,1
1800,18085,-1.0,-25,1
18083,23305,1.0,3,0
18089,35789,1.0,2,0
8564,18076,-1.0,-13,1
1300,18074,-1.0,-13,1
18073,35773,1.0,2,0
18088,35788,1.0,2,0
18090,35790,1.0,2,0
18108,35809,1.0,2,0
5322,18107,-1.0,-31,1
11214,28514,1.0,2,0
4016,8116,1.0,-6,1
18102,35805,1.0,2,0
11219,28520,1.0,2,0
839,18094,-1.0,-20,1
4500,18093,-1.0,-8,1
18064,35763,1.0,2,0
18038,28683,1.0,-7,1
4063,23388,1.0,2,0
18032,35736,1.0,2,0
11246,28541,1.0,2,0
18017,35723,1.0,2,0
4062,10549,1.0,-7,1
18062,35762,1.0,2,0
5620,8071,-1.0,-21,1
18060,35760,1.0,2,0
4255,18054,-1.0,-14,1
2146,11236,-1.0,-9,1
18052,35755,1.0,2,0
841,11238,-1.0,-63,1
18050,20586,1.0,3,0
17913,35602,1.0,2,0
11213,28512,1.0,2,0
10473,11341,-1.0,-9,1
4234,23472,1.0,2,0
17780,19762,1.0,3,0
2967,4239,-1.0,-6,1
17776,22232,1.0,2,0
17800,35468,1.0,2,0
11352,17803,-1.0,-8,1
17802,35469,1.0,2,0
4227,23466,1.0,4,0
11350,28626,1.0,2,0
249,4262,-1.0,-44,1
1703,17752,-1.0,-9,1
9396,17745,-1.0,-13,1
17741,35412,1.0,2,0
17737,35410,1.0,2,0
8521,17753,-1.0,-10,1
17755,35428,1.0,2,0
2663,17768,-1.0,-9,1
5385,11358,-1.0,-7,1
1744,17765,-1.0,-41,1
17761,35435,1.0,2,0
17760,35432,1.0,3,0
1674,4218,-1.0,-8,1
11329,28612,1.0,2,0
13867,17880,-1.0,-5,1
17875,31270,1.0,2,0
1278,17872,-1.0,-21,1
2188,17870,-1.0,-17,1
2326,11317,-1.0,-15,1
17863,35542,1.0,2,0
17813,35489,1.0,2,0
17899,35584,1.0,2,0
3770,8038,-1.0,-5,1
11302,12553,1.0,4,0
4501,17905,-1.0,-6,1
2076,17897,-1.0,-14,1
17896,35577,1.0,2,0
7227,17891,-1.0,-14,1
4627,17888,-1.0,-7,1
17862,35541,1.0,2,0
17828,35506,1.0,2,0
4275,17834,-1.0,-12,1
2294,17831,-1.0,-22,1
1468,17823,-1.0,-25,1
17817,18598,1.0,-13,1
1815,17843,-1.0,-5,1
13087,17859,-1.0,-8,1
17856,35531,1.0,2,0
8043,17847,-1.0,-12,1
17845,34729,1.0,3,0
17844,19636,1.0,3,0
832,17728,-1.0,-28,1
1912,11094,-1.0,-6,1
18406,36179,1.0,2,0
18404,23007,1.0,-7,1
18407,36183,1.0,2,0
18397,36167,1.0,2,0
3400,18393,-1.0,-17,1
11086,12431,1.0,2,0
18357,36122,1.0,2,0
18365,36129,1.0,2,0
2169,18364,-1.0,-31,1
18351,36119,1.0,2,0
8147,25923,1.0,2,0
18366,36133,1.0,2,0
18367,36134,1.0,2,0
18369,36135,1.0,2,0
18371,36141,1.0,2,0
11101,28431,1.0,2,0
8159,25935,1.0,2,0
18377,36147,1.0,2,0
11104,18112,1.0,-5,1
6457,11105,-1.0,-21,1
18375,23431,1.0,2,0
18372,36142,1.0,2,0
7227,18427,-1.0,-14,1
17162,18493,-1.0,-8,1
18505,36293,1.0,2,0
18501,36290,1.0,2,0
18488,36284,1.0,2,0
354,3737,-1.0,-25,1
18486,36279,1.0,2,0
7237,11060,-1.0,-6,1
8183,25956,1.0,2,0
18481,36274,1.0,2,0
18428,36211,1.0,2,0
11043,15614,1.0,-5,1
18540,36330,1.0,2,0
3704,3859,1.0,2,0
18519,36310,1.0,2,0
18517,22998,1.0,3,0
6366,18480,-1.0,-7,1
18475,36268,1.0,2,0
18444,36232,1.0,2,0
3061,18451,-1.0,-14,1
13930,18450,-1.0,-5,1
3768,5145,1.0,3,0
18442,36227,1.0,2,0
4957,18441,-1.0,-15,1
11314,18430,-1.0,-7,1
11065,28398,1.0,2,0
18469,36266,1.0,2,0
18468,36262,1.0,2,0
18465,25346,1.0,4,0
7257,18463,-1.0,-9,1
3758,23235,1.0,2,0
7656,18462,-1.0,-6,1
8177,25953,1.0,2,0
18344,36108,1.0,2,0
11187,18190,-1.0,-5,1
4240,18203,-1.0,-14,1
3856,18201,-1.0,-23,1
3038,18197,-1.0,-34,1
18191,18200,1.0,-10,1
18188,35908,1.0,2,0
18213,35934,1.0,2,0
18185,35904,1.0,2,0
2758,3956,-1.0,-23,1
3128,18181,-1.0,-6,1
17254,18207,-1.0,4,0
18215,35937,1.0,2,0
2474,18248,-1.0,-14,1
18229,35953,1.0,2,0
775,18244,-1.0,-20,1
9701,18243,-1.0,-5,1
5612,18241,-1.0,-10,1
18233,35955,1.0,2,0
18230,35954,1.0,2,0
18227,35952,1.0,2,0
18226,35951,1.0,2,0
18224,35950,1.0,3,0
4845,11162,-1.0,-9,1
18219,35942,1.0,2,0
18218,35941,1.0,2,0
2917,18217,-1.0,-5,1
876,18176,-1.0,-67,1
12365,18128,-1.0,-5,1
18132,35841,1.0,2,0
8086,25876,1.0,2,0
5217,18172,-1.0,7,0
3046,18124,-1.0,-11,1
18117,35826,1.0,2,0
18139,35847,1.0,2,0
18143,35850,1.0,2,0
18163,35879,1.0,3,0
18161,35872,1.0,2,0
18085,18154,-1.0,2,0
18149,35856,1.0,2,0
2031,18147,-1.0,-7,1
11315,18249,-1.0,-11,1
12205,18341,-1.0,3,0
3228,3871,-1.0,-5,1
1781,18312,-1.0,-21,1
3873,23298,1.0,2,0
3874,23299,1.0,2,0
6128,11132,-1.0,-9,1
15250,18304,-1.0,2,0
18303,36049,1.0,2,0
9392,18320,-1.0,-6,1
11122,28452,1.0,2,0
6121,11119,-1.0,-10,1
8988,18338,-1.0,-5,1
18336,36095,1.0,2,0
18332,36090,1.0,2,0
11121,28450,1.0,2,0
18329,36086,1.0,2,0
18328,36085,1.0,2,0
18323,36082,1.0,2,0
3182,18302,-1.0,-75,1
4720,18301,-1.0,-5,1
3602,18260,-1.0,-9,1
11144,28470,1.0,2,0
18269,35997,1.0,2,0
18267,35995,1.0,2,0
18258,35985,1.0,2,0
18257,35983,1.0,3,0
11153,28472,1.0,2,0
18297,36041,1.0,2,0
248,18295,-1.0,-47,1
3884,6078,1.0,-14,1
18293,36038,1.0,2,0
3888,23307,1.0,2,0
18290,26523,1.0,3,0
6062,18282,-1.0,-11,1
18281,36011,1.0,2,0
11140,11584,1.0,-6,1
2267,18279,-1.0,-41,1
17726,35397,1.0,2,0
11617,28891,1.0,2,0
4276,17180,-1.0,-9,1
17179,34749,1.0,3,0
17178,34748,1.0,2,0
17174,34742,1.0,2,0
17182,34755,1.0,2,0
17150,21340,1.0,-6,1
9232,17181,-1.0,-7,1
8539,17183,-1.0,-13,1
17201,34774,1.0,2,0
17199,34772,1.0,2,0
4639,23671,1.0,2,0
7118,17197,-1.0,-8,1
17194,34763,1.0,2,0
17192,34762,1.0,2,0
11613,28887,1.0,2,0
7236,7883,-1.0,-6,1
11481,17149,-1.0,-7,1
7878,25728,1.0,2,0
17117,34699,1.0,2,0
17116,34698,1.0,2,0
11649,28908,1.0,2,0
705,17110,-1.0,-167,1
17108,34688,1.0,2,0
7877,25727,1.0,2,0
10153,17104,-1.0,-15,1
2900,11647,-1.0,2,0
17141,34713,1.0,2,0
17140,34709,1.0,2,0
1278,17136,-1.0,-27,1
12900,17129,-1.0,-7,1
4981,17125,-1.0,-14,1
4681,18495,1.0,-6,1
17211,34782,1.0,2,0
17208,17212,-1.0,-6,1
11314,17095,-1.0,-7,1
11547,28832,1.0,2,0
3505,17278,-1.0,-6,1
17267,34849,1.0,2,0
17262,34843,1.0,2,0
11558,28841,1.0,2,0
3519,17258,-1.0,-9,1
8838,17300,-1.0,4,0
752,4547,-1.0,-14,1
17305,23938,1.0,2,0
7127,11543,-1.0,-5,1
1118,11544,-1.0,-13,1
14013,17299,-1.0,-8,1
17290,34879,1.0,2,0
17257,33512,1.0,2,0
17221,34794,1.0,2,0
11583,28863,1.0,2,0
11589,28870,1.0,2,0
3671,17222,-1.0,-8,1
2611,17220,-1.0,-23,1
460,11590,-1.0,-60,1
17217,32856,1.0,2,0
17231,34805,1.0,2,0
11565,28849,1.0,2,0
4588,5815,1.0,3,0
2648,4590,-1.0,-11,1
2018,16958,-1.0,-56,1
16956,34501,1.0,2,0
16950,34489,1.0,2,0
7846,25695,1.0,2,0
16948,19190,1.0,2,0
16943,34475,1.0,2,0
7844,25694,1.0,2,0
6281,16941,-1.0,-17,1
7843,25692,1.0,2,0
7489,16936,-1.0,-9,1
12127,16930,-1.0,-5,1
9770,16962,-1.0,-9,1
16982,24311,1.0,3,0
4783,23748,1.0,2,0
5246,16976,-1.0,-31,1
11714,24069,1.0,2,0
16966,34508,1.0,2,0
1989,11732,-1.0,-15,1
3289,16926,-1.0,-11,1
16895,34421,1.0,2,0
11759,29011,1.0,2,0
1812,4851,-1.0,-33,1
4831,7428,1.0,-7,1
3429,16898,-1.0,-11,1
16907,34433,1.0,2,0
16924,17289,1.0,-7,1
16923,34451,1.0,2,0
16920,34450,1.0,2,0
16918,34449,1.0,3,0
16917,34448,1.0,2,0
4818,23763,1.0,2,0
16908,34434,1.0,2,0
17053,28973,1.0,2,0
8285,11676,-1.0,-6,1
11687,28951,1.0,2,0
3293,17065,-1.0,-29,1
17049,18378,1.0,2,0
17047,34622,1.0,2,0
7863,25716,1.0,2,0
2842,17078,-1.0,-21,1
17087,34650,1.0,2,0
17081,34645,1.0,2,0
7869,25722,1.0,2,0
17080,34641,1.0,2,0
17075,29190,1.0,3,0
4730,5605,1.0,3,0
5045,17074,-1.0,-14,1
17071,34639,1.0,2,0
11123,17068,-1.0,-5,1
11667,14188,1.0,-6,1
577,17042,-1.0,-5,1
4764,23733,1.0,2,0
17008,34581,1.0,2,0
17006,23736,1.0,3,0
9793,17005,-1.0,-6,1
11689,28953,1.0,2,0
11701,28963,1.0,2,0
7857,25704,1.0,2,0
16992,34571,1.0,2,0
4663,11704,-1.0,-13,1
17015,23809,1.0,-10,1
17017,34588,1.0,2,0
4001,17037,-1.0,-11,1
17036,34605,1.0,2,0
17020,34593,1.0,2,0
17310,22481,1.0,2,0
17604,35257,1.0,2,0
7985,25806,1.0,2,0
7986,25808,1.0,2,0
17592,35233,1.0,2,0
4367,23537,1.0,2,0
3283,17608,-1.0,-26,1
17611,35261,1.0,2,0
11405,28674,1.0,2,0
17632,35279,1.0,2,0
17628,35274,1.0,2,0
70,17626,-1.0,-8,1
17623,35268,1.0,2,0
17612,35262,1.0,2,0
17617,29377,1.0,3,0
17587,35228,1.0,2,0
10064,17586,-1.0,5,0
17553,35197,1.0,2,0
5260,17581,-1.0,-11,1
8752,17550,-1.0,-8,1
17549,35189,1.0,2,0
17545,35183,1.0,2,0
17562,24551,1.0,2,0
17563,35202,1.0,2,0
17567,35204,1.0,2,0
11425,28696,1.0,2,0
17578,35219,1.0,2,0
17577,35217,1.0,2,0
11430,28706,1.0,2,0
2665,17574,-1.0,-39,1
17572,35208,1.0,2,0
11433,28712,1.0,2,0
17696,35364,1.0,2,0
4304,23507,1.0,2,0
17695,35360,1.0,2,0
17694,35358,1.0,2,0
4298,5520,1.0,-7,1
17686,35348,1.0,2,0
17685,35346,1.0,2,0
17700,35370,1.0,2,0
17719,25308,1.0,2,0
