flow1,flow2,edge1,edge2
1.0,0.6388888888888888,"10221,17983","10221,24744"
-1.0,-0.1428571428571428,"17974,19309","8778,17974"
1.0,1.0,"11257,22260","22260,30412"
1.0,0.1395348837209302,"8776,17956","8776,23570"
-1.0,-1.0,"17991,35700","17991,18136"
-1.0,-1.0,"18012,18013","18011,18012"
1.0,-0.4285714285714285,"8063,21087","13658,21087"
-1.0,-1.0,"17953,35656","17953,20969"
1.0,1.0,"17923,20340","20340,23165"
1.0,1.0,"16675,17952","16675,19367"
1.0,-1.0,"11289,28573","21599,28573"
1.0,-1.0,"17942,32619","15284,32619"
1.0,-0.1564039408866995,"12660,17939","12660,15262"
1.0,0.5238095238095238,"17938,19357","19357,22170"
1.0,1.0,"16635,17911","12841,16635"
-1.0,-0.5116279069767442,"11222,17213","10460,11222"
-1.0,-0.2452830188679245,"18087,35787","13584,18087"
1.0,1.0,"18072,21127","21127,21128"
-1.0,-1.0,"18014,35722","16739,18014"
1.0,1.0,"18071,21123","19485,21123"
-1.0,-0.3333333333333333,"18040,35740","18029,18040"
1.0,-1.0,"18024,29641","12406,29641"
1.0,1.0,"18059,21109","21109,39415"
-1.0,-1.0,"11240,28535","11240,11241"
-1.0,-0.3928571428571428,"18050,20586","13069,18050"
1.0,1.0,"13612,17910","13612,19312"
1.0,1.0,"7876,17788","7876,25726"
1.0,1.0,"16521,17790","16521,17791"
1.0,-0.0,"17352,17778","10176,17352"
1.0,1.0,"17776,22232","17550,22232"
1.0,-0.1764705882352941,"11331,21245","5468,21245"
-1.0,-1.0,"17792,35464","14382,17792"
1.0,0.3846153846153846,"15411,17798","9588,15411"
1.0,1.0,"13539,17797","13539,19187"
-1.0,-1.0,"15409,17796","17795,17796"
-1.0,-1.0,"17793,19185","16522,17793"
1.0,-1.0,"17744,29982","12722,29982"
-1.0,-1.0,"17763,35436","17763,22132"
1.0,1.0,"11299,11868","11868,15076"
1.0,1.0,"17866,19650","19650,33235"
1.0,0.0895522388059701,"13727,17864","1464,13727"
-1.0,-0.696969696969697,"7019,11301","10315,11301"
1.0,-0.3157894736842105,"9543,17892","8996,9543"
1.0,1.0,"12635,17889","12635,29885"
1.0,-0.6774193548387097,"17835,19463","15366,19463"
1.0,0.736842105263158,"11280,17837","9615,11280"
1.0,-0.1764705882352941,"17839,27573","13847,27573"
-1.0,-0.2987012987012987,"11095,27396","6776,11095"
1.0,-0.6086956521739131,"8225,11097","8225,13672"
-1.0,-1.0,"11093,28423","11093,15623"
1.0,0.3157894736842105,"15726,18414","15726,19277"
-1.0,-1.0,"18358,36123","17105,18358"
-1.0,-0.3225806451612903,"18345,36109","18345,20593"
-1.0,-1.0,"17056,18384","18383,18384"
1.0,1.0,"18378,19837","15874,19837"
-1.0,-0.74,"18375,23431","6098,18375"
1.0,-1.0,"18343,32752","15404,32752"
1.0,-0.2553191489361702,"12649,18495","9560,12649"
-1.0,-1.0,"3704,3859","3571,3704"
-1.0,-0.4505494505494505,"18514,36309","5448,18514"
1.0,-0.4166666666666666,"16135,18512","16135,21740"
1.0,-1.0,"18473,34585","17016,34585"
1.0,1.0,"7671,18437","7671,25546"
1.0,1.0,"14363,18432","14363,31663"
-1.0,-1.0,"18454,36242","15870,18454"
1.0,-1.0,"8176,25951","9981,25951"
-1.0,-0.5333333333333333,"18460,36251","13791,18460"
1.0,0.3962264150943396,"7299,18342","7299,21570"
1.0,0.3333333333333333,"11918,18199","11918,40756"
-1.0,-0.1529411764705882,"18195,35915","2897,18195"
1.0,1.0,"18193,19627","19627,37668"
1.0,0.0,"16083,18180","15913,16083"
1.0,-0.0,"18228,18503","18503,21670"
1.0,1.0,"12365,18128","12365,17237"
1.0,0.5641025641025641,"8782,18129","8782,13111"
-1.0,-0.2181818181818181,"5217,18172","8394,18172"
-1.0,-1.0,"18119,19551","18119,21190"
-1.0,-1.0,"18169,29806","14378,18169"
-1.0,-0.5555555555555556,"8097,25883","8097,15164"
-1.0,-0.2307692307692307,"18146,35853","10113,18146"
-1.0,-1.0,"12205,18341","8924,18341"
1.0,-1.0,"18318,36075","21780,36075"
-1.0,-0.5806451612903226,"9392,18320","12324,18320"
-1.0,-1.0,"7043,8110","7251,8110"
1.0,-0.7307692307692307,"8145,11414","5873,11414"
1.0,0.25,"16980,18299","16980,37825"
1.0,1.0,"11146,11713","11147,11713"
1.0,-0.4731182795698925,"3908,23323","4495,23323"
-1.0,-1.0,"18271,36000","18271,19542"
1.0,1.0,"17731,21550","21550,40031"
-1.0,-1.0,"17173,34740","14901,17173"
1.0,-0.3142857142857143,"17179,34749","9760,34749"
1.0,-0.3170731707317073,"11598,28878","8211,28878"
-1.0,-0.3673469387755102,"10670,11605","7357,11605"
1.0,1.0,"2900,11647","2900,7205"
1.0,1.0,"11639,21297","21297,39653"
1.0,1.0,"16343,17134","16343,33796"
-1.0,-0.5217391304347826,"7778,17127","17127,18561"
-1.0,-0.2,"11555,28839","5596,11555"
-1.0,-1.0,"11558,28841","11558,22240"
-1.0,-1.0,"17297,34889","11978,17297"
1.0,-0.0,"7918,19129","19129,20573"
-1.0,-1.0,"17224,34799","17040,17224"
-1.0,-1.0,"7904,13903","7904,12550"
-1.0,-0.1733333333333333,"11577,28857","7581,11577"
1.0,1.0,"4588,5815","5266,5815"
-1.0,-1.0,"16945,34479","12489,16945"
-1.0,-1.0,"11714,24069","10627,11714"
1.0,-0.303030303030303,"16967,34509","18643,34509"
1.0,1.0,"12989,16893","12989,30250"
-1.0,-0.5833333333333334,"16894,34417","15637,16894"
-1.0,-1.0,"16904,34427","16904,19655"
-1.0,-0.5,"17053,28973","17053,19840"
-1.0,-1.0,"13091,17051","17050,17051"
-1.0,-1.0,"17048,34623","17048,20043"
1.0,-0.1309523809523809,"16986,34564","7360,34564"
1.0,1.0,"4730,5605","5605,13872"
1.0,1.0,"2687,7856","2687,22864"
1.0,0.3142857142857143,"16325,17019","16325,38696"
1.0,0.3,"15778,17030","13020,15778"
-1.0,-1.0,"11408,28678","11408,19041"
1.0,0.375,"11883,17616","11883,22788"
1.0,-0.5172413793103449,"17564,22710","14973,22710"
1.0,-1.0,"17569,35206","18991,35206"
1.0,-0.4375,"11435,25930","8154,25930"
1.0,-1.0,"17697,35366","17698,35366"
-1.0,-0.5428571428571428,"17691,19092","11998,17691"
1.0,1.0,"17683,19073","19073,36975"
1.0,0.5714285714285714,"13460,17638","13460,20640"
1.0,0.7307692307692307,"5886,11387","5886,24386"
-1.0,-0.2023809523809523,"17677,24191","2287,17677"
1.0,-0.3243243243243243,"11400,25696","9549,25696"
