node1,node2,flow,betweenness,degree,class
17973,19331,1.0,4.834241942457625e-06,5,1
10221,17983,-1.0,5.319155120565965e-06,5,1
17981,35693,1.0,1.1919473898547133e-09,2,1
17980,35692,1.0,1.1919473898547133e-09,2,1
17974,19309,1.0,9.334836869241595e-06,9,1
17971,35681,1.0,1.1919473898547133e-09,2,1
4097,8472,1.0,1.4101324574184213e-06,6,1
16152,17959,-1.0,7.817499825866544e-06,6,1
11257,22260,1.0,5.9597369492735665e-09,3,1
8776,17956,-1.0,8.610754358225265e-06,10,1
17991,35700,1.0,1.072752650869242e-08,3,1
18012,18013,1.0,2.3838947797094266e-08,4,1
18008,35719,1.0,1.1919473898547133e-09,2,1
8063,21087,1.0,2.2772440851387746e-06,8,1
18005,35711,1.0,1.1919473898547133e-09,2,1
18003,20033,1.0,1.1303586287614541e-05,7,1
4075,23397,1.0,1.1919473898547133e-09,2,1
17998,35707,1.0,1.1919473898547133e-09,2,1
17996,35704,1.0,1.1919473898547133e-09,2,1
17994,35703,1.0,1.1919473898547133e-09,2,1
17953,35656,1.0,2.3838947797094267e-09,3,1
17923,20340,1.0,9.749883889410191e-09,7,1
16675,17952,-1.0,3.5758421695641402e-09,3,1
17919,35611,1.0,1.1919473898547133e-09,2,1
4274,17918,-1.0,8.57028692362199e-06,9,1
11289,28573,1.0,2.3838947797094267e-09,3,1
17915,35603,1.0,1.1919473898547133e-09,2,1
11296,28580,1.0,1.1919473898547133e-09,2,1
11271,28556,1.0,1.1919473898547133e-09,2,1
17934,33759,1.0,6.787367979138258e-06,5,1
17950,35651,1.0,1.1919473898547133e-09,2,1
17947,35647,1.0,1.1919473898547133e-09,2,1
17942,32619,1.0,2.3838947797094267e-09,3,1
11264,28548,1.0,1.1919473898547133e-09,2,1
12660,17939,-1.0,3.5758421695641402e-09,6,1
17938,19357,1.0,7.142116077461524e-08,8,1
4915,17936,-1.0,8.053247576509145e-07,8,1
18011,18012,1.0,2.3838947797094266e-08,4,1
16739,18013,-1.0,2.145505301738484e-08,4,1
16635,17911,-1.0,4.767789559418853e-09,3,1
11222,17213,1.0,9.22916155941421e-07,8,1
18087,35787,1.0,1.698037527982835e-07,6,1
18083,23305,1.0,1.1919473898547133e-09,4,1
8078,10114,1.0,4.905936848112547e-06,5,1
18089,35789,1.0,1.1919473898547133e-09,2,1
18073,35773,1.0,1.1919473898547133e-09,2,1
18072,21127,1.0,7.1516843391282804e-09,4,1
18088,35788,1.0,1.1919473898547133e-09,2,1
18090,35790,1.0,1.1919473898547133e-09,2,1
18014,35722,1.0,9.535579118837707e-09,3,1
18108,35809,1.0,1.1919473898547133e-09,2,1
11214,28514,1.0,1.1919473898547133e-09,2,1
18102,35805,1.0,1.1919473898547133e-09,2,1
12035,18099,-1.0,1.302859444820557e-05,5,1
18097,35799,1.0,1.2046136635389812e-05,4,1
11219,28520,1.0,1.1919473898547133e-09,2,1
18071,21123,1.0,7.1516843391282804e-09,3,1
18064,35763,1.0,1.1919473898547133e-09,2,1
18028,23150,1.0,3.7587841753119857e-06,7,1
18040,35740,1.0,5.9597369492735665e-09,3,1
4063,23388,1.0,1.1919473898547133e-09,2,1
18032,35736,1.0,1.1919473898547133e-09,2,1
13513,18026,-1.0,1.5869258436034034e-06,7,1
11246,28541,1.0,1.1919473898547133e-09,2,1
18024,29641,1.0,2.3838947797094267e-09,3,1
18017,35723,1.0,1.1919473898547133e-09,2,1
18062,35762,1.0,1.1919473898547133e-09,2,1
18060,35760,1.0,1.1919473898547133e-09,2,1
18059,21109,1.0,2.3838947797094267e-09,3,1
18052,35755,1.0,1.1919473898547133e-09,2,1
11240,28535,1.0,2.3838947797094267e-09,3,1
18050,20586,1.0,1.1919473898547133e-09,4,1
11240,11241,-1.0,2.3838947797094267e-09,3,1
17913,35602,1.0,1.1919473898547133e-09,2,1
13612,17910,-1.0,7.1516843391282804e-09,3,1
11213,28512,1.0,1.1919473898547133e-09,2,1
7876,17788,-1.0,2.3838947797094267e-09,3,1
4234,23472,1.0,1.1919473898547133e-09,2,1
16521,17790,-1.0,1.072752650869242e-08,4,1
17780,19762,1.0,6.54684296734828e-06,7,1
17352,17778,-1.0,2.3838947797094267e-09,4,1
17776,22232,1.0,1.7879210847820701e-09,5,1
17775,35451,1.0,1.180932952811391e-05,5,1
17789,19184,1.0,5.9597369492735665e-09,3,1
17791,35463,1.0,5.9597369492735665e-09,3,1
17800,35468,1.0,1.1919473898547133e-09,2,1
11331,21245,1.0,1.1478514177885928e-05,6,1
14205,17807,-1.0,8.221362715996217e-06,9,1
17802,35469,1.0,2.020201681448077e-06,5,1
17792,35464,1.0,2.3838947797094267e-09,3,1
15411,17798,-1.0,1.4106697358918546e-05,6,1
13539,17797,-1.0,7.1516843391282804e-09,4,1
15409,17796,-1.0,2.145505301738484e-08,4,1
17795,17796,1.0,1.6687263457965985e-08,4,1
17794,17795,1.0,9.535579118837707e-09,3,1
4227,23466,1.0,1.1919473898547133e-09,6,1
17793,19185,1.0,4.767789559418853e-09,4,1
11350,28626,1.0,1.1919473898547133e-09,2,1
7943,11370,-1.0,6.543291859215388e-06,6,1
12038,17772,-1.0,9.160196741544142e-06,7,1
17744,29982,1.0,2.3838947797094267e-09,3,1
17741,35412,1.0,1.1919473898547133e-09,2,1
17737,35410,1.0,1.1919473898547133e-09,2,1
9034,17734,-1.0,9.168143888055604e-06,5,1
17755,35428,1.0,1.1919473898547133e-09,2,1
17756,19811,1.0,4.6948680973294335e-06,5,1
1744,17765,-1.0,0.00010184868466669445,45,0
17763,35436,1.0,2.3838947797094267e-09,3,1
17761,35435,1.0,1.1919473898547133e-09,2,1
17760,35432,1.0,1.1919473898547133e-09,4,1
11329,28612,1.0,1.1919473898547133e-09,2,1
11299,11868,1.0,2.3838947797094267e-09,6,1
17871,34876,1.0,3.2266266834032444e-07,4,1
17866,19650,1.0,7.1516843391282804e-09,3,1
13727,17864,-1.0,3.5758421695641402e-09,4,1
17863,35542,1.0,1.1919473898547133e-09,2,1
17813,35489,1.0,1.1919473898547133e-09,2,1
17899,35584,1.0,1.1919473898547133e-09,2,1
7019,11301,-1.0,3.871751633222297e-08,7,1
11302,12553,1.0,3.5758421695641402e-09,6,1
4501,17905,-1.0,1.169467171777246e-05,10,1
17896,35577,1.0,1.1919473898547133e-09,2,1
9543,17892,-1.0,9.518772618542999e-06,7,1
13503,17890,-1.0,2.503089518694898e-08,8,1
12635,17889,-1.0,2.3838947797094267e-09,3,1
17862,35541,1.0,1.1919473898547133e-09,2,1
17828,35506,1.0,1.1919473898547133e-09,2,1
17835,19463,1.0,1.4972335944185994e-06,8,1
17824,19210,1.0,1.422810359673051e-05,10,1
11280,17837,-1.0,7.1516843391282804e-09,6,1
17839,27573,1.0,3.451154033296963e-08,6,1
17856,35531,1.0,1.1919473898547133e-09,2,1
17845,34729,1.0,1.1919473898547133e-09,4,1
17844,19636,1.0,1.1919473898547133e-09,4,1
18113,24200,1.0,7.318792401385753e-06,9,1
18406,36179,1.0,1.1919473898547133e-09,2,1
11095,27396,1.0,5.997886714413778e-06,5,1
8225,11097,-1.0,2.953688392004977e-07,8,1
18407,36183,1.0,1.1919473898547133e-09,2,1
18397,36167,1.0,1.1919473898547133e-09,2,1
11093,28423,1.0,2.3838947797094267e-09,3,1
11086,12431,1.0,2.3838947797094267e-09,5,1
15726,18414,-1.0,3.4611127157971675e-06,7,1
18357,36122,1.0,1.1919473898547133e-09,2,1
18365,36129,1.0,1.1919473898547133e-09,2,1
14233,18363,-1.0,9.20956260169002e-06,8,1
18358,36123,1.0,2.3838947797094267e-09,3,1
18351,36119,1.0,1.1919473898547133e-09,2,1
10378,18348,-1.0,1.0463267647411783e-05,6,1
8147,25923,1.0,1.1919473898547133e-09,2,1
8526,18346,-1.0,1.5300199863490895e-07,9,1
18345,36109,1.0,5.9597369492735665e-09,3,1
18366,36133,1.0,1.1919473898547133e-09,2,1
18367,36134,1.0,1.1919473898547133e-09,2,1
18369,36135,1.0,1.1919473898547133e-09,2,1
18371,36141,1.0,1.1919473898547133e-09,2,1
11101,28431,1.0,1.1919473898547133e-09,2,1
8159,25935,1.0,1.1919473898547133e-09,2,1
17056,18384,-1.0,4.8067744975770674e-08,10,1
18383,18384,1.0,3.973157966182378e-09,6,1
18382,18383,1.0,2.3838947797094267e-09,6,1
18378,19837,1.0,2.3838947797094267e-09,6,1
18377,36147,1.0,1.1919473898547133e-09,2,1
18375,23431,1.0,5.189876648342613e-07,5,1
18372,36142,1.0,1.1919473898547133e-09,2,1
18343,32752,1.0,2.3838947797094267e-09,3,1
18505,36293,1.0,1.1919473898547133e-09,2,1
18501,36290,1.0,1.1919473898547133e-09,2,1
10140,11054,-1.0,7.87768655780468e-06,8,1
12649,18495,-1.0,1.3676577412363112e-05,10,1
