flow1,flow2,edge1,edge2
1.0,1.0,"17305,22373","17305,23938"
1.0,0.6388888888888888,"10221,17983","10221,24744"
-1.0,-0.4545454545454545,"14475,17978","17649,17978"
-1.0,-0.8529411764705882,"4097,8472","3784,4097"
1.0,0.5,"16152,17959","16152,33562"
1.0,1.0,"11257,22260","22260,30412"
-1.0,-1.0,"7135,11260","10032,11260"
-1.0,-1.0,"17991,35700","17991,18136"
-1.0,-1.0,"18012,18013","18011,18012"
1.0,-1.0,"18002,29786","20188,29786"
1.0,1.0,"11249,11250","6990,11250"
1.0,1.0,"8063,21087","21087,39398"
-1.0,-0.26,"18004,35710","9995,18004"
1.0,1.0,"18003,20033","18770,20033"
1.0,-0.4888888888888889,"18001,27881","10489,27881"
1.0,-0.2926829268292683,"17999,20832","8112,20832"
-1.0,-0.6153846153846154,"17997,35705","13649,17997"
-1.0,-0.5333333333333333,"4105,23409","4105,7186"
-1.0,-1.0,"17953,35656","17953,20969"
1.0,-1.0,"11286,12197","12197,16459"
-1.0,-0.22,"11278,28564","5768,11278"
1.0,1.0,"17923,20340","20340,23165"
1.0,1.0,"4130,22077","20952,22077"
1.0,0.6216216216216216,"10323,17921","10323,27734"
1.0,0.2238805970149253,"5703,11285","5703,31506"
1.0,1.0,"14743,17920","14654,14743"
1.0,1.0,"4137,4360","4360,4857"
1.0,1.0,"16675,17952","16675,19367"
1.0,-1.0,"11289,28573","21599,28573"
-1.0,-0.3181818181818182,"17934,33759","15038,17934"
1.0,1.0,"17575,17951","17575,35212"
-1.0,-0.4615384615384615,"17946,30979","15371,17946"
1.0,-1.0,"17942,32619","15284,32619"
1.0,0.303030303030303,"11265,11920","11920,16486"
1.0,-0.1564039408866995,"12660,17939","12660,15262"
1.0,-1.0,"17938,19357","19357,19780"
1.0,0.3111111111111111,"6370,11268","6370,26135"
1.0,0.1951219512195122,"4915,17936","4915,14858"
1.0,1.0,"16635,17911","12841,16635"
-1.0,-0.5116279069767442,"11222,17213","10460,11222"
1.0,-0.5483870967741935,"11227,23218","12856,23218"
1.0,1.0,"8078,10114","6522,10114"
-1.0,-1.0,"18078,35777","18078,19641"
-1.0,-0.4054054054054054,"11231,18174","11231,15058"
1.0,1.0,"18072,21127","21127,21128"
-1.0,-1.0,"18014,35722","16739,18014"
-1.0,-1.0,"18101,35803","18101,20907"
-1.0,-1.0,"18111,35813","18111,21973"
1.0,1.0,"12035,18099","12035,29271"
1.0,1.0,"18071,21123","19485,21123"
-1.0,-0.5526315789473685,"18065,35765","11026,18065"
-1.0,-0.3333333333333333,"18040,35740","18029,18040"
1.0,0.5217391304347826,"18034,18037","18037,35738"
-1.0,-1.0,"18030,35735","13738,18030"
1.0,1.0,"8028,18063","8028,25838"
1.0,0.4074074074074074,"13513,18026","13513,37069"
1.0,-1.0,"18024,29641","12406,29641"
1.0,-1.0,"18020,18780","18780,19007"
1.0,1.0,"14525,18015","14525,14526"
1.0,-1.0,"18041,28036","10663,28036"
-1.0,-0.3703703703703703,"18046,35745","12828,18046"
1.0,1.0,"18059,21109","21109,39415"
-1.0,-0.5652173913043478,"18056,30311","16684,18056"
-1.0,-0.2741935483870967,"18051,35751","10877,18051"
-1.0,-1.0,"11240,28535","11240,11241"
-1.0,-0.3928571428571428,"18050,20586","13069,18050"
1.0,1.0,"13612,17910","13612,19312"
1.0,1.0,"10932,17782","10932,28278"
1.0,1.0,"7876,17788","7876,25726"
1.0,0.4461538461538462,"7948,11338","7948,14899"
1.0,-0.5217391304347826,"17786,35459","18018,35459"
1.0,1.0,"14360,17784","14360,31660"
1.0,1.0,"17759,17783","17759,35431"
1.0,1.0,"16521,17790","16521,17791"
-1.0,-0.4615384615384615,"17780,19762","7652,17780"
1.0,-0.0,"17352,17778","10176,17352"
1.0,-1.0,"336,17777","336,486"
1.0,1.0,"17776,22232","17550,22232"
1.0,-0.4285714285714285,"17775,35451","13548,35451"
1.0,1.0,"17812,20823","20823,39083"
1.0,-1.0,"17806,29669","21219,29669"
1.0,0.1351351351351351,"2899,17799","2899,31986"
-1.0,-1.0,"17792,35464","14382,17792"
1.0,0.3846153846153846,"15411,17798","9588,15411"
1.0,1.0,"13539,17797","13539,19187"
-1.0,-1.0,"15409,17796","17795,17796"
-1.0,-1.0,"17793,19185","16522,17793"
1.0,-0.52,"17774,34920","17329,34920"
1.0,0.4081632653061224,"7943,11370","7943,28875"
-1.0,-1.0,"17751,35424","13755,17751"
-1.0,-0.4615384615384615,"17750,35422","12307,17750"
1.0,0.4583333333333333,"11366,17603","1815,17603"
-1.0,-0.1447368421052631,"17746,35419","6292,17746"
1.0,1.0,"11372,13852","13852,19702"
1.0,0.1929824561403508,"12038,17772","12038,37098"
1.0,-1.0,"17744,29982","12722,29982"
-1.0,-0.6527777777777778,"17740,35411","4741,17740"
-1.0,-0.1555555555555555,"11363,28639","6417,11363"
1.0,1.0,"17756,19811","8074,19811"
1.0,-1.0,"17771,35448","19058,35448"
-1.0,-1.0,"17770,35446","7709,17770"
-1.0,-1.0,"11357,28629","11357,15807"
1.0,1.0,"10524,17764","10524,27904"
-1.0,-1.0,"17763,35436","17763,22132"
-1.0,-1.0,"17757,35429","17757,18618"
-1.0,-1.0,"11299,11868","7805,11299"
1.0,1.0,"12979,17882","12979,23040"
1.0,-0.3478260869565217,"17875,31270","11794,31270"
-1.0,-1.0,"17883,35566","13511,17883"
1.0,0.5,"17869,21418","21418,39824"
