flow1,flow2,edge1,edge2
1.0,1.0,"17305,22373","17305,23938"
1.0,-0.1216216216216216,"17973,19331","5175,19331"
1.0,-0.0092336103416435,"8968,17987","833,8968"
1.0,0.3611111111111111,"10221,17983","1649,10221"
-1.0,-0.0390070921985815,"17982,35695","4454,17982"
-1.0,-0.4545454545454545,"14475,17978","17649,17978"
-1.0,-0.5416666666666666,"17974,19309","17171,17974"
-1.0,-0.1134969325153374,"17990,35698","2876,17990"
1.0,0.4285714285714285,"4097,8472","2128,8472"
-1.0,-0.0301810865191146,"16152,17959","1620,17959"
1.0,-0.0734463276836158,"17958,35179","1768,35179"
1.0,1.0,"11257,22260","22260,30412"
-1.0,-1.0,"7135,11260","10032,11260"
1.0,0.0469235156200494,"8776,17956","1968,8776"
-1.0,-0.074074074074074,"17955,35658","2804,17955"
1.0,-0.0714285714285714,"3750,17988","1116,3750"
-1.0,-1.0,"17991,35700","17991,18136"
-1.0,-1.0,"18012,18013","18011,18012"
1.0,-1.0,"18002,29786","20188,29786"
1.0,1.0,"11249,11250","6990,11250"
1.0,-0.0091638029782359,"8063,21087","876,21087"
-1.0,-0.26,"18004,35710","9995,18004"
-1.0,-0.0395604395604395,"18003,20033","2921,18003"
1.0,-0.4888888888888889,"18001,27881","10489,27881"
-1.0,-0.1709401709401709,"17992,35701","6850,17992"
1.0,-0.0542452830188679,"5614,18000","2578,5614"
1.0,-1.0,"17999,20832","13442,20832"
-1.0,-0.6153846153846154,"17997,35705","13649,17997"
-1.0,-0.0095774647887323,"4104,23408","660,4104"
-1.0,-0.19,"4105,23409","4105,6045"
-1.0,-1.0,"17953,35656","17953,20969"
1.0,-1.0,"11286,12197","12197,16459"
-1.0,-0.0133603238866396,"11278,28564","123,11278"
1.0,1.0,"17923,20340","20340,23165"
1.0,1.0,"4130,22077","20952,22077"
1.0,-0.2244897959183673,"5033,17922","5033,8923"
1.0,0.3783783783783784,"10323,17921","2504,10323"
1.0,0.1791044776119403,"5703,11285","5703,14162"
1.0,1.0,"14743,17920","14654,14743"
-1.0,-0.559322033898305,"4137,4360","3207,4137"
1.0,1.0,"16675,17952","16675,19367"
1.0,0.141025641025641,"4274,17918","4274,38310"
1.0,-0.293103448275862,"8045,25846","12727,25846"
1.0,-1.0,"11289,28573","21599,28573"
1.0,0.0537216828478964,"6999,17916","5055,6999"
1.0,-0.2873563218390804,"4128,23421","6416,23421"
-1.0,-1.0,"8051,15441","8051,9435"
-1.0,-0.0724381625441696,"17934,33759","3379,17934"
1.0,-0.0125457396759017,"17575,17951","63,17575"
1.0,0.0289473684210526,"2541,17949","2541,18023"
1.0,-0.081967213114754,"17946,30979","2443,30979"
1.0,0.0743243243243243,"7716,17945","7716,14211"
1.0,-0.2711864406779661,"5806,17944","5806,13806"
1.0,-0.1473684210526315,"11695,17943","6235,11695"
1.0,-1.0,"17942,32619","15284,32619"
1.0,0.2424242424242424,"11265,11920","9421,11920"
1.0,-0.1564039408866995,"12660,17939","12660,15262"
-1.0,-0.0249221183800623,"17938,19357","1062,17938"
1.0,0.1333333333333333,"6370,11268","6370,18823"
-1.0,-0.0607638888888888,"4915,17936","289,17936"
1.0,1.0,"16635,17911","12841,16635"
1.0,0.0961538461538461,"7393,18081","7393,39454"
