node1,node2,flow,degree,class
17305,22373,-1.0,4,1
17973,19331,1.0,5,1
10221,17983,-1.0,5,1
17982,35695,1.0,3,1
17981,35693,1.0,2,1
17980,35692,1.0,2,1
14475,17978,-1.0,4,1
17971,35681,1.0,2,1
17990,35698,1.0,3,1
4097,8472,1.0,6,1
16152,17959,-1.0,6,1
17958,35179,1.0,3,1
11257,22260,1.0,3,1
7135,11260,-1.0,4,1
17955,35658,1.0,5,1
17991,35700,1.0,3,1
18012,18013,1.0,4,1
18002,29786,1.0,4,1
18008,35719,1.0,2,1
11249,11250,1.0,4,1
8063,21087,1.0,8,1
18005,35711,1.0,2,1
18004,35710,1.0,3,1
18003,20033,1.0,7,1
4075,23397,1.0,2,1
18001,27881,1.0,3,1
17992,35701,1.0,3,1
17999,20832,1.0,5,1
17998,35707,1.0,2,1
6990,11250,-1.0,5,1
17997,35705,1.0,3,1
17996,35704,1.0,2,1
17994,35703,1.0,2,1
4104,23408,1.0,3,1
4105,23409,1.0,4,1
17953,35656,1.0,3,1
11286,12197,1.0,4,1
11278,28564,1.0,5,1
17923,20340,1.0,7,1
4130,22077,1.0,4,1
10323,17921,-1.0,4,1
5703,11285,-1.0,6,1
14743,17920,-1.0,3,1
4137,4360,1.0,4,1
16675,17952,-1.0,3,1
17919,35611,1.0,2,1
8045,25846,1.0,3,1
11289,28573,1.0,3,1
17915,35603,1.0,2,1
11296,28580,1.0,2,1
4128,23421,1.0,3,1
11271,28556,1.0,2,1
17934,33759,1.0,5,1
17575,17951,-1.0,6,1
17950,35651,1.0,2,1
17947,35647,1.0,2,1
17946,30979,1.0,5,1
17942,32619,1.0,3,1
11264,28548,1.0,2,1
11265,11920,1.0,6,1
12660,17939,-1.0,6,1
17938,19357,1.0,8,1
6370,11268,-1.0,8,1
4915,17936,-1.0,8,1
18011,18012,1.0,4,1
16739,18013,-1.0,4,1
16635,17911,-1.0,3,1
11222,17213,1.0,8,1
18087,35787,1.0,6,1
11227,23218,1.0,7,1
18083,23305,1.0,4,1
8078,10114,1.0,5,1
18078,35777,1.0,5,1
18089,35789,1.0,2,1
18077,35776,1.0,3,1
11231,18174,1.0,7,1
18073,35773,1.0,2,1
8072,25869,1.0,3,1
18072,21127,1.0,4,1
18088,35788,1.0,2,1
18090,35790,1.0,2,1
